F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
549,150,199,642,1264,2216,554,681,2007,663,1,1
549,150,199,642,1264,2216,554,681,2007,663,0,1
549,150,199,642,1264,2216,554,681,2007,663,0,1
938,364,375,1429,1595,1637,654,904,3950,703,1,1
938,364,375,1429,1595,1637,654,904,3950,703,0,1
938,364,375,1429,1595,1637,654,904,3950,703,0,1
394,386,413,2422,1541,2806,601,877,2804,680,1,1
394,386,413,2422,1541,2806,601,877,2804,680,0,1
394,386,413,2422,1541,2806,601,877,2804,680,0,1
449,450,1992,2757,1913,1959,803,2538,3292,810,1,1
449,450,1992,2757,1913,1959,803,2538,3292,810,0,1
449,450,1992,2757,1913,1959,803,2538,3292,810,0,1
1808,443,478,2682,1770,1859,838,1009,3304,803,1,1
1808,443,478,2682,1770,1859,838,1009,3304,803,0,1
1808,443,478,2682,1770,1859,838,1009,3304,803,0,1
390,386,397,2345,1381,1463,748,763,3066,731,1,1
390,386,397,2345,1381,1463,748,763,3066,731,0,1
390,386,397,2345,1381,1463,748,763,3066,731,0,1
65,728,960,561,994,975,589,1113,3187,676,1,1
65,728,960,561,994,975,589,1113,3187,676,0,1
65,728,960,561,994,975,589,1113,3187,676,0,1
65,728,960,561,994,975,589,1113,3187,676,0,1
403,206,218,890,834,979,607,1114,2999,694,1,1
403,206,218,890,834,979,607,1114,2999,694,0,1
403,206,218,890,834,979,607,1114,2999,694,0,1
65,693,245,579,920,1493,684,1228,3110,763,1,1
65,693,245,579,920,1493,684,1228,3110,763,0,1
65,693,245,579,920,1493,684,1228,3110,763,0,1
518,718,254,913,1013,1321,744,1348,3183,815,1,1
518,718,254,913,1013,1321,744,1348,3183,815,0,1
518,718,254,913,1013,1321,744,1348,3183,815,0,1
66,274,616,646,991,1301,743,1326,3624,818,1,1
66,274,616,646,991,1301,743,1326,3624,818,0,1
66,274,616,646,991,1301,743,1326,3624,818,0,1
64,228,834,548,798,943,1013,1069,3079,727,1,1
64,228,834,548,798,943,1013,1069,3079,727,0,1
64,228,834,548,798,943,1013,1069,3079,727,0,1
450,575,222,782,766,1303,595,1026,2933,709,1,1
450,575,222,782,766,1303,595,1026,2933,709,0,1
450,575,222,782,766,1303,595,1026,2933,709,0,1
62,957,220,775,757,908,588,1015,2907,703,1,1
62,957,220,775,757,908,588,1015,2907,703,0,1
62,957,220,775,757,908,588,1015,2907,703,0,1
443,555,218,761,747,898,582,1001,2872,700,1,1
443,555,218,761,747,898,582,1001,2872,700,0,1
443,555,218,761,747,898,582,1001,2872,700,0,1
443,559,218,765,775,924,603,1038,2878,1097,1,1
443,559,218,765,775,924,603,1038,2878,1097,0,1
443,559,218,765,775,924,603,1038,2878,1097,0,1
62,577,221,779,773,1309,601,1036,2912,708,1,1
62,577,221,779,773,1309,601,1036,2912,708,0,1
62,577,221,779,773,1309,601,1036,2912,708,0,1
62,958,220,774,764,915,594,1024,2896,704,1,1
62,958,220,774,764,915,594,1024,2896,704,0,1
62,958,220,774,764,915,594,1024,2896,704,0,1
62,953,219,771,765,1301,596,1024,2891,706,1,1
62,953,219,771,765,1301,596,1024,2891,706,0,1
62,953,219,771,765,1301,596,1024,2891,706,0,1
62,958,220,775,775,924,603,1425,2905,713,1,1
62,958,220,775,775,924,603,1425,2905,713,0,1
62,958,220,775,775,924,603,1425,2905,713,0,1
63,581,223,785,785,933,611,1050,2940,718,1,1
63,581,223,785,785,933,611,1050,2940,718,0,1
63,581,223,785,785,933,611,1050,2940,718,0,1
452,584,223,788,1167,928,606,1043,2947,715,1,1
452,584,223,788,1167,928,606,1043,2947,715,0,1
452,584,223,788,1167,928,606,1043,2947,715,0,1
63,970,222,784,775,923,602,1036,2938,712,1,1
63,970,222,784,775,923,602,1036,2938,712,0,1
63,970,222,784,775,923,602,1036,2938,712,0,1
448,572,221,774,764,913,591,1408,2901,703,1,1
448,572,221,774,764,913,591,1408,2901,703,0,1
448,572,221,774,764,913,591,1408,2901,703,0,1
62,566,220,768,1141,908,586,1014,2882,699,1,1
62,566,220,768,1141,908,586,1014,2882,699,0,1
62,566,220,768,1141,908,586,1014,2882,699,0,1
445,564,219,765,759,909,586,1015,2865,698,1,1
445,564,219,765,759,909,586,1015,2865,698,0,1
445,564,219,765,759,909,586,1015,2865,698,0,1
62,952,219,765,758,909,583,1014,2859,1079,1,1
62,952,219,765,758,909,583,1014,2859,1079,0,1
62,952,219,765,758,909,583,1014,2859,1079,0,1
62,567,219,766,1151,915,586,1023,2851,696,1,1
62,567,219,766,1151,915,586,1023,2851,696,0,1
62,567,219,766,1151,915,586,1023,2851,696,0,1
459,600,224,795,891,1025,668,1191,2918,750,1,1
459,600,224,795,891,1025,668,1191,2918,750,0,1
459,600,224,795,891,1025,668,1191,2918,750,0,1
65,249,253,1052,952,1261,702,1269,3171,775,1,1
65,249,253,1052,952,1261,702,1269,3171,775,0,1
65,249,253,1052,952,1261,702,1269,3171,775,0,1
524,476,258,605,1158,1092,713,1294,3201,782,1,1
524,476,258,605,1158,1092,713,1294,3201,782,0,1
524,476,258,605,1158,1092,713,1294,3201,782,0,1
65,259,955,615,1211,1130,741,1352,3237,808,1,1
65,259,955,615,1211,1130,741,1352,3237,808,0,1
65,259,955,615,1211,1130,741,1352,3237,808,0,1
68,293,659,683,1131,1441,815,1492,3750,881,1,1
68,293,659,683,1131,1441,815,1492,3750,881,0,1
68,293,659,683,1131,1441,815,1492,3750,881,0,1
69,301,679,1234,1146,1456,825,1510,3566,892,1,1
69,301,679,1234,1146,1456,825,1510,3566,892,0,1
69,301,679,1234,1146,1456,825,1510,3566,892,0,1
69,302,679,702,1142,1452,825,1506,3840,893,1,1
69,302,679,702,1142,1452,825,1506,3840,893,0,1
69,302,679,702,1142,1452,825,1506,3840,893,0,1
597,300,676,699,1139,1448,822,1502,3568,891,1,1
597,300,676,699,1139,1448,822,1502,3568,891,0,1
597,300,676,699,1139,1448,822,1502,3568,891,0,1
69,300,676,700,1141,1450,824,1504,3574,891,1,1
69,300,676,700,1141,1450,824,1504,3574,891,0,1
69,300,676,700,1141,1450,824,1504,3574,891,0,1
69,300,675,699,1142,1451,823,1505,3567,890,1,1
69,300,675,699,1142,1451,823,1505,3567,890,0,1
69,300,675,699,1142,1451,823,1505,3567,890,0,1
601,301,678,700,1141,1451,821,1504,3567,885,1,1
601,301,678,700,1141,1451,821,1504,3567,885,0,1
601,301,678,700,1141,1451,821,1504,3567,885,0,1
69,300,676,698,1141,1452,819,1505,3549,883,1,1
69,300,676,698,1141,1452,819,1505,3549,883,0,1
69,300,676,698,1141,1452,819,1505,3549,883,0,1
69,299,1205,697,1124,1434,808,1483,3806,871,1,1
69,299,1205,697,1124,1434,808,1483,3806,871,0,1
69,299,1205,697,1124,1434,808,1483,3806,871,0,1
68,293,658,683,1107,1416,797,1462,3750,862,1,1
68,293,658,683,1107,1416,797,1462,3750,862,0,1
68,293,658,683,1107,1416,797,1462,3750,862,0,1
68,289,650,676,1090,1397,789,1440,3724,857,1,1
68,289,650,676,1090,1397,789,1440,3724,857,0,1
68,289,650,676,1090,1397,789,1440,3724,857,0,1
67,286,641,669,1080,1387,783,1427,3707,851,1,1
67,286,641,669,1080,1387,783,1427,3707,851,0,1
67,286,641,669,1080,1387,783,1427,3707,851,0,1
67,284,636,665,1070,1377,776,1415,3682,845,1,1
67,284,636,665,1070,1377,776,1415,3682,845,0,1
67,284,636,665,1070,1377,776,1415,3682,845,0,1
67,783,631,660,1066,1374,773,1410,3414,842,1,1
67,783,631,660,1066,1374,773,1410,3414,842,0,1
67,783,631,660,1066,1374,773,1410,3414,842,0,1
564,281,630,659,1067,1374,773,1411,3410,841,1,1
564,281,630,659,1067,1374,773,1411,3410,841,0,1
564,281,630,659,1067,1374,773,1411,3410,841,0,1
67,282,632,1162,1083,1391,782,1431,3658,848,1,1
67,282,632,1162,1083,1391,782,1431,3658,848,0,1
67,282,632,1162,1083,1391,782,1431,3658,848,0,1
594,297,670,693,1176,1488,845,1549,3539,907,1,1
594,297,670,693,1176,1488,845,1549,3539,907,0,1
594,297,670,693,1176,1488,845,1549,3539,907,0,1
71,313,711,727,1193,1505,855,1570,4230,918,1,1
71,313,711,727,1193,1505,855,1570,4230,918,0,1
71,313,711,727,1193,1505,855,1570,4230,918,0,1
71,314,712,727,1204,1518,856,1584,3937,915,1,1
71,314,712,727,1204,1518,856,1584,3937,915,0,1
71,314,712,727,1204,1518,856,1584,3937,915,0,1
71,313,710,723,1156,1471,816,1527,3620,865,1,1
71,313,710,723,1156,1471,816,1527,3620,865,0,1
71,313,710,723,1156,1471,816,1527,3620,865,0,1
615,294,675,686,1112,1434,807,1486,3725,863,1,1
615,294,675,686,1112,1434,807,1486,3725,863,0,1
615,294,675,686,1112,1434,807,1486,3725,863,0,1
70,303,694,709,1130,1458,826,1516,3918,883,1,1
70,303,694,709,1130,1458,826,1516,3918,883,0,1
70,303,694,709,1130,1458,826,1516,3918,883,0,1
69,293,673,684,1165,1487,824,1546,3477,868,1,1
69,293,673,684,1165,1487,824,1546,3477,868,0,1
69,293,673,684,1165,1487,824,1546,3477,868,0,1
72,318,1322,733,1281,1605,887,1683,3609,933,1,1
72,318,1322,733,1281,1605,887,1683,3609,933,0,1
72,318,1322,733,1281,1605,887,1683,3609,933,0,1
75,336,775,770,1323,1648,923,1734,4096,980,1,1
75,336,775,770,1323,1648,923,1734,4096,980,0,1
75,336,775,770,1323,1648,923,1734,4096,980,0,1
75,334,1371,767,1223,1538,873,1609,3797,934,1,1
75,334,1371,767,1223,1538,873,1609,3797,934,0,1
75,334,1371,767,1223,1538,873,1609,3797,934,0,1
71,877,714,728,1194,1287,852,664,3665,912,1,1
71,877,714,728,1194,1287,852,664,3665,912,0,1
71,877,714,728,1194,1287,852,664,3665,912,0,1
619,309,700,717,1166,1478,834,1537,3613,893,1,1
619,309,700,717,1166,1478,834,1537,3613,893,0,1
619,309,700,717,1166,1478,834,1537,3613,893,0,1
69,300,1213,700,1135,1445,818,1498,3558,881,1,1
69,300,1213,700,1135,1445,818,1498,3558,881,0,1
69,300,1213,700,1135,1445,818,1498,3558,881,0,1
69,298,673,696,1140,1450,823,1505,3809,886,1,1
69,298,673,696,1140,1450,823,1505,3809,886,0,1
69,298,673,696,1140,1450,823,1505,3809,886,0,1
68,295,664,689,1106,1414,805,1462,3536,873,1,1
68,295,664,689,1106,1414,805,1462,3536,873,0,1
68,295,664,689,1106,1414,805,1462,3536,873,0,1
68,807,654,681,1097,1405,800,1451,3510,868,1,1
68,807,654,681,1097,1405,800,1451,3510,868,0,1
68,807,654,681,1097,1405,800,1451,3510,868,0,1
68,289,650,676,1076,1383,786,1424,3485,854,1,1
68,289,650,676,1076,1383,786,1424,3485,854,0,1
68,289,650,676,1076,1383,786,1424,3485,854,0,1
563,281,633,662,1059,1366,774,1403,3682,843,1,1
563,281,633,662,1059,1366,774,1403,3682,843,0,1
563,281,633,662,1059,1366,774,1403,3682,843,0,1
554,276,621,651,1035,1342,760,1373,3392,830,1,1
554,276,621,651,1035,1342,760,1373,3392,830,0,1
554,276,621,651,1035,1342,760,1373,3392,830,0,1
66,274,615,646,1040,1347,761,1380,3612,830,1,1
66,274,615,646,1040,1347,761,1380,3612,830,0,1
66,274,615,646,1040,1347,761,1380,3612,830,0,1
66,277,623,1144,1062,1370,772,1407,3626,838,1,1
66,277,623,1144,1062,1370,772,1407,3626,838,0,1
66,277,623,1144,1062,1370,772,1407,3626,838,0,1
67,792,638,665,1092,1401,788,1445,3426,850,1,1
67,792,638,665,1092,1401,788,1445,3426,850,0,1
67,792,638,665,1092,1401,788,1445,3426,850,0,1
68,814,655,678,1119,1429,800,1478,3453,859,1,1
68,814,655,678,1119,1429,800,1478,3453,859,0,1
68,814,655,678,1119,1429,800,1478,3453,859,0,1
68,294,664,685,1112,1422,797,1470,3481,857,1,1
68,294,664,685,1112,1422,797,1470,3481,857,0,1
68,294,664,685,1112,1422,797,1470,3481,857,0,1
68,292,659,681,1121,1433,799,1482,3721,856,1,1
68,292,659,681,1121,1433,799,1482,3721,856,0,1
68,292,659,681,1121,1433,799,1482,3721,856,0,1
69,844,678,695,1170,1485,822,1543,3493,874,1,1
69,844,678,695,1170,1485,822,1543,3493,874,0,1
69,844,678,695,1170,1485,822,1543,3493,874,0,1
640,312,711,717,1196,1517,831,1578,3546,877,1,1
640,312,711,717,1196,1517,831,1578,3546,877,0,1
640,312,711,717,1196,1517,831,1578,3546,877,0,1
71,313,716,719,1203,1524,834,1586,4120,881,1,1
71,313,716,719,1203,1524,834,1586,4120,881,0,1
71,313,716,719,1203,1524,834,1586,4120,881,0,1
70,313,715,719,1202,1524,831,1586,3538,876,1,1
70,313,715,719,1202,1524,831,1586,3538,876,0,1
70,313,715,719,1202,1524,831,1586,3538,876,0,1
70,313,716,718,1203,1526,830,1588,3806,875,1,1
70,313,716,718,1203,1526,830,1588,3806,875,0,1
70,313,716,718,1203,1526,830,1588,3806,875,0,1
70,312,712,715,1197,1519,824,1580,3514,867,1,1
70,312,712,715,1197,1519,824,1580,3514,867,0,1
70,312,712,715,1197,1519,824,1580,3514,867,0,1
648,312,714,715,1207,1529,832,1591,3508,875,1,1
648,312,714,715,1207,1529,832,1591,3508,875,0,1
648,312,714,715,1207,1529,832,1591,3508,875,0,1
71,316,724,724,1220,1544,839,1609,3827,881,1,1
71,316,724,724,1220,1544,839,1609,3827,881,0,1
71,316,724,724,1220,1544,839,1609,3827,881,0,1
71,317,729,727,1215,1538,836,1602,3550,877,1,1
71,317,729,727,1215,1538,836,1602,3550,877,0,1
71,317,729,727,1215,1538,836,1602,3550,877,0,1
653,314,720,721,1199,1519,830,1581,3535,873,1,1
653,314,720,721,1199,1519,830,1581,3535,873,0,1
653,314,720,721,1199,1519,830,1581,3535,873,0,1
70,310,710,715,1195,1514,829,1576,3528,872,1,1
70,310,710,715,1195,1514,829,1576,3528,872,0,1
70,310,710,715,1195,1514,829,1576,3528,872,0,1
70,310,708,713,1187,1506,823,1565,3793,865,1,1
70,310,708,713,1187,1506,823,1565,3793,865,0,1
70,310,708,713,1187,1506,823,1565,3793,865,0,1
70,310,1287,713,1192,1513,824,1573,3504,864,1,1
70,310,1287,713,1192,1513,824,1573,3504,864,0,1
70,310,1287,713,1192,1513,824,1573,3504,864,0,1
70,886,708,712,1188,1507,824,1567,3510,866,1,1
70,886,708,712,1188,1507,824,1567,3510,866,0,1
70,886,708,712,1188,1507,824,1567,3510,866,0,1
70,882,704,709,1186,1504,822,1564,3497,865,1,1
70,882,704,709,1186,1504,822,1564,3497,865,0,1
70,882,704,709,1186,1504,822,1564,3497,865,0,1
70,308,703,709,1179,1498,817,1556,3776,859,1,1
70,308,703,709,1179,1498,817,1556,3776,859,0,1
70,308,703,709,1179,1498,817,1556,3776,859,0,1
70,307,703,707,1774,1516,824,1577,3761,864,1,1
70,307,703,707,1774,1516,824,1577,3761,864,0,1
70,307,703,707,1774,1516,824,1577,3761,864,0,1
70,312,715,716,1196,1517,824,1578,4378,865,1,1
70,312,715,716,1196,1517,824,1578,4378,865,0,1
70,312,715,716,1196,1517,824,1578,4378,865,0,1
643,309,707,711,1194,1514,827,1575,3494,869,1,1
643,309,707,711,1194,1514,827,1575,3494,869,0,1
643,309,707,711,1194,1514,827,1575,3494,869,0,1
70,891,713,717,1189,1508,826,1568,3530,870,1,1
70,891,713,717,1189,1508,826,1568,3530,870,0,1
70,891,713,717,1189,1508,826,1568,3530,870,0,1
70,308,704,709,1185,1503,822,1562,3780,866,1,1
70,308,704,709,1185,1503,822,1562,3780,866,0,1
70,308,704,709,1185,1503,822,1562,3780,866,0,1
644,311,711,715,1197,1517,829,1579,3521,872,1,1
