F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
339,439,461,240,2402,2868,1499,2653,6035,6297,1,1
339,439,461,240,2402,2868,1499,2653,6035,6297,0,1
339,439,461,240,2402,2868,1499,2653,6035,6297,0,1
857,963,1469,3734,2269,2677,1546,3492,19507,4365,1,1
857,963,1469,3734,2269,2677,1546,3492,19507,4365,0,1
857,963,1469,3734,2269,2677,1546,3492,19507,4365,0,1
1330,948,1435,3632,2245,2567,1377,2574,18130,5420,1,1
1330,948,1435,3632,2245,2567,1377,2574,18130,5420,0,1
1330,948,1435,3632,2245,2567,1377,2574,18130,5420,0,1
872,905,2839,1236,564,621,485,1042,17120,2357,1,1
872,905,2839,1236,564,621,485,1042,17120,2357,0,1
872,905,2839,1236,564,621,485,1042,17120,2357,0,1
34,82,45,57,106,207,166,470,1515,1047,1,1
34,82,45,57,106,207,166,470,1515,1047,0,1
34,82,45,57,106,207,166,470,1515,1047,0,1
577,654,1612,952,3509,3498,2249,2064,13409,6498,1,1
577,654,1612,952,3509,3498,2249,2064,13409,6498,0,1
577,654,1612,952,3509,3498,2249,2064,13409,6498,0,1
1004,1229,3257,1881,1785,2006,1453,2173,23065,4053,1,1
1004,1229,3257,1881,1785,2006,1453,2173,23065,4053,0,1
1004,1229,3257,1881,1785,2006,1453,2173,23065,4053,0,1
64,38,49,114,406,474,414,679,1485,1946,1,1
64,38,49,114,406,474,414,679,1485,1946,0,1
64,38,49,114,406,474,414,679,1485,1946,0,1
752,977,2460,1557,4061,4509,2415,4623,19046,5487,1,1
752,977,2460,1557,4061,4509,2415,4623,19046,5487,0,1
752,977,2460,1557,4061,4509,2415,4623,19046,5487,0,1
2057,1275,3195,2018,3665,5691,2568,3890,22839,5336,1,1
2057,1275,3195,2018,3665,5691,2568,3890,22839,5336,0,1
2057,1275,3195,2018,3665,5691,2568,3890,22839,5336,0,1
2057,1275,3195,2018,3665,5691,2568,3890,22839,5336,0,1
943,3961,1890,2145,3296,3921,2424,3585,23430,6187,1,1
943,3961,1890,2145,3296,3921,2424,3585,23430,6187,0,1
943,3961,1890,2145,3296,3921,2424,3585,23430,6187,0,1
1697,1936,1591,1774,2594,2518,2091,2863,20486,4907,1,1
1697,1936,1591,1774,2594,2518,2091,2863,20486,4907,0,1
1697,1936,1591,1774,2594,2518,2091,2863,20486,4907,0,1
1375,964,2167,1623,2480,2380,2032,2132,19179,5041,1,1
1375,964,2167,1623,2480,2380,2032,2132,19179,5041,0,1
1375,964,2167,1623,2480,2380,2032,2132,19179,5041,0,1
1277,1079,2477,3825,4966,5016,2664,2056,20908,5790,1,1
1277,1079,2477,3825,4966,5016,2664,2056,20908,5790,0,1
1277,1079,2477,3825,4966,5016,2664,2056,20908,5790,0,1
976,1420,3603,3812,4044,4832,2890,4418,25254,6422,1,1
976,1420,3603,3812,4044,4832,2890,4418,25254,6422,0,1
976,1420,3603,3812,4044,4832,2890,4418,25254,6422,0,1
1848,2900,2012,2329,4074,3948,3042,2361,28494,6680,1,1
1848,2900,2012,2329,4074,3948,3042,2361,28494,6680,0,1
1848,2900,2012,2329,4074,3948,3042,2361,28494,6680,0,1
1600,1318,1843,4937,2658,2592,2641,2697,23379,6687,1,1
1600,1318,1843,4937,2658,2592,2641,2697,23379,6687,0,1
1600,1318,1843,4937,2658,2592,2641,2697,23379,6687,0,1
430,535,640,1060,2215,1630,1814,2252,12074,5989,1,1
430,535,640,1060,2215,1630,1814,2252,12074,5989,0,1
430,535,640,1060,2215,1630,1814,2252,12074,5989,0,1
578,2053,1403,2876,3818,4889,3061,2285,19601,7446,1,1
578,2053,1403,2876,3818,4889,3061,2285,19601,7446,0,1
578,2053,1403,2876,3818,4889,3061,2285,19601,7446,0,1
730,1318,3180,2379,37419,33814,28951,28749,24899,39421,1,1
730,1318,3180,2379,37419,33814,28951,28749,24899,39421,0,1
730,1318,3180,2379,37419,33814,28951,28749,24899,39421,0,1
52427,26004,38877,53216,3032,2432,3129,3465,57070,9495,1,1
52427,26004,38877,53216,3032,2432,3129,3465,57070,9495,0,1
52427,26004,38877,53216,3032,2432,3129,3465,57070,9495,0,1
331,804,1570,1647,5166,5868,20640,4430,18743,27308,1,1
331,804,1570,1647,5166,5868,20640,4430,18743,27308,0,1
331,804,1570,1647,5166,5868,20640,4430,18743,27308,0,1
1197,2283,2035,2246,4722,4754,3076,3166,30230,11479,1,1
1197,2283,2035,2246,4722,4754,3076,3166,30230,11479,0,1
1197,2283,2035,2246,4722,4754,3076,3166,30230,11479,0,1
2525,4483,2577,2536,5876,3714,2691,2428,35028,9832,1,1
2525,4483,2577,2536,5876,3714,2691,2428,35028,9832,0,1
2525,4483,2577,2536,5876,3714,2691,2428,35028,9832,0,1
726,1000,1294,1197,1553,1244,1786,848,20056,5461,1,1
726,1000,1294,1197,1553,1244,1786,848,20056,5461,0,1
726,1000,1294,1197,1553,1244,1786,848,20056,5461,0,1
208,1257,850,2191,2715,1941,2196,2428,14094,5768,1,1
208,1257,850,2191,2715,1941,2196,2428,14094,5768,0,1
208,1257,850,2191,2715,1941,2196,2428,14094,5768,0,1
369,1453,1754,1675,2409,2672,2211,2666,15156,5851,1,1
369,1453,1754,1675,2409,2672,2211,2666,15156,5851,0,1
369,1453,1754,1675,2409,2672,2211,2666,15156,5851,0,1
430,860,1808,1553,2749,2053,2124,2534,16033,5873,1,1
430,860,1808,1553,2749,2053,2124,2534,16033,5873,0,1
430,860,1808,1553,2749,2053,2124,2534,16033,5873,0,1
400,1708,1191,1682,2336,2601,2156,2585,15430,5870,1,1
400,1708,1191,1682,2336,2601,2156,2585,15430,5870,0,1
400,1708,1191,1682,2336,2601,2156,2585,15430,5870,0,1
378,874,1725,1630,2257,2472,2090,2509,15549,5932,1,1
378,874,1725,1630,2257,2472,2090,2509,15549,5932,0,1
378,874,1725,1630,2257,2472,2090,2509,15549,5932,0,1
366,866,1674,1606,2217,2414,2069,2480,14839,5979,1,1
366,866,1674,1606,2217,2414,2069,2480,14839,5979,0,1
366,866,1674,1606,2217,2414,2069,2480,14839,5979,0,1
341,880,1637,1643,2200,2440,2065,2472,15087,5838,1,1
341,880,1637,1643,2200,2440,2065,2472,15087,5838,0,1
341,880,1637,1643,2200,2440,2065,2472,15087,5838,0,1
751,793,1418,1510,2188,2424,2067,2464,13113,5780,1,1
751,793,1418,1510,2188,2424,2067,2464,13113,5780,0,1
751,793,1418,1510,2188,2424,2067,2464,13113,5780,0,1
389,969,1781,1788,2610,2922,2354,2929,15784,6168,1,1
389,969,1781,1788,2610,2922,2354,2929,15784,6168,0,1
389,969,1781,1788,2610,2922,2354,2929,15784,6168,0,1
512,1162,2237,2095,3057,3503,2647,3375,18082,5871,1,1
512,1162,2237,2095,3057,3503,2647,3375,18082,5871,0,1
512,1162,2237,2095,3057,3503,2647,3375,18082,5871,0,1
322,1085,1580,2070,1738,2277,2035,1868,16836,5032,1,1
322,1085,1580,2070,1738,2277,2035,1868,16836,5032,0,1
322,1085,1580,2070,1738,2277,2035,1868,16836,5032,0,1
241,769,1074,1642,1934,1811,2581,2044,13878,5538,1,1
241,769,1074,1642,1934,1811,2581,2044,13878,5538,0,1
241,769,1074,1642,1934,1811,2581,2044,13878,5538,0,1
270,1685,981,1849,3020,2148,2353,2620,15470,5504,1,1
270,1685,981,1849,3020,2148,2353,2620,15470,5504,0,1
270,1685,981,1849,3020,2148,2353,2620,15470,5504,0,1
239,1051,1358,2070,3295,3442,2597,3172,14342,5643,1,1
239,1051,1358,2070,3295,3442,2597,3172,14342,5643,0,1
239,1051,1358,2070,3295,3442,2597,3172,14342,5643,0,1
313,1150,1594,2218,2351,2816,2396,2670,16834,5901,1,1
313,1150,1594,2218,2351,2816,2396,2670,16834,5901,0,1
313,1150,1594,2218,2351,2816,2396,2670,16834,5901,0,1
184,707,1444,1565,1380,1880,1646,1440,12870,4884,1,1
184,707,1444,1565,1380,1880,1646,1440,12870,4884,0,1
184,707,1444,1565,1380,1880,1646,1440,12870,4884,0,1
171,627,876,1398,1991,1606,1816,1686,12259,5267,1,1
171,627,876,1398,1991,1606,1816,1686,12259,5267,0,1
171,627,876,1398,1991,1606,1816,1686,12259,5267,0,1
177,599,924,1310,1351,1590,1544,1311,12563,4847,1,1
177,599,924,1310,1351,1590,1544,1311,12563,4847,0,1
177,599,924,1310,1351,1590,1544,1311,12563,4847,0,1
177,402,771,1023,872,1086,747,1111,11073,3485,1,1
177,402,771,1023,872,1086,747,1111,11073,3485,0,1
177,402,771,1023,872,1086,747,1111,11073,3485,0,1
163,233,522,394,776,799,506,934,5945,2955,1,1
163,233,522,394,776,799,506,934,5945,2955,0,1
163,233,522,394,776,799,506,934,5945,2955,0,1
162,502,305,720,894,896,799,1001,5429,3415,1,1
162,502,305,720,894,896,799,1001,5429,3415,0,1
162,502,305,720,894,896,799,1001,5429,3415,0,1
182,1372,643,2015,2544,2393,2459,2837,12588,5016,1,1
182,1372,643,2015,2544,2393,2459,2837,12588,5016,0,1
182,1372,643,2015,2544,2393,2459,2837,12588,5016,0,1
282,1741,1672,2292,3078,3586,2724,3376,15242,5640,1,1
282,1741,1672,2292,3078,3586,2724,3376,15242,5640,0,1
282,1741,1672,2292,3078,3586,2724,3376,15242,5640,0,1
447,1229,2157,2290,2919,3324,2672,3221,19200,6057,1,1
447,1229,2157,2290,2919,3324,2672,3221,19200,6057,0,1
447,1229,2157,2290,2919,3324,2672,3221,19200,6057,0,1
413,1251,2138,2347,2986,3525,2664,3306,17626,5657,1,1
413,1251,2138,2347,2986,3525,2664,3306,17626,5657,0,1
413,1251,2138,2347,2986,3525,2664,3306,17626,5657,0,1
277,1059,1655,2584,2322,2735,2318,2626,15710,5672,1,1
277,1059,1655,2584,2322,2735,2318,2626,15710,5672,0,1
277,1059,1655,2584,2322,2735,2318,2626,15710,5672,0,1
235,890,1343,1794,2349,2825,2340,2711,15848,6080,1,1
235,890,1343,1794,2349,2825,2340,2711,15848,6080,0,1
235,890,1343,1794,2349,2825,2340,2711,15848,6080,0,1
299,1768,1647,2105,2369,3017,2322,2810,16413,5771,1,1
299,1768,1647,2105,2369,3017,2322,2810,16413,5771,0,1
299,1768,1647,2105,2369,3017,2322,2810,16413,5771,0,1
257,1566,1217,1613,1704,2396,1726,2213,13683,4962,1,1
257,1566,1217,1613,1704,2396,1726,2213,13683,4962,0,1
257,1566,1217,1613,1704,2396,1726,2213,13683,4962,0,1
291,1510,1193,1312,1764,2345,1655,2299,13267,5220,1,1
291,1510,1193,1312,1764,2345,1655,2299,13267,5220,0,1
291,1510,1193,1312,1764,2345,1655,2299,13267,5220,0,1
346,445,2316,1071,1736,2187,1495,2361,13681,5019,1,1
346,445,2316,1071,1736,2187,1495,2361,13681,5019,0,1
346,445,2316,1071,1736,2187,1495,2361,13681,5019,0,1
363,425,1336,841,1749,2120,1481,2343,13477,4975,1,1
363,425,1336,841,1749,2120,1481,2343,13477,4975,0,1
363,425,1336,841,1749,2120,1481,2343,13477,4975,0,1
404,549,1454,1253,2345,2889,2275,2669,16421,5942,1,1
404,549,1454,1253,2345,2889,2275,2669,16421,5942,0,1
404,549,1454,1253,2345,2889,2275,2669,16421,5942,0,1
584,3796,2844,3434,4904,4313,5128,2684,22031,7243,1,1
584,3796,2844,3434,4904,4313,5128,2684,22031,7243,0,1
584,3796,2844,3434,4904,4313,5128,2684,22031,7243,0,1
2021,1730,2365,6366,4577,3949,3430,2498,25165,7228,1,1
2021,1730,2365,6366,4577,3949,3430,2498,25165,7228,0,1
2021,1730,2365,6366,4577,3949,3430,2498,25165,7228,0,1
1644,1523,1990,5021,4059,3514,3360,2266,24186,7358,1,1
1644,1523,1990,5021,4059,3514,3360,2266,24186,7358,0,1
1644,1523,1990,5021,4059,3514,3360,2266,24186,7358,0,1
1792,2747,2191,5361,4411,4124,3731,2574,26334,7361,1,1
1792,2747,2191,5361,4411,4124,3731,2574,26334,7361,0,1
1792,2747,2191,5361,4411,4124,3731,2574,26334,7361,0,1
2867,1809,2247,5832,5198,4397,3801,2521,27855,7344,1,1
2867,1809,2247,5832,5198,4397,3801,2521,27855,7344,0,1
2867,1809,2247,5832,5198,4397,3801,2521,27855,7344,0,1
3247,1859,2300,6537,4845,5260,3975,4213,30042,8303,1,1
3247,1859,2300,6537,4845,5260,3975,4213,30042,8303,0,1
3247,1859,2300,6537,4845,5260,3975,4213,30042,8303,0,1
1250,2109,4654,5604,4987,5370,3968,2851,33624,10835,1,1
1250,2109,4654,5604,4987,5370,3968,2851,33624,10835,0,1
1250,2109,4654,5604,4987,5370,3968,2851,33624,10835,0,1
4263,1996,2599,7601,5134,7072,4079,3055,34046,9588,1,1
4263,1996,2599,7601,5134,7072,4079,3055,34046,9588,0,1
4263,1996,2599,7601,5134,7072,4079,3055,34046,9588,0,1
2146,3562,2362,6683,4389,4288,5111,2654,30885,9832,1,1
2146,3562,2362,6683,4389,4288,5111,2654,30885,9832,0,1
2146,3562,2362,6683,4389,4288,5111,2654,30885,9832,0,1
1071,3044,3496,2732,5706,4695,3930,7124,32678,10521,1,1
1071,3044,3496,2732,5706,4695,3930,7124,32678,10521,0,1
1071,3044,3496,2732,5706,4695,3930,7124,32678,10521,0,1
2112,3440,2469,6485,5090,5032,4222,4704,32116,10181,1,1
2112,3440,2469,6485,5090,5032,4222,4704,32116,10181,0,1
2112,3440,2469,6485,5090,5032,4222,4704,32116,10181,0,1
2090,1825,2424,6667,5044,4931,4270,4490,29968,9927,1,1
2090,1825,2424,6667,5044,4931,4270,4490,29968,9927,0,1
2090,1825,2424,6667,5044,4931,4270,4490,29968,9927,0,1
2395,2088,4445,7755,8221,6132,4889,5293,30984,10060,1,1
2395,2088,4445,7755,8221,6132,4889,5293,30984,10060,0,1
2395,2088,4445,7755,8221,6132,4889,5293,30984,10060,0,1
2895,4735,7714,4322,15560,18578,14167,19003,34928,10283,1,1
2895,4735,7714,4322,15560,18578,14167,19003,34928,10283,0,1
2895,4735,7714,4322,15560,18578,14167,19003,34928,10283,0,1
2545,28561,57190,56780,60000,60000,60000,60000,60000,60000,1,1
2545,28561,57190,56780,60000,60000,60000,60000,60000,60000,0,1
2545,28561,57190,56780,60000,60000,60000,60000,60000,60000,0,1
2739,29115,51144,57841,60000,60000,60000,60000,60000,60000,1,1
2739,29115,51144,57841,60000,60000,60000,60000,60000,60000,0,1
2739,29115,51144,57841,60000,60000,60000,60000,60000,60000,0,1
1186,26119,6850,54506,57394,60000,60000,4943,60000,60000,1,1
1186,26119,6850,54506,57394,60000,60000,4943,60000,60000,0,1
1186,26119,6850,54506,57394,60000,60000,4943,60000,60000,0,1
22013,16276,2357,54152,29049,60000,60000,5959,60000,54274,1,1
22013,16276,2357,54152,29049,60000,60000,5959,60000,54274,0,1
22013,16276,2357,54152,29049,60000,60000,5959,60000,54274,0,1
910,21629,17005,50954,54288,60000,60000,5211,60000,58436,1,1
910,21629,17005,50954,54288,60000,60000,5211,60000,58436,0,1
910,21629,17005,50954,54288,60000,60000,5211,60000,58436,0,1
859,25206,3944,53235,5864,6231,5131,6887,60000,9775,1,1
859,25206,3944,53235,5864,6231,5131,6887,60000,9775,0,1
859,25206,3944,53235,5864,6231,5131,6887,60000,9775,0,1
305,1180,2321,1371,2109,3663,1924,1688,15111,8100,1,1
305,1180,2321,1371,2109,3663,1924,1688,15111,8100,0,1
305,1180,2321,1371,2109,3663,1924,1688,15111,8100,0,1
1029,960,1880,1240,5714,28937,30343,2789,16098,26671,1,1
1029,960,1880,1240,5714,28937,30343,2789,16098,26671,0,1
1029,960,1880,1240,5714,28937,30343,2789,16098,26671,0,1
13614,2980,1726,49834,5518,52169,57880,3764,60000,20556,1,1
