F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
319,545,392,1053,1016,1851,646,879,2873,243,1,1
319,545,392,1053,1016,1851,646,879,2873,243,0,1
319,545,392,1053,1016,1851,646,879,2873,243,0,1
795,396,199,673,1016,1101,646,879,2873,988,1,1
795,396,199,673,1016,1101,646,879,2873,988,0,1
795,396,199,673,1016,1101,646,879,2873,988,0,1
51,396,199,673,1016,1101,1392,879,2874,243,1,1
51,396,199,673,1016,1101,1392,879,2874,243,0,1
51,396,199,673,1016,1101,1392,879,2874,243,0,1
51,396,199,673,1016,1101,647,879,2876,244,1,1
51,396,199,673,1016,1101,647,879,2876,244,0,1
51,396,199,673,1016,1101,647,879,2876,244,0,1
51,396,199,673,1016,1101,647,879,2876,244,1,1
51,396,199,673,1016,1101,647,879,2876,244,0,1
51,396,199,673,1016,1101,647,879,2876,244,0,1
795,396,199,673,1016,1101,1392,879,2876,243,1,1
795,396,199,673,1016,1101,1392,879,2876,243,0,1
795,396,199,673,1016,1101,1392,879,2876,243,0,1
795,396,199,673,1016,1101,647,879,2875,989,1,1
795,396,199,673,1016,1101,647,879,2875,989,0,1
795,396,199,673,1016,1101,647,879,2875,989,0,1
51,396,199,673,1016,1101,647,879,2874,243,1,1
51,396,199,673,1016,1101,647,879,2874,243,0,1
51,396,199,673,1016,1101,647,879,2874,243,0,1
51,396,199,673,1016,1101,647,879,2875,244,1,1
51,396,199,673,1016,1101,647,879,2875,244,0,1
51,396,199,673,1016,1101,647,879,2875,244,0,1
51,396,199,673,1016,1101,647,879,2875,244,0,1
103,928,565,307,1762,1102,647,879,2878,244,1,1
103,928,565,307,1762,1102,647,879,2878,244,0,1
103,928,565,307,1762,1102,647,879,2878,244,0,1
103,178,199,673,1762,1102,647,880,2878,244,1,1
103,178,199,673,1762,1102,647,880,2878,244,0,1
103,178,199,673,1762,1102,647,880,2878,244,0,1
796,396,199,674,1017,1102,647,1628,2879,244,1,1
796,396,199,674,1017,1102,647,1628,2879,244,0,1
796,396,199,674,1017,1102,647,1628,2879,244,0,1
796,396,199,673,1017,1102,647,880,2879,244,1,1
796,396,199,673,1017,1102,647,880,2879,244,0,1
796,396,199,673,1017,1102,647,880,2879,244,0,1
51,396,199,674,1017,1854,647,880,2879,245,1,1
51,396,199,674,1017,1854,647,880,2879,245,0,1
51,396,199,674,1017,1854,647,880,2879,245,0,1
51,396,199,674,1017,1854,647,880,2880,245,1,1
51,396,199,674,1017,1854,647,880,2880,245,0,1
51,396,199,674,1017,1854,647,880,2880,245,0,1
51,396,199,674,1017,1102,1394,880,2880,245,1,1
51,396,199,674,1017,1102,1394,880,2880,245,0,1
51,396,199,674,1017,1102,1394,880,2880,245,0,1
796,396,199,674,1017,1102,1394,880,2881,245,1,1
796,396,199,674,1017,1102,1394,880,2881,245,0,1
796,396,199,674,1017,1102,1394,880,2881,245,0,1
51,396,199,674,1017,1854,647,880,2881,245,1,1
51,396,199,674,1017,1854,647,880,2881,245,0,1
51,396,199,674,1017,1854,647,880,2881,245,0,1
796,396,199,674,1017,1102,647,880,2881,245,1,1
796,396,199,674,1017,1102,647,880,2881,245,0,1
796,396,199,674,1017,1102,647,880,2881,245,0,1
796,396,199,674,1017,1853,647,880,2881,245,1,1
796,396,199,674,1017,1853,647,880,2881,245,0,1
796,396,199,674,1017,1853,647,880,2881,245,0,1
792,394,198,671,1007,1092,641,872,2868,243,1,1
792,394,198,671,1007,1092,641,872,2868,243,0,1
792,394,198,671,1007,1092,641,872,2868,243,0,1
785,391,196,664,998,1082,635,1599,2841,242,1,1
785,391,196,664,998,1082,635,1599,2841,242,0,1
785,391,196,664,998,1082,635,1599,2841,242,0,1
50,387,195,658,1721,1076,632,860,2817,241,1,1
50,387,195,658,1721,1076,632,860,2817,241,0,1
50,387,195,658,1721,1076,632,860,2817,241,0,1
777,387,195,658,993,1076,632,860,2815,970,1,1
777,387,195,658,993,1076,632,860,2815,970,0,1
777,387,195,658,993,1076,632,860,2815,970,0,1
50,1120,195,658,993,1076,1361,860,2815,241,1,1
50,1120,195,658,993,1076,1361,860,2815,241,0,1
50,1120,195,658,993,1076,1361,860,2815,241,0,1
50,1120,195,658,993,1076,632,860,2816,241,1,1
50,1120,195,658,993,1076,632,860,2816,241,0,1
50,1120,195,658,993,1076,632,860,2816,241,0,1
777,387,195,658,993,1076,1361,860,2815,242,1,1
777,387,195,658,993,1076,1361,860,2815,242,0,1
777,387,195,658,993,1076,1361,860,2815,242,0,1
778,387,195,658,993,1811,632,861,2817,242,1,1
778,387,195,658,993,1811,632,861,2817,242,0,1
778,387,195,658,993,1811,632,861,2817,242,0,1
50,1120,195,658,993,1811,632,861,2817,242,1,1
50,1120,195,658,993,1811,632,861,2817,242,0,1
50,1120,195,658,993,1811,632,861,2817,242,0,1
50,1120,195,658,993,1076,632,861,2817,242,1,1
50,1120,195,658,993,1076,632,861,2817,242,0,1
50,1120,195,658,993,1076,632,861,2817,242,0,1
778,387,195,658,993,1076,632,1591,2816,241,1,1
778,387,195,658,993,1076,632,1591,2816,241,0,1
778,387,195,658,993,1076,632,1591,2816,241,0,1
50,1120,195,658,1721,1076,632,860,2816,241,1,1
50,1120,195,658,1721,1076,632,860,2816,241,0,1
50,1120,195,658,1721,1076,632,860,2816,241,0,1
777,387,195,658,1721,1076,632,860,2815,241,1,1
777,387,195,658,1721,1076,632,860,2815,241,0,1
777,387,195,658,1721,1076,632,860,2815,241,0,1
50,1120,195,658,992,1076,632,860,2814,241,1,1
50,1120,195,658,992,1076,632,860,2814,241,0,1
50,1120,195,658,992,1076,632,860,2814,241,0,1
777,387,195,658,992,1075,632,859,2814,240,1,1
777,387,195,658,992,1075,632,859,2814,240,0,1
777,387,195,658,992,1075,632,859,2814,240,0,1
777,387,195,658,1721,1075,632,859,2813,240,1,1
777,387,195,658,1721,1075,632,859,2813,240,0,1
777,387,195,658,1721,1075,632,859,2813,240,0,1
777,387,194,658,1721,1075,632,859,2813,240,1,1
777,387,194,658,1721,1075,632,859,2813,240,0,1
777,387,194,658,1721,1075,632,859,2813,240,0,1
777,387,194,658,992,1075,1360,859,2813,240,1,1
777,387,194,658,992,1075,1360,859,2813,240,0,1
777,387,194,658,992,1075,1360,859,2813,240,0,1
777,387,194,658,992,1075,632,859,2812,240,1,1
777,387,194,658,992,1075,632,859,2812,240,0,1
777,387,194,658,992,1075,632,859,2812,240,0,1
777,387,194,657,992,1809,632,859,2812,240,1,1
777,387,194,657,992,1809,632,859,2812,240,0,1
777,387,194,657,992,1809,632,859,2812,240,0,1
777,387,194,657,1720,1075,632,859,2812,240,1,1
777,387,194,657,1720,1075,632,859,2812,240,0,1
777,387,194,657,1720,1075,632,859,2812,240,0,1
777,387,194,657,992,1810,632,859,2812,240,1,1
777,387,194,657,992,1810,632,859,2812,240,0,1
777,387,194,657,992,1810,632,859,2812,240,0,1
50,1120,194,657,992,1075,632,859,2812,240,1,1
50,1120,194,657,992,1075,632,859,2812,240,0,1
50,1120,194,657,992,1075,632,859,2812,240,0,1
777,387,194,657,992,1075,632,859,2812,240,1,1
777,387,194,657,992,1075,632,859,2812,240,0,1
777,387,194,657,992,1075,632,859,2812,240,0,1
777,387,194,657,992,1075,632,859,2812,240,1,1
777,387,194,657,992,1075,632,859,2812,240,0,1
777,387,194,657,992,1075,632,859,2812,240,0,1
50,387,194,657,992,1075,632,859,2812,240,1,1
50,387,194,657,992,1075,632,859,2812,240,0,1
50,387,194,657,992,1075,632,859,2812,240,0,1
774,386,194,655,984,1794,626,852,2802,238,1,1
774,386,194,655,984,1794,626,852,2802,238,0,1
774,386,194,655,984,1794,626,852,2802,238,0,1
50,382,192,649,974,1056,620,844,2776,236,1,1
50,382,192,649,974,1056,620,844,2776,236,0,1
50,382,192,649,974,1056,620,844,2776,236,0,1
49,378,190,643,967,1049,616,838,2750,235,1,1
49,378,190,643,967,1049,616,838,2750,235,0,1
49,378,190,643,967,1049,616,838,2750,235,0,1
758,378,190,641,1678,1049,616,838,2744,235,1,1
758,378,190,641,1678,1049,616,838,2744,235,0,1
758,378,190,641,1678,1049,616,838,2744,235,0,1
49,1092,190,641,967,1765,616,839,2744,235,1,1
49,1092,190,641,967,1765,616,839,2744,235,0,1
49,1092,190,641,967,1765,616,839,2744,235,0,1
49,377,190,641,967,1049,616,1551,2744,235,1,1
49,377,190,641,967,1049,616,1551,2744,235,0,1
49,377,190,641,967,1049,616,1551,2744,235,0,1
49,378,190,641,967,1048,616,838,2744,235,1,1
49,378,190,641,967,1048,616,838,2744,235,0,1
49,378,190,641,967,1048,616,838,2744,235,0,1
49,378,190,641,967,1049,1327,839,2744,235,1,1
49,378,190,641,967,1049,1327,839,2744,235,0,1
49,378,190,641,967,1049,1327,839,2744,235,0,1
49,1092,190,641,967,1049,616,839,2744,235,1,1
49,1092,190,641,967,1049,616,839,2744,235,0,1
49,1092,190,641,967,1049,616,839,2744,235,0,1
758,378,190,641,967,1049,616,410,2744,235,1,1
758,378,190,641,967,1049,616,410,2744,235,0,1
758,378,190,641,967,1049,616,410,2744,235,0,1
758,378,190,641,967,1765,616,838,2744,235,1,1
758,378,190,641,967,1765,616,838,2744,235,0,1
758,378,190,641,967,1765,616,838,2744,235,0,1
49,378,190,641,967,1049,616,839,2744,235,1,1
49,378,190,641,967,1049,616,839,2744,235,0,1
49,378,190,641,967,1049,616,839,2744,235,0,1
758,378,190,641,967,1049,1327,839,2744,235,1,1
758,378,190,641,967,1049,1327,839,2744,235,0,1
758,378,190,641,967,1049,1327,839,2744,235,0,1
49,1092,190,641,967,1049,616,1551,2744,235,1,1
49,1092,190,641,967,1049,616,1551,2744,235,0,1
49,1092,190,641,967,1049,616,1551,2744,235,0,1
758,378,190,641,1678,1049,616,839,2744,235,1,1
758,378,190,641,1678,1049,616,839,2744,235,0,1
758,378,190,641,1678,1049,616,839,2744,235,0,1
758,378,190,641,1678,1049,616,839,2744,235,1,1
758,378,190,641,1678,1049,616,839,2744,235,0,1
758,378,190,641,1678,1049,616,839,2744,235,0,1
49,378,190,641,967,1049,616,839,2744,235,1,1
49,378,190,641,967,1049,616,839,2744,235,0,1
49,378,190,641,967,1049,616,839,2744,235,0,1
758,378,190,641,967,1049,616,839,2744,235,1,1
758,378,190,641,967,1049,616,839,2744,235,0,1
758,378,190,641,967,1049,616,839,2744,235,0,1
49,1092,190,641,967,1049,616,838,2744,235,1,1
49,1092,190,641,967,1049,616,838,2744,235,0,1
49,1092,190,641,967,1049,616,838,2744,235,0,1
49,1092,190,641,967,1049,616,839,2744,235,1,1
49,1092,190,641,967,1049,616,839,2744,235,0,1
49,1092,190,641,967,1049,616,839,2744,235,0,1
758,378,190,641,967,1049,616,839,2744,235,1,1
758,378,190,641,967,1049,616,839,2744,235,0,1
758,378,190,641,967,1049,616,839,2744,235,0,1
758,377,190,641,968,1049,616,839,2744,235,1,1
758,377,190,641,968,1049,616,839,2744,235,0,1
758,377,190,641,968,1049,616,839,2744,235,0,1
49,1092,190,641,1678,1049,616,839,2744,235,1,1
49,1092,190,641,1678,1049,616,839,2744,235,0,1
49,1092,190,641,1678,1049,616,839,2744,235,0,1
758,378,190,641,968,1049,616,839,2744,947,1,1
758,378,190,641,968,1049,616,839,2744,947,0,1
758,378,190,641,968,1049,616,839,2744,947,0,1
758,378,190,641,968,1049,616,839,2744,947,1,1
758,378,190,641,968,1049,616,839,2744,947,0,1
758,378,190,641,968,1049,616,839,2744,947,0,1
49,378,190,641,967,1049,1327,839,2744,235,1,1
49,378,190,641,967,1049,1327,839,2744,235,0,1
49,378,190,641,967,1049,1327,839,2744,235,0,1
49,377,189,640,961,1041,612,833,2738,234,1,1
49,377,189,640,961,1041,612,833,2738,234,0,1
49,377,189,640,961,1041,612,833,2738,234,0,1
749,373,188,634,951,1031,606,825,2712,232,1,1
749,373,188,634,951,1031,606,825,2712,232,0,1
749,373,188,634,951,1031,606,825,2712,232,0,1
48,866,186,831,944,1023,601,818,2687,230,1,1
48,866,186,831,944,1023,601,818,2687,230,0,1
48,866,186,831,944,1023,601,818,2687,230,0,1
788,165,185,828,943,1023,601,818,2678,230,1,1
788,165,185,828,943,1023,601,818,2678,230,0,1
788,165,185,828,943,1023,601,818,2678,230,0,1
740,369,185,626,944,1023,601,818,2678,231,1,1
740,369,185,626,944,1023,601,818,2678,231,0,1
740,369,185,626,944,1023,601,818,2678,231,0,1
788,165,185,828,943,1023,1294,818,2678,230,1,1
788,165,185,828,943,1023,1294,818,2678,230,0,1
788,165,185,828,943,1023,1294,818,2678,230,0,1
788,165,185,828,943,1023,601,818,2678,230,1,1
788,165,185,828,943,1023,601,818,2678,230,0,1
788,165,185,828,943,1023,601,818,2678,230,0,1
48,1066,185,626,944,1023,601,819,2678,231,1,1
48,1066,185,626,944,1023,601,819,2678,231,0,1
48,1066,185,626,944,1023,601,819,2678,231,0,1
740,165,185,829,943,1722,601,818,2678,231,1,1
740,165,185,829,943,1722,601,818,2678,231,0,1
740,165,185,829,943,1722,601,818,2678,231,0,1
96,165,185,829,944,1023,601,1514,2678,230,1,1
96,165,185,829,944,1023,601,1514,2678,230,0,1
96,165,185,829,944,1023,601,1514,2678,230,0,1
789,165,185,829,944,1722,601,818,2678,230,1,1
789,165,185,829,944,1722,601,818,2678,230,0,1
789,165,185,829,944,1722,601,818,2678,230,0,1
789,165,185,829,944,1023,601,818,2678,231,1,1
789,165,185,829,944,1023,601,818,2678,231,0,1
789,165,185,829,944,1023,601,818,2678,231,0,1
788,165,185,828,944,1023,1295,818,2678,230,1,1
788,165,185,828,944,1023,1295,818,2678,230,0,1
788,165,185,828,944,1023,1295,818,2678,230,0,1
96,165,185,828,944,1023,601,819,2678,230,1,1
96,165,185,828,944,1023,601,819,2678,230,0,1
96,165,185,828,944,1023,601,819,2678,230,0,1
740,368,185,626,943,1023,601,818,2678,230,1,1
740,368,185,626,943,1023,601,818,2678,230,0,1
740,368,185,626,943,1023,601,818,2678,230,0,1
789,165,185,829,945,1722,601,819,2678,230,1,1
789,165,185,829,945,1722,601,819,2678,230,0,1
789,165,185,829,945,1722,601,819,2678,230,0,1
96,863,185,829,945,1023,601,1514,2678,230,1,1
96,863,185,829,945,1023,601,1514,2678,230,0,1
96,863,185,829,945,1023,601,1514,2678,230,0,1
789,165,185,829,944,1722,601,819,2678,231,1,1
789,165,185,829,944,1722,601,819,2678,231,0,1
789,165,185,829,944,1722,601,819,2678,231,0,1
789,165,185,829,944,1722,601,818,2678,230,1,1
789,165,185,829,944,1722,601,818,2678,230,0,1
789,165,185,829,944,1722,601,818,2678,230,0,1
788,165,185,828,1637,1023,601,818,2678,230,1,1
788,165,185,828,1637,1023,601,818,2678,230,0,1
788,165,185,828,1637,1023,601,818,2678,230,0,1
96,863,185,829,944,1023,601,819,2678,925,1,1
96,863,185,829,944,1023,601,819,2678,925,0,1
96,863,185,829,944,1023,601,819,2678,925,0,1
96,863,185,829,944,1023,1295,818,2678,231,1,1
96,863,185,829,944,1023,1295,818,2678,231,0,1
96,863,185,829,944,1023,1295,818,2678,231,0,1
789,165,185,829,944,1023,601,819,2678,230,1,1
789,165,185,829,944,1023,601,819,2678,230,0,1
789,165,185,829,944,1023,601,819,2678,230,0,1
48,1066,185,626,945,1023,601,819,2678,230,1,1
48,1066,185,626,945,1023,601,819,2678,230,0,1
48,1066,185,626,945,1023,601,819,2678,230,0,1
48,1066,185,626,945,1023,601,819,2678,230,0,1
48,165,525,285,944,1023,601,400,2861,230,1,1
48,165,525,285,944,1023,601,400,2861,230,0,1
48,165,525,285,944,1023,601,400,2861,230,0,1
789,166,185,829,944,1023,601,1514,2678,231,1,1
789,166,185,829,944,1023,601,1514,2678,231,0,1
