F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,9,7,4,5,13,1,1,2
1,0,1,1,9,7,4,5,13,1,0,2
1,0,1,1,9,7,4,5,13,1,0,2
5,1,2,2,18,15,9,9,22,4,1,1
5,1,2,2,18,15,9,9,22,4,0,1
5,1,2,2,18,15,9,9,22,4,0,1
1,15,3,6,31,45,58,16,117,19,1,2
1,15,3,6,31,45,58,16,117,19,0,2
1,15,3,6,31,45,58,16,117,19,0,2
16,6,10,16,41,66,65,71,211,19,1,2
16,6,10,16,41,66,65,71,211,19,0,2
16,6,10,16,41,66,65,71,211,19,0,2
4,9,19,87,42,59,76,50,198,4,1,2
4,9,19,87,42,59,76,50,198,4,0,2
4,9,19,87,42,59,76,50,198,4,0,2
2,84,9,2,40,63,6,143,24,4,1,2
2,84,9,2,40,63,6,143,24,4,0,2
2,84,9,2,40,63,6,143,24,4,0,2
22,23,1,2,37,12,6,10,24,89,1,2
22,23,1,2,37,12,6,10,24,89,0,2
22,23,1,2,37,12,6,10,24,89,0,2
22,23,1,2,37,12,6,10,24,89,0,2
0,3,134,14,195,304,139,130,24,183,1,2
0,3,134,14,195,304,139,130,24,183,0,2
0,3,134,14,195,304,139,130,24,183,0,2
11,10,47,25,22,19,13,14,577,12,1,2
11,10,47,25,22,19,13,14,577,12,0,2
11,10,47,25,22,19,13,14,577,12,0,2
1,3,4,13,10,23,11,12,55,4,1,2
1,3,4,13,10,23,11,12,55,4,0,2
1,3,4,13,10,23,11,12,55,4,0,2
7,3,1,2,8,20,9,9,30,3,1,1
7,3,1,2,8,20,9,9,30,3,0,1
7,3,1,2,8,20,9,9,30,3,0,1
8,4,2,3,13,18,23,14,44,6,1,1
8,4,2,3,13,18,23,14,44,6,0,1
8,4,2,3,13,18,23,14,44,6,0,1
10,4,3,4,126,22,289,20,277,152,1,1
10,4,3,4,126,22,289,20,277,152,0,1
10,4,3,4,126,22,289,20,277,152,0,1
4,41,81,108,307,553,650,556,1148,175,1,2
4,41,81,108,307,553,650,556,1148,175,0,2
4,41,81,108,307,553,650,556,1148,175,0,2
32,168,205,215,1390,1162,603,448,2447,126,1,0
32,168,205,215,1390,1162,603,448,2447,126,0,0
32,168,205,215,1390,1162,603,448,2447,126,0,0
508,81,87,285,517,677,272,671,1035,9,1,2
508,81,87,285,517,677,272,671,1035,9,0,2
508,81,87,285,517,677,272,671,1035,9,0,2
51,39,42,378,120,333,38,300,85,4,1,2
51,39,42,378,120,333,38,300,85,4,0,2
51,39,42,378,120,333,38,300,85,4,0,2
1,163,3,69,169,149,10,94,34,3,1,2
1,163,3,69,169,149,10,94,34,3,0,2
1,163,3,69,169,149,10,94,34,3,0,2
85,2,2,18,35,19,40,69,31,3,1,2
85,2,2,18,35,19,40,69,31,3,0,2
85,2,2,18,35,19,40,69,31,3,0,2
0,4,1,2,9,37,7,9,25,2,1,2
0,4,1,2,9,37,7,9,25,2,0,2
0,4,1,2,9,37,7,9,25,2,0,2
22,2,1,2,8,13,6,8,22,2,1,2
22,2,1,2,8,13,6,8,22,2,0,2
22,2,1,2,8,13,6,8,22,2,0,2
0,1,1,13,7,12,6,8,21,2,1,2
0,1,1,13,7,12,6,8,21,2,0,2
0,1,1,13,7,12,6,8,21,2,0,2
0,1,2,10,9,16,10,11,24,13,1,2
0,1,2,10,9,16,10,11,24,13,0,2
0,1,2,10,9,16,10,11,24,13,0,2
1,2,3,3,12,20,12,13,45,16,1,1
1,2,3,3,12,20,12,13,45,16,0,1
1,2,3,3,12,20,12,13,45,16,0,1
1,4,3,4,23,64,21,28,57,17,1,1
1,4,3,4,23,64,21,28,57,17,0,1
1,4,3,4,23,64,21,28,57,17,0,1
6,8,25,11,158,90,390,122,951,157,1,1
6,8,25,11,158,90,390,122,951,157,0,1
6,8,25,11,158,90,390,122,951,157,0,1
57,28,54,67,205,246,474,243,1386,152,1,1
57,28,54,67,205,246,474,243,1386,152,0,1
57,28,54,67,205,246,474,243,1386,152,0,1
24,73,83,138,704,1464,513,206,1927,112,1,1
24,73,83,138,704,1464,513,206,1927,112,0,1
24,73,83,138,704,1464,513,206,1927,112,0,1
47,142,92,221,628,1002,495,395,2609,102,1,1
47,142,92,221,628,1002,495,395,2609,102,0,1
47,142,92,221,628,1002,495,395,2609,102,0,1
521,49,270,173,617,984,485,387,1927,100,1,1
521,49,270,173,617,984,485,387,1927,100,0,1
521,49,270,173,617,984,485,387,1927,100,0,1
23,48,262,650,590,946,463,368,1898,95,1,1
23,48,262,650,590,946,463,368,1898,95,0,1
23,48,262,650,590,946,463,368,1898,95,0,1
23,46,709,160,564,918,447,361,1627,94,1,1
23,46,709,160,564,918,447,361,1627,94,0,1
23,46,709,160,564,918,447,361,1627,94,0,1
23,46,253,160,583,935,454,362,1687,98,1,1
23,46,253,160,583,935,454,362,1687,98,0,1
23,46,253,160,583,935,454,362,1687,98,0,1
23,46,256,162,579,930,447,359,1716,96,1,1
23,46,256,162,579,930,447,359,1716,96,0,1
23,46,256,162,579,930,447,359,1716,96,0,1
23,46,251,159,552,890,432,353,1555,82,1,1
23,46,251,159,552,890,432,353,1555,82,0,1
23,46,251,159,552,890,432,353,1555,82,0,1
19,463,221,139,342,538,212,244,887,331,1,1
19,463,221,139,342,538,212,244,887,331,0,1
19,463,221,139,342,538,212,244,887,331,0,1
48,15,28,101,80,212,16,70,273,5,1,1
48,15,28,101,80,212,16,70,273,5,0,1
48,15,28,101,80,212,16,70,273,5,0,1
6,3,30,4,58,39,13,20,218,5,1,1
6,3,30,4,58,39,13,20,218,5,0,1
6,3,30,4,58,39,13,20,218,5,0,1
1,4,3,4,21,62,18,26,60,8,1,1
1,4,3,4,21,62,18,26,60,8,0,1
1,4,3,4,21,62,18,26,60,8,0,1
7,6,16,6,160,149,324,131,645,171,1,1
7,6,16,6,160,149,324,131,645,171,0,1
7,6,16,6,160,149,324,131,645,171,0,1
14,29,59,89,185,232,486,217,1390,133,1,1
14,29,59,89,185,232,486,217,1390,133,0,1
14,29,59,89,185,232,486,217,1390,133,0,1
7,33,47,98,214,397,474,311,1043,130,1,1
7,33,47,98,214,397,474,311,1043,130,0,1
7,33,47,98,214,397,474,311,1043,130,0,1
17,64,76,128,612,864,566,486,1564,137,1,1
17,64,76,128,612,864,566,486,1564,137,0,1
17,64,76,128,612,864,566,486,1564,137,0,1
140,90,508,347,645,1031,527,421,2208,113,1,1
140,90,508,347,645,1031,527,421,2208,113,0,1
140,90,508,347,645,1031,527,421,2208,113,0,1
22,129,83,317,215,405,88,441,1254,10,1,1
22,129,83,317,215,405,88,441,1254,10,0,1
22,129,83,317,215,405,88,441,1254,10,0,1
2,157,4,5,46,58,13,34,47,4,1,1
2,157,4,5,46,58,13,34,47,4,0,1
2,157,4,5,46,58,13,34,47,4,0,1
2,1,2,26,102,26,12,17,41,3,1,1
2,1,2,26,102,26,12,17,41,3,0,1
2,1,2,26,102,26,12,17,41,3,0,1
1,5,2,3,29,25,12,17,39,3,1,1
1,5,2,3,29,25,12,17,39,3,0,1
1,5,2,3,29,25,12,17,39,3,0,1
1,4,3,3,89,24,12,16,51,3,1,1
1,4,3,3,89,24,12,16,51,3,0,1
1,4,3,3,89,24,12,16,51,3,0,1
1,4,4,3,32,25,12,8,54,4,1,1
1,4,4,3,32,25,12,8,54,4,0,1
1,4,4,3,32,25,12,8,54,4,0,1
1,4,2,3,104,27,12,17,40,4,1,1
1,4,2,3,104,27,12,17,40,4,0,1
1,4,2,3,104,27,12,17,40,4,0,1
1,4,2,72,28,25,12,16,40,3,1,1
1,4,2,72,28,25,12,16,40,3,0,1
1,4,2,72,28,25,12,16,40,3,0,1
1,3,3,3,30,25,12,17,50,3,1,1
1,3,3,3,30,25,12,17,50,3,0,1
1,3,3,3,30,25,12,17,50,3,0,1
65,4,4,3,24,24,11,16,53,3,1,1
65,4,4,3,24,24,11,16,53,3,0,1
65,4,4,3,24,24,11,16,53,3,0,1
63,5,2,3,81,24,11,16,38,3,1,1
63,5,2,3,81,24,11,16,38,3,0,1
63,5,2,3,81,24,11,16,38,3,0,1
1,5,2,3,29,25,12,17,38,3,1,1
1,5,2,3,29,25,12,17,38,3,0,1
1,5,2,3,29,25,12,17,38,3,0,1
1,4,2,3,25,24,73,16,38,3,1,1
1,4,2,3,25,24,73,16,38,3,0,1
1,4,2,3,25,24,73,16,38,3,0,1
63,4,3,3,29,25,12,16,48,3,1,1
63,4,3,3,29,25,12,16,48,3,0,1
63,4,3,3,29,25,12,16,48,3,0,1
1,4,2,3,25,24,11,16,38,3,1,1
1,4,2,3,25,24,11,16,38,3,0,1
1,4,2,3,25,24,11,16,38,3,0,1
1,4,3,3,28,24,12,77,47,3,1,1
1,4,3,3,28,24,12,77,47,3,0,1
1,4,3,3,28,24,12,77,47,3,0,1
1,4,4,3,91,24,12,16,49,3,1,1
1,4,4,3,91,24,12,16,49,3,0,1
1,4,4,3,91,24,12,16,49,3,0,1
1,68,2,3,26,24,71,16,38,3,1,1
1,68,2,3,26,24,71,16,38,3,0,1
1,68,2,3,26,24,71,16,38,3,0,1
1,3,2,3,27,24,12,76,37,3,1,1
1,3,2,3,27,24,12,76,37,3,0,1
1,3,2,3,27,24,12,76,37,3,0,1
1,5,2,3,24,24,70,16,37,3,1,1
1,5,2,3,24,24,70,16,37,3,0,1
1,5,2,3,24,24,70,16,37,3,0,1
1,3,2,3,27,24,11,75,37,3,1,1
1,3,2,3,27,24,11,75,37,3,0,1
1,3,2,3,27,24,11,75,37,3,0,1
56,5,2,3,78,23,11,16,36,3,1,1
56,5,2,3,78,23,11,16,36,3,0,1
56,5,2,3,78,23,11,16,36,3,0,1
1,5,2,3,22,23,11,16,36,3,1,1
1,5,2,3,22,23,11,16,36,3,0,1
1,5,2,3,22,23,11,16,36,3,0,1
1,3,2,3,22,23,11,16,91,3,1,1
1,3,2,3,22,23,11,16,91,3,0,1
1,3,2,3,22,23,11,16,91,3,0,1
1,4,3,3,27,24,11,75,102,3,1,1
1,4,3,3,27,24,11,75,102,3,0,1
1,4,3,3,27,24,11,75,102,3,0,1
61,4,3,3,27,24,11,16,48,3,1,1
61,4,3,3,27,24,11,16,48,3,0,1
61,4,3,3,27,24,11,16,48,3,0,1
65,4,4,3,31,26,76,16,52,3,1,1
65,4,4,3,31,26,76,16,52,3,0,1
65,4,4,3,31,26,76,16,52,3,0,1
1,6,2,3,36,36,12,18,40,4,1,1
1,6,2,3,36,36,12,18,40,4,0,1
1,6,2,3,36,36,12,18,40,4,0,1
1,12,2,4,38,127,13,19,40,4,1,1
1,12,2,4,38,127,13,19,40,4,0,1
1,12,2,4,38,127,13,19,40,4,0,1
1,7,2,4,38,53,13,19,41,4,1,1
1,7,2,4,38,53,13,19,41,4,0,1
1,7,2,4,38,53,13,19,41,4,0,1
1,7,2,4,40,144,13,20,42,4,1,1
1,7,2,4,40,144,13,20,42,4,0,1
1,7,2,4,40,144,13,20,42,4,0,1
1,12,2,4,39,49,12,18,41,88,1,1
1,12,2,4,39,49,12,18,41,88,0,1
1,12,2,4,39,49,12,18,41,88,0,1
85,5,8,4,40,53,13,19,41,4,1,1
85,5,8,4,40,53,13,19,41,4,0,1
85,5,8,4,40,53,13,19,41,4,0,1
86,12,2,4,40,50,13,19,41,89,1,1
86,12,2,4,40,50,13,19,41,89,0,1
86,12,2,4,40,50,13,19,41,89,0,1
1,7,2,4,122,45,12,18,41,4,1,1
1,7,2,4,122,45,12,18,41,4,0,1
1,7,2,4,122,45,12,18,41,4,0,1
1,10,2,4,38,42,12,18,41,86,1,1
1,10,2,4,38,42,12,18,41,86,0,1
1,10,2,4,38,42,12,18,41,86,0,1
1,6,2,4,36,34,12,96,40,4,1,1
1,6,2,4,36,34,12,96,40,4,0,1
1,6,2,4,36,34,12,96,40,4,0,1
1,4,2,3,35,110,12,17,40,4,1,1
1,4,2,3,35,110,12,17,40,4,0,1
1,4,2,3,35,110,12,17,40,4,0,1
4,19,6,81,36,35,12,17,40,4,1,1
4,19,6,81,36,35,12,17,40,4,0,1
4,19,6,81,36,35,12,17,40,4,0,1
4,19,6,81,36,35,12,17,40,4,0,1
6,77,2,3,35,30,12,17,61,4,1,1
6,77,2,3,35,30,12,17,61,4,0,1
6,77,2,3,35,30,12,17,61,4,0,1
2,1,2,3,33,28,12,87,58,4,1,1
2,1,2,3,33,28,12,87,58,4,0,1
2,1,2,3,33,28,12,87,58,4,0,1
1,4,4,3,101,27,12,17,54,3,1,1
1,4,4,3,101,27,12,17,54,3,0,1
1,4,4,3,101,27,12,17,54,3,0,1
69,1,7,3,32,27,12,17,55,3,1,1
69,1,7,3,32,27,12,17,55,3,0,1
69,1,7,3,32,27,12,17,55,3,0,1
1,4,4,3,34,31,12,17,56,75,1,1
1,4,4,3,34,31,12,17,56,75,0,1
1,4,4,3,34,31,12,17,56,75,0,1
1,4,2,78,35,35,89,17,40,4,1,1
1,4,2,78,35,35,89,17,40,4,0,1
1,4,2,78,35,35,89,17,40,4,0,1
1,85,5,4,37,44,12,100,41,4,1,1
1,85,5,4,37,44,12,100,41,4,0,1
1,85,5,4,37,44,12,100,41,4,0,1
1,5,6,4,38,36,12,98,59,4,1,1
1,5,6,4,38,36,12,98,59,4,0,1
1,5,6,4,38,36,12,98,59,4,0,1
1,13,2,4,37,32,12,18,39,4,1,1
1,13,2,4,37,32,12,18,39,4,0,1
1,13,2,4,37,32,12,18,39,4,0,1
1,7,5,81,35,29,12,17,56,4,1,1
1,7,5,81,35,29,12,17,56,4,0,1
1,7,5,81,35,29,12,17,56,4,0,1
1,9,2,3,35,105,12,17,38,4,1,1
1,9,2,3,35,105,12,17,38,4,0,1
1,9,2,3,35,105,12,17,38,4,0,1
1,6,5,3,34,28,12,17,54,3,1,1
1,6,5,3,34,28,12,17,54,3,0,1
1,6,5,3,34,28,12,17,54,3,0,1
1,7,2,3,32,26,81,16,37,3,1,1
1,7,2,3,32,26,81,16,37,3,0,1
1,7,2,3,32,26,81,16,37,3,0,1
1,4,2,3,29,24,12,16,36,3,1,1
1,4,2,3,29,24,12,16,36,3,0,1
1,4,2,3,29,24,12,16,36,3,0,1
65,5,2,3,29,24,12,16,36,3,1,1
65,5,2,3,29,24,12,16,36,3,0,1
65,5,2,3,29,24,12,16,36,3,0,1
66,6,2,3,31,24,12,16,36,70,1,1
66,6,2,3,31,24,12,16,36,70,0,1
66,6,2,3,31,24,12,16,36,70,0,1
1,5,4,3,32,24,12,16,116,3,1,1
1,5,4,3,32,24,12,16,116,3,0,1
1,5,4,3,32,24,12,16,116,3,0,1
1,6,2,3,32,25,12,16,36,74,1,1
1,6,2,3,32,25,12,16,36,74,0,1
1,6,2,3,32,25,12,16,36,74,0,1
38,3,2,3,14,41,12,16,41,4,1,1
38,3,2,3,14,41,12,16,41,4,0,1
38,3,2,3,14,41,12,16,41,4,0,1
1,3,2,3,14,25,13,35,47,5,1,1
1,3,2,3,14,25,13,35,47,5,0,1
1,3,2,3,14,25,13,35,47,5,0,1
1,5,3,4,19,33,17,25,70,12,1,1
1,5,3,4,19,33,17,25,70,12,0,1
1,5,3,4,19,33,17,25,70,12,0,1
3,8,8,6,103,48,223,46,528,152,1,1
3,8,8,6,103,48,223,46,528,152,0,1
3,8,8,6,103,48,223,46,528,152,0,1
12,18,45,48,150,74,347,101,1320,166,1,1
12,18,45,48,150,74,347,101,1320,166,0,1
12,18,45,48,150,74,347,101,1320,166,0,1
7,12,39,34,111,52,322,48,1207,133,1,1
7,12,39,34,111,52,322,48,1207,133,0,1
7,12,39,34,111,52,322,48,1207,133,0,1
3,26,29,84,111,269,334,187,806,27,1,1
3,26,29,84,111,269,334,187,806,27,0,1
