F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
58,305,42,72,45,67,46,42,673,19,1,1
58,305,42,72,45,67,46,42,673,19,0,1
58,305,42,72,45,67,46,42,673,19,0,1
47,12,7,25,293,361,204,418,131,56,1,1
47,12,7,25,293,361,204,418,131,56,0,1
47,12,7,25,293,361,204,418,131,56,0,1
19,436,49,85,365,518,239,285,846,69,1,1
19,436,49,85,365,518,239,285,846,69,0,1
19,436,49,85,365,518,239,285,846,69,0,1
246,37,38,212,335,753,247,130,782,62,1,1
246,37,38,212,335,753,247,130,782,62,0,1
246,37,38,212,335,753,247,130,782,62,0,1
22,116,57,259,886,712,343,345,1402,87,1,1
22,116,57,259,886,712,343,345,1402,87,0,1
22,116,57,259,886,712,343,345,1402,87,0,1
472,61,67,277,467,1054,492,262,1587,102,1,1
472,61,67,277,467,1054,492,262,1587,102,0,1
472,61,67,277,467,1054,492,262,1587,102,0,1
91,60,66,579,453,1011,341,356,1667,102,1,1
91,60,66,579,453,1011,341,356,1667,102,0,1
91,60,66,579,453,1011,341,356,1667,102,0,1
120,29,81,97,289,181,89,210,1373,53,1,1
120,29,81,97,289,181,89,210,1373,53,0,1
120,29,81,97,289,181,89,210,1373,53,0,1
120,29,81,97,289,181,89,210,1373,53,0,1
5,73,16,50,119,199,58,94,354,30,1,1
5,73,16,50,119,199,58,94,354,30,0,1
5,73,16,50,119,199,58,94,354,30,0,1
5,55,37,50,122,208,209,99,406,34,1,1
5,55,37,50,122,208,209,99,406,34,0,1
5,55,37,50,122,208,209,99,406,34,0,1
20,172,20,131,124,212,60,100,391,35,1,1
20,172,20,131,124,212,60,100,391,35,0,1
20,172,20,131,124,212,60,100,391,35,0,1
21,172,20,131,125,367,60,100,393,35,1,1
21,172,20,131,125,367,60,100,393,35,0,1
21,172,20,131,125,367,60,100,393,35,0,1
21,174,20,132,282,217,60,102,395,35,1,1
21,174,20,132,282,217,60,102,395,35,0,1
21,174,20,132,282,217,60,102,395,35,0,1
178,20,21,134,127,219,60,104,395,35,1,1
178,20,21,134,127,219,60,104,395,35,0,1
178,20,21,134,127,219,60,104,395,35,0,1
176,20,20,134,126,216,60,102,396,36,1,1
176,20,20,134,126,216,60,102,396,36,0,1
176,20,20,134,126,216,60,102,396,36,0,1
174,20,20,133,126,214,61,101,398,36,1,1
174,20,20,133,126,214,61,101,398,36,0,1
174,20,20,133,126,214,61,101,398,36,0,1
21,20,20,132,126,368,61,101,398,36,1,1
21,20,20,132,126,368,61,101,398,36,0,1
21,20,20,132,126,368,61,101,398,36,0,1
173,19,20,132,125,212,60,100,398,36,1,1
173,19,20,132,125,212,60,100,398,36,0,1
173,19,20,132,125,212,60,100,398,36,0,1
172,19,20,131,125,212,60,100,397,187,1,1
172,19,20,131,125,212,60,100,397,187,0,1
172,19,20,131,125,212,60,100,397,187,0,1
172,19,20,131,126,214,60,101,397,36,1,1
172,19,20,131,126,214,60,101,397,36,0,1
172,19,20,131,126,214,60,101,397,36,0,1
21,20,20,134,288,222,60,106,397,36,1,1
21,20,20,134,288,222,60,106,397,36,0,1
21,20,20,134,288,222,60,106,397,36,0,1
22,187,22,139,129,229,61,252,396,205,1,1
22,187,22,139,129,229,61,252,396,205,0,1
22,187,22,139,129,229,61,252,396,205,0,1
177,61,22,101,130,230,61,423,396,36,1,1
177,61,22,101,130,230,61,423,396,36,0,1
177,61,22,101,130,230,61,423,396,36,0,1
160,56,20,96,124,206,61,247,401,36,1,1
160,56,20,96,124,206,61,247,401,36,0,1
160,56,20,96,124,206,61,247,401,36,0,1
185,20,21,138,134,424,61,119,402,36,1,1
185,20,21,138,134,424,61,119,402,36,0,1
185,20,21,138,134,424,61,119,402,36,0,1
8,63,23,107,134,243,61,271,402,36,1,1
8,63,23,107,134,243,61,271,402,36,0,1
8,63,23,107,134,243,61,271,402,36,0,1
8,254,23,108,135,245,61,274,401,36,1,1
8,254,23,108,135,245,61,274,401,36,0,1
8,254,23,108,135,245,61,274,401,36,0,1
8,257,23,108,136,246,61,274,402,36,1,1
8,257,23,108,136,246,61,274,402,36,0,1
8,257,23,108,136,246,61,274,402,36,0,1
8,64,23,109,326,246,61,274,402,36,1,1
8,64,23,109,326,246,61,274,402,36,0,1
8,64,23,109,326,246,61,274,402,36,0,1
200,64,23,109,329,245,61,274,402,36,1,1
200,64,23,109,329,245,61,274,402,36,0,1
200,64,23,109,329,245,61,274,402,36,0,1
201,64,23,109,136,245,254,274,403,36,1,1
201,64,23,109,136,245,254,274,403,36,0,1
201,64,23,109,136,245,254,274,403,36,0,1
201,64,23,109,136,246,61,274,403,36,1,1
201,64,23,109,136,246,61,274,403,36,0,1
201,64,23,109,136,246,61,274,403,36,0,1
8,64,23,109,329,246,62,274,403,36,1,1
8,64,23,109,329,246,62,274,403,36,0,1
8,64,23,109,329,246,62,274,403,36,0,1
8,216,65,109,136,245,62,467,403,36,1,1
8,216,65,109,136,245,62,467,403,36,0,1
8,216,65,109,136,245,62,467,403,36,0,1
199,64,23,108,136,244,62,273,400,36,1,1
199,64,23,108,136,244,62,273,400,36,0,1
199,64,23,108,136,244,62,273,400,36,0,1
198,64,23,108,136,244,62,464,398,36,1,1
198,64,23,108,136,244,62,464,398,36,0,1
198,64,23,108,136,244,62,464,398,36,0,1
198,64,23,108,136,244,62,273,399,36,1,1
198,64,23,108,136,244,62,273,399,36,0,1
198,64,23,108,136,244,62,273,399,36,0,1
198,64,23,108,136,244,62,273,399,36,1,1
198,64,23,108,136,244,62,273,399,36,0,1
198,64,23,108,136,244,62,273,399,36,0,1
199,64,23,108,136,245,62,273,400,36,1,1
199,64,23,108,136,245,62,273,400,36,0,1
199,64,23,108,136,245,62,273,400,36,0,1
199,64,23,109,137,439,62,274,403,36,1,1
199,64,23,109,137,439,62,274,403,36,0,1
199,64,23,109,137,439,62,274,403,36,0,1
200,64,23,109,137,246,62,275,405,36,1,1
200,64,23,109,137,246,62,275,405,36,0,1
200,64,23,109,137,246,62,275,405,36,0,1
8,258,23,109,137,247,62,275,405,36,1,1
8,258,23,109,137,247,62,275,405,36,0,1
8,258,23,109,137,247,62,275,405,36,0,1
200,64,23,109,137,247,62,275,406,36,1,1
200,64,23,109,137,247,62,275,406,36,0,1
200,64,23,109,137,247,62,275,406,36,0,1
8,64,23,109,137,246,62,274,405,36,1,1
8,64,23,109,137,246,62,274,405,36,0,1
8,64,23,109,137,246,62,274,405,36,0,1
8,257,23,109,137,246,62,467,404,36,1,1
8,257,23,109,137,246,62,467,404,36,0,1
8,257,23,109,137,246,62,467,404,36,0,1
200,64,23,109,137,246,62,274,404,229,1,1
200,64,23,109,137,246,62,274,404,229,0,1
200,64,23,109,137,246,62,274,404,229,0,1
8,64,23,109,137,246,62,274,404,36,1,1
8,64,23,109,137,246,62,274,404,36,0,1
8,64,23,109,137,246,62,274,404,36,0,1
199,64,23,109,137,262,62,275,405,37,1,1
199,64,23,109,137,262,62,275,405,37,0,1
199,64,23,109,137,262,62,275,405,37,0,1
8,257,23,109,137,246,62,275,405,37,1,1
8,257,23,109,137,246,62,275,405,37,0,1
8,257,23,109,137,246,62,275,405,37,0,1
8,257,23,109,137,246,62,275,405,228,1,1
8,257,23,109,137,246,62,275,405,228,0,1
8,257,23,109,137,246,62,275,405,228,0,1
199,64,23,109,137,440,62,275,405,36,1,1
199,64,23,109,137,440,62,275,405,36,0,1
199,64,23,109,137,440,62,275,405,36,0,1
200,64,23,109,136,246,253,274,405,36,1,1
200,64,23,109,136,246,253,274,405,36,0,1
200,64,23,109,136,246,253,274,405,36,0,1
199,64,23,109,136,245,253,274,403,36,1,1
199,64,23,109,136,245,253,274,403,36,0,1
199,64,23,109,136,245,253,274,403,36,0,1
8,257,23,109,327,245,62,274,401,36,1,1
8,257,23,109,327,245,62,274,401,36,0,1
8,257,23,109,327,245,62,274,401,36,0,1
199,64,23,109,136,246,62,274,401,36,1,1
199,64,23,109,136,246,62,274,401,36,0,1
199,64,23,109,136,246,62,274,401,36,0,1
8,257,23,109,137,243,62,274,404,35,1,1
8,257,23,109,137,243,62,274,404,35,0,1
8,257,23,109,137,243,62,274,404,35,0,1
7,64,215,108,137,244,62,469,381,34,1,1
7,64,215,108,137,244,62,469,381,34,0,1
7,64,215,108,137,244,62,469,381,34,0,1
199,64,22,108,137,243,62,466,388,34,1,1
199,64,22,108,137,243,62,466,388,34,0,1
199,64,22,108,137,243,62,466,388,34,0,1
199,64,22,108,328,240,62,272,383,31,1,1
199,64,22,108,328,240,62,272,383,31,0,1
199,64,22,108,328,240,62,272,383,31,0,1
198,64,21,108,136,434,62,272,372,31,1,1
198,64,21,108,136,434,62,272,372,31,0,1
198,64,21,108,136,434,62,272,372,31,0,1
7,258,21,108,137,239,62,272,370,221,1,1
7,258,21,108,137,239,62,272,370,221,0,1
7,258,21,108,137,239,62,272,370,221,0,1
198,64,21,108,137,239,62,272,363,221,1,1
198,64,21,108,137,239,62,272,363,221,0,1
198,64,21,108,137,239,62,272,363,221,0,1
198,64,21,108,136,239,61,272,366,29,1,1
198,64,21,108,136,239,61,272,366,29,0,1
198,64,21,108,136,239,61,272,366,29,0,1
198,64,21,108,136,239,61,272,363,29,1,1
198,64,21,108,136,239,61,272,363,29,0,1
198,64,21,108,136,239,61,272,363,29,0,1
198,64,21,108,136,432,61,272,366,30,1,1
198,64,21,108,136,432,61,272,366,30,0,1
198,64,21,108,136,432,61,272,366,30,0,1
7,64,21,108,137,240,62,466,370,31,1,1
7,64,21,108,137,240,62,466,370,31,0,1
7,64,21,108,137,240,62,466,370,31,0,1
199,64,21,108,137,240,255,273,374,30,1,1
199,64,21,108,137,240,255,273,374,30,0,1
199,64,21,108,137,240,255,273,374,30,0,1
7,259,21,109,137,241,62,274,366,29,1,1
7,259,21,109,137,241,62,274,366,29,0,1
7,259,21,109,137,241,62,274,366,29,0,1
200,64,21,109,137,241,62,273,374,30,1,1
200,64,21,109,137,241,62,273,374,30,0,1
200,64,21,109,137,241,62,273,374,30,0,1
199,64,21,108,137,239,62,273,379,226,1,1
199,64,21,108,137,239,62,273,379,226,0,1
199,64,21,108,137,239,62,273,379,226,0,1
7,258,21,108,137,240,62,273,381,34,1,1
7,258,21,108,137,240,62,273,381,34,0,1
7,258,21,108,137,240,62,273,381,34,0,1
200,64,22,108,137,243,255,274,387,35,1,1
200,64,22,108,137,243,255,274,387,35,0,1
200,64,22,108,137,243,255,274,387,35,0,1
201,64,22,108,137,246,256,275,393,35,1,1
201,64,22,108,137,246,256,275,393,35,0,1
201,64,22,108,137,246,256,275,393,35,0,1
8,260,23,109,137,246,62,275,405,230,1,1
8,260,23,109,137,246,62,275,405,230,0,1
8,260,23,109,137,246,62,275,405,230,0,1
8,259,23,109,137,440,62,274,404,36,1,1
8,259,23,109,137,440,62,274,404,36,0,1
8,259,23,109,137,440,62,274,404,36,0,1
201,64,23,109,137,245,255,274,403,36,1,1
201,64,23,109,137,245,255,274,403,36,0,1
201,64,23,109,137,245,255,274,403,36,0,1
201,64,23,109,136,245,62,273,401,36,1,1
201,64,23,109,136,245,62,273,401,36,0,1
201,64,23,109,136,245,62,273,401,36,0,1
200,64,23,108,136,245,61,273,400,36,1,1
200,64,23,108,136,245,61,273,400,36,0,1
200,64,23,108,136,245,61,273,400,36,0,1
8,64,23,108,136,244,61,273,399,36,1,1
8,64,23,108,136,244,61,273,399,36,0,1
8,64,23,108,136,244,61,273,399,36,0,1
199,64,22,108,137,242,62,272,395,35,1,1
199,64,22,108,137,242,62,272,395,35,0,1
199,64,22,108,137,242,62,272,395,35,0,1
7,215,64,108,137,239,62,273,383,33,1,1
7,215,64,108,137,239,62,273,383,33,0,1
7,215,64,108,137,239,62,273,383,33,0,1
7,78,63,52,137,434,62,273,378,32,1,1
7,78,63,52,137,434,62,273,378,32,0,1
7,78,63,52,137,434,62,273,378,32,0,1
7,78,63,52,137,434,62,273,378,32,0,1
22,22,77,52,330,240,62,273,377,32,1,1
22,22,77,52,330,240,62,273,377,32,0,1
22,22,77,52,330,240,62,273,377,32,0,1
7,64,21,108,330,240,62,273,378,32,1,1
7,64,21,108,330,240,62,273,378,32,0,1
7,64,21,108,330,240,62,273,378,32,0,1
199,64,21,108,137,240,255,273,378,32,1,1
199,64,21,108,137,240,255,273,378,32,0,1
199,64,21,108,137,240,255,273,378,32,0,1
7,258,21,108,137,240,62,273,378,32,1,1
7,258,21,108,137,240,62,273,378,32,0,1
7,258,21,108,137,240,62,273,378,32,0,1
7,258,21,108,137,240,62,273,378,32,1,1
7,258,21,108,137,240,62,273,378,32,0,1
7,258,21,108,137,240,62,273,378,32,0,1
199,64,21,108,330,240,62,273,378,32,1,1
199,64,21,108,330,240,62,273,378,32,0,1
199,64,21,108,330,240,62,273,378,32,0,1
199,64,21,108,137,240,62,466,378,32,1,1
199,64,21,108,137,240,62,466,378,32,0,1
199,64,21,108,137,240,62,466,378,32,0,1
7,258,21,108,137,240,62,273,378,32,1,1
7,258,21,108,137,240,62,273,378,32,0,1
7,258,21,108,137,240,62,273,378,32,0,1
199,64,21,108,137,240,255,273,378,33,1,1
199,64,21,108,137,240,255,273,378,33,0,1
199,64,21,108,137,240,255,273,378,33,0,1
200,64,21,108,137,436,62,273,380,34,1,1
200,64,21,108,137,436,62,273,380,34,0,1
200,64,21,108,137,436,62,273,380,34,0,1
8,259,22,108,137,441,62,274,395,36,1,1
8,259,22,108,137,441,62,274,395,36,0,1
8,259,22,108,137,441,62,274,395,36,0,1
8,259,23,109,136,440,61,274,402,36,1,1
8,259,23,109,136,440,61,274,402,36,0,1
8,259,23,109,136,440,61,274,402,36,0,1
200,64,23,108,136,245,61,274,401,36,1,1
200,64,23,108,136,245,61,274,401,36,0,1
200,64,23,108,136,245,61,274,401,36,0,1
8,64,23,109,328,245,61,274,401,36,1,1
8,64,23,109,328,245,61,274,401,36,0,1
8,64,23,109,328,245,61,274,401,36,0,1
8,257,23,108,327,243,61,272,396,35,1,1
8,257,23,108,327,243,61,272,396,35,0,1
8,257,23,108,327,243,61,272,396,35,0,1
8,257,22,108,136,241,61,271,391,226,1,1
8,257,22,108,136,241,61,271,391,226,0,1
8,257,22,108,136,241,61,271,391,226,0,1
199,64,22,108,136,241,61,271,386,34,1,1
199,64,22,108,136,241,61,271,386,34,0,1
199,64,22,108,136,241,61,271,386,34,0,1
199,64,22,108,136,436,61,272,390,35,1,1
199,64,22,108,136,436,61,272,390,35,0,1
199,64,22,108,136,436,61,272,390,35,0,1
8,257,22,108,328,243,61,272,391,35,1,1
8,257,22,108,328,243,61,272,391,35,0,1
8,257,22,108,328,243,61,272,391,35,0,1
199,64,22,108,136,244,61,466,393,35,1,1
199,64,22,108,136,244,61,466,393,35,0,1
199,64,22,108,136,244,61,466,393,35,0,1
200,64,23,108,136,244,254,273,396,37,1,1
200,64,23,108,136,244,254,273,396,37,0,1
200,64,23,108,136,244,254,273,396,37,0,1
8,64,215,108,136,438,61,273,395,35,1,1
8,64,215,108,136,438,61,273,395,35,0,1
8,64,215,108,136,438,61,273,395,35,0,1
8,64,23,108,136,244,254,273,394,34,1,1
8,64,23,108,136,244,254,273,394,34,0,1
8,64,23,108,136,244,254,273,394,34,0,1
200,64,22,108,136,244,254,273,391,35,1,1
200,64,22,108,136,244,254,273,391,35,0,1
200,64,22,108,136,244,254,273,391,35,0,1
8,259,23,108,137,245,61,274,396,35,1,1
8,259,23,108,137,245,61,274,396,35,0,1
8,259,23,108,137,245,61,274,396,35,0,1
8,64,217,109,137,245,256,274,398,35,1,1
8,64,217,109,137,245,256,274,398,35,0,1
8,64,217,109,137,245,256,274,398,35,0,1
202,64,23,109,137,245,61,274,396,34,1,1
