F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
9,61,35,136,147,173,96,91,496,75,1,1
9,61,35,136,147,173,96,91,496,75,0,1
9,61,35,136,147,173,96,91,496,75,0,1
9,31,35,53,157,184,103,128,465,72,1,1
9,31,35,53,157,184,103,128,465,72,0,1
9,31,35,53,157,184,103,128,465,72,0,1
9,32,70,55,157,184,103,95,500,163,1,1
9,32,70,55,157,184,103,95,500,163,0,1
9,32,70,55,157,184,103,95,500,163,0,1
9,31,67,53,156,183,103,94,464,68,1,1
9,31,67,53,156,183,103,94,464,68,0,1
9,31,67,53,156,183,103,94,464,68,0,1
9,32,69,55,157,184,104,96,488,67,1,1
9,32,69,55,157,184,104,96,488,67,0,1
9,32,69,55,157,184,104,96,488,67,0,1
8,157,36,55,156,189,104,180,485,63,1,1
8,157,36,55,156,189,104,180,485,63,0,1
8,157,36,55,156,189,104,180,485,63,0,1
8,65,35,54,148,174,104,88,473,62,1,1
8,65,35,54,148,174,104,88,473,62,0,1
8,65,35,54,148,174,104,88,473,62,0,1
7,80,32,54,140,173,103,163,456,62,1,1
7,80,32,54,140,173,103,163,456,62,0,1
7,80,32,54,140,173,103,163,456,62,0,1
7,80,32,54,140,173,103,163,456,62,0,1
119,28,31,52,138,163,178,161,525,62,1,1
119,28,31,52,138,163,178,161,525,62,0,1
119,28,31,52,138,163,178,161,525,62,0,1
5,79,25,46,86,147,60,53,357,46,1,1
5,79,25,46,86,147,60,53,357,46,0,1
5,79,25,46,86,147,60,53,357,46,0,1
3,37,16,30,77,88,53,96,247,43,1,1
3,37,16,30,77,88,53,96,247,43,0,1
3,37,16,30,77,88,53,96,247,43,0,1
3,34,29,27,71,121,49,91,193,41,1,1
3,34,29,27,71,121,49,91,193,41,0,1
3,34,29,27,71,121,49,91,193,41,0,1
3,88,14,27,70,117,49,89,187,41,1,1
3,88,14,27,70,117,49,89,187,41,0,1
3,88,14,27,70,117,49,89,187,41,0,1
3,67,13,36,58,72,39,75,152,40,1,1
3,67,13,36,58,72,39,75,152,40,0,1
3,67,13,36,58,72,39,75,152,40,0,1
43,29,12,22,63,79,39,80,140,41,1,1
43,29,12,22,63,79,39,80,140,41,0,1
43,29,12,22,63,79,39,80,140,41,0,1
5,42,19,35,111,139,83,130,285,128,1,1
5,42,19,35,111,139,83,130,285,128,0,1
5,42,19,35,111,139,83,130,285,128,0,1
6,46,25,42,105,134,81,126,396,59,1,1
6,46,25,42,105,134,81,126,396,59,0,1
6,46,25,42,105,134,81,126,396,59,0,1
6,43,24,39,102,130,145,123,450,58,1,1
6,43,24,39,102,130,145,123,450,58,0,1
6,43,24,39,102,130,145,123,450,58,0,1
6,43,24,39,103,132,80,124,385,58,1,1
6,43,24,39,103,132,80,124,385,58,0,1
6,43,24,39,103,132,80,124,385,58,0,1
6,65,24,39,101,129,78,122,384,57,1,1
6,65,24,39,101,129,78,122,384,57,0,1
6,65,24,39,101,129,78,122,384,57,0,1
6,63,23,38,99,192,75,119,376,56,1,1
6,63,23,38,99,192,75,119,376,56,0,1
6,63,23,38,99,192,75,119,376,56,0,1
6,63,22,38,99,128,75,120,370,56,1,1
6,63,22,38,99,128,75,120,370,56,0,1
6,63,22,38,99,128,75,120,370,56,0,1
6,42,23,38,99,127,141,120,372,56,1,1
6,42,23,38,99,127,141,120,372,56,0,1
6,42,23,38,99,127,141,120,372,56,0,1
6,133,23,38,99,127,141,120,378,58,1,1
6,133,23,38,99,127,141,120,378,58,0,1
6,133,23,38,99,127,141,120,378,58,0,1
6,42,23,38,102,199,76,123,381,59,1,1
6,42,23,38,102,199,76,123,381,59,0,1
6,42,23,38,102,199,76,123,381,59,0,1
7,45,48,40,110,141,78,132,432,60,1,1
7,45,48,40,110,141,78,132,432,60,0,1
7,45,48,40,110,141,78,132,432,60,0,1
7,75,27,44,138,164,101,161,406,64,1,1
7,75,27,44,138,164,101,161,406,64,0,1
7,75,27,44,138,164,101,161,406,64,0,1
37,29,32,53,141,167,103,85,453,64,1,1
37,29,32,53,141,167,103,85,453,64,0,1
37,29,32,53,141,167,103,85,453,64,0,1
82,29,81,53,140,165,103,163,482,64,1,1
82,29,81,53,140,165,103,163,482,64,0,1
82,29,81,53,140,165,103,163,482,64,0,1
7,59,60,53,140,165,103,238,502,64,1,1
7,59,60,53,140,165,103,238,502,64,0,1
7,59,60,53,140,165,103,238,502,64,0,1
7,59,60,53,140,165,103,163,501,64,1,1
7,59,60,53,140,165,103,163,501,64,0,1
7,59,60,53,140,165,103,163,501,64,0,1
7,59,31,52,138,199,103,161,450,63,1,1
7,59,31,52,138,199,103,161,450,63,0,1
7,59,31,52,138,199,103,161,450,63,0,1
7,87,31,52,141,174,103,164,450,63,1,1
7,87,31,52,141,174,103,164,450,63,0,1
7,87,31,52,141,174,103,164,450,63,0,1
7,59,33,85,146,172,103,169,457,64,1,1
7,59,33,85,146,172,103,169,457,64,0,1
7,59,33,85,146,172,103,169,457,64,0,1
7,92,33,54,153,172,103,169,455,64,1,1
7,92,33,54,153,172,103,169,455,64,0,1
7,92,33,54,153,172,103,169,455,64,0,1
95,29,32,136,225,171,103,117,452,62,1,1
95,29,32,136,225,171,103,117,452,62,0,1
95,29,32,136,225,171,103,117,452,62,0,1
15,29,32,136,146,161,103,160,451,61,1,1
15,29,32,136,146,161,103,160,451,61,0,1
15,29,32,136,146,161,103,160,451,61,0,1
75,29,32,182,143,168,182,166,448,61,1,1
75,29,32,182,143,168,182,166,448,61,0,1
75,29,32,182,143,168,182,166,448,61,0,1
14,29,60,53,147,164,131,163,498,61,1,1
14,29,60,53,147,164,131,163,498,61,0,1
14,29,60,53,147,164,131,163,498,61,0,1
7,57,31,52,148,240,131,192,447,62,1,1
7,57,31,52,148,240,131,192,447,62,0,1
7,57,31,52,148,240,131,192,447,62,0,1
184,29,10961,53,143,169,103,247,73,62,1,1
184,29,10961,53,143,169,103,247,73,62,0,1
184,29,10961,53,143,169,103,247,73,62,0,1
7,60,32,53,141,167,102,113,449,60,1,1
7,60,32,53,141,167,102,113,449,60,0,1
7,60,32,53,141,167,102,113,449,60,0,1
13,54,28,196,97,115,67,173,398,45,1,1
13,54,28,196,97,115,67,173,398,45,0,1
13,54,28,196,97,115,67,173,398,45,0,1
4,45,21,37,121,141,88,141,284,52,1,1
4,45,21,37,121,141,88,141,284,52,0,1
4,45,21,37,121,141,88,141,284,52,0,1
5,81,27,46,200,145,80,97,360,50,1,1
5,81,27,46,200,145,80,97,360,50,0,1
5,81,27,46,200,145,80,97,360,50,0,1
6,36,29,100,146,180,103,169,403,61,1,1
6,36,29,100,146,180,103,169,403,61,0,1
6,36,29,100,146,180,103,169,403,61,0,1
7,62,33,54,232,176,104,120,549,67,1,1
7,62,33,54,232,176,104,120,549,67,0,1
7,62,33,54,232,176,104,120,549,67,0,1
8,61,33,54,142,168,104,86,547,66,1,1
8,61,33,54,142,168,104,86,547,66,0,1
8,61,33,54,142,168,104,86,547,66,0,1
8,30,33,86,148,183,104,171,610,64,1,1
8,30,33,86,148,183,104,171,610,64,0,1
8,30,33,86,148,183,104,171,610,64,0,1
38,124,30,52,121,150,86,146,521,58,1,1
38,124,30,52,121,150,86,146,521,58,0,1
38,124,30,52,121,150,86,146,521,58,0,1
7,58,30,50,147,174,103,87,422,62,1,1
7,58,30,50,147,174,103,87,422,62,0,1
7,58,30,50,147,174,103,87,422,62,0,1
7,29,167,52,115,135,73,91,429,53,1,1
7,29,167,52,115,135,73,91,429,53,0,1
7,29,167,52,115,135,73,91,429,53,0,1
4,62,19,33,95,106,67,74,222,48,1,1
4,62,19,33,95,106,67,74,222,48,0,1
4,62,19,33,95,106,67,74,222,48,0,1
11,15,76,77,31,38,51,41,308,31,1,1
11,15,76,77,31,38,51,41,308,31,0,1
11,15,76,77,31,38,51,41,308,31,0,1
3,4,7,45,94,161,81,116,111,62,1,1
3,4,7,45,94,161,81,116,111,62,0,1
3,4,7,45,94,161,81,116,111,62,0,1
110,29,59,81,142,156,83,151,533,65,1,1
110,29,59,81,142,156,83,151,533,65,0,1
110,29,59,81,142,156,83,151,533,65,0,1
9,14,30,15,127,100,42,82,438,104,1,1
9,14,30,15,127,100,42,82,438,104,0,1
9,14,30,15,127,100,42,82,438,104,0,1
9,23,15,24,46,89,97,79,361,79,1,1
9,23,15,24,46,89,97,79,361,79,0,1
9,23,15,24,46,89,97,79,361,79,0,1
35,37,17,28,44,46,58,64,337,144,1,1
35,37,17,28,44,46,58,64,337,144,0,1
35,37,17,28,44,46,58,64,337,144,0,1
5,14,17,12,32,34,23,70,213,86,1,1
5,14,17,12,32,34,23,70,213,86,0,1
5,14,17,12,32,34,23,70,213,86,0,1
7,23,19,18,198,154,107,149,320,77,1,1
7,23,19,18,198,154,107,149,320,77,0,1
7,23,19,18,198,154,107,149,320,77,0,1
46,57,116,45,155,225,110,226,1270,291,1,1
46,57,116,45,155,225,110,226,1270,291,0,1
46,57,116,45,155,225,110,226,1270,291,0,1
24,46,63,43,106,109,107,155,833,116,1,1
24,46,63,43,106,109,107,155,833,116,0,1
24,46,63,43,106,109,107,155,833,116,0,1
19,17,22,82,155,108,85,59,415,91,1,1
19,17,22,82,155,108,85,59,415,91,0,1
19,17,22,82,155,108,85,59,415,91,0,1
11,31,69,59,130,142,180,177,642,114,1,1
11,31,69,59,130,142,180,177,642,114,0,1
11,31,69,59,130,142,180,177,642,114,0,1
11,87,58,48,89,113,76,128,466,120,1,1
11,87,58,48,89,113,76,128,466,120,0,1
11,87,58,48,89,113,76,128,466,120,0,1
22,24,62,47,246,219,113,142,689,190,1,1
22,24,62,47,246,219,113,142,689,190,0,1
22,24,62,47,246,219,113,142,689,190,0,1
14,109,47,67,250,192,111,188,604,141,1,1
14,109,47,67,250,192,111,188,604,141,0,1
14,109,47,67,250,192,111,188,604,141,0,1
79,29,294,43,444,499,117,562,1493,974,1,1
79,29,294,43,444,499,117,562,1493,974,0,1
79,29,294,43,444,499,117,562,1493,974,0,1
209,541,934,1243,1005,683,470,716,3660,1546,1,1
209,541,934,1243,1005,683,470,716,3660,1546,0,1
209,541,934,1243,1005,683,470,716,3660,1546,0,1
120,39,117,129,101,109,117,75,1969,254,1,1
120,39,117,129,101,109,117,75,1969,254,0,1
120,39,117,129,101,109,117,75,1969,254,0,1
123,97,180,50,1040,607,303,517,2165,1321,1,1
123,97,180,50,1040,607,303,517,2165,1321,0,1
123,97,180,50,1040,607,303,517,2165,1321,0,1
86,107,159,159,152,258,88,147,2627,164,1,1
86,107,159,159,152,258,88,147,2627,164,0,1
86,107,159,159,152,258,88,147,2627,164,0,1
61,50,54,257,345,367,122,326,652,1096,1,1
61,50,54,257,345,367,122,326,652,1096,0,1
61,50,54,257,345,367,122,326,652,1096,0,1
256,163,381,678,752,745,484,558,3615,1971,1,1
256,163,381,678,752,745,484,558,3615,1971,0,1
256,163,381,678,752,745,484,558,3615,1971,0,1
43,126,111,124,266,204,124,223,1076,194,1,1
43,126,111,124,266,204,124,223,1076,194,0,1
43,126,111,124,266,204,124,223,1076,194,0,1
43,126,111,124,266,204,124,223,1076,194,0,1
110,157,179,73,249,262,154,169,2440,1069,1,1
110,157,179,73,249,262,154,169,2440,1069,0,1
110,157,179,73,249,262,154,169,2440,1069,0,1
42,98,79,72,175,190,130,120,1381,172,1,1
42,98,79,72,175,190,130,120,1381,172,0,1
42,98,79,72,175,190,130,120,1381,172,0,1
19,94,47,137,161,312,118,227,555,169,1,1
19,94,47,137,161,312,118,227,555,169,0,1
19,94,47,137,161,312,118,227,555,169,0,1
40,36,47,177,144,164,109,107,620,173,1,1
40,36,47,177,144,164,109,107,620,173,0,1
40,36,47,177,144,164,109,107,620,173,0,1
155,34,45,167,163,184,123,112,609,179,1,1
155,34,45,167,163,184,123,112,609,179,0,1
155,34,45,167,163,184,123,112,609,179,0,1
105,216,63,77,209,237,311,141,982,207,1,1
105,216,63,77,209,237,311,141,982,207,0,1
105,216,63,77,209,237,311,141,982,207,0,1
39,41,56,198,196,227,307,119,737,157,1,1
39,41,56,198,196,227,307,119,737,157,0,1
39,41,56,198,196,227,307,119,737,157,0,1
59,53,45,146,190,220,145,152,703,143,1,1
59,53,45,146,190,220,145,152,703,143,0,1
59,53,45,146,190,220,145,152,703,143,0,1
15,38,125,67,187,222,145,111,748,144,1,1
15,38,125,67,187,222,145,111,748,144,0,1
15,38,125,67,187,222,145,111,748,144,0,1
59,52,45,144,187,219,145,109,704,139,1,1
59,52,45,144,187,219,145,109,704,139,0,1
59,52,45,144,187,219,145,109,704,139,0,1
162,37,120,67,187,218,145,108,695,136,1,1
162,37,120,67,187,218,145,108,695,136,0,1
162,37,120,67,187,218,145,108,695,136,0,1
14,37,118,67,186,217,145,147,724,135,1,1
14,37,118,67,186,217,145,147,724,135,0,1
14,37,118,67,186,217,145,147,724,135,0,1
175,37,118,67,334,216,145,147,678,134,1,1
175,37,118,67,334,216,145,147,678,134,0,1
175,37,118,67,334,216,145,147,678,134,0,1
13,185,118,67,186,216,145,107,676,134,1,1
13,185,118,67,186,216,145,107,676,134,0,1
13,185,118,67,186,216,145,107,676,134,0,1
13,37,118,67,186,216,145,107,715,134,1,1
13,37,118,67,186,216,145,107,715,134,0,1
13,37,118,67,186,216,145,107,715,134,0,1
13,37,118,67,186,231,145,213,714,134,1,1
13,37,118,67,186,231,145,213,714,134,0,1
13,37,118,67,186,231,145,213,714,134,0,1
13,37,118,214,186,216,145,107,674,133,1,1
13,37,118,214,186,216,145,107,674,133,0,1
13,37,118,214,186,216,145,107,674,133,0,1
13,37,118,67,186,231,145,213,714,133,1,1
13,37,118,67,186,231,145,213,714,133,0,1
13,37,118,67,186,231,145,213,714,133,0,1
56,51,43,141,185,216,144,107,673,132,1,1
56,51,43,141,185,216,144,107,673,132,0,1
56,51,43,141,185,216,144,107,673,132,0,1
160,37,118,66,186,217,144,108,676,135,1,1
160,37,118,66,186,217,144,108,676,135,0,1
160,37,118,66,186,217,144,108,676,135,0,1
14,186,119,67,186,235,145,217,686,141,1,1
14,186,119,67,186,235,145,217,686,141,0,1
14,186,119,67,186,235,145,217,686,141,0,1
16,37,127,67,191,224,145,116,723,156,1,1
16,37,127,67,191,224,145,116,723,156,0,1
16,37,127,67,191,224,145,116,723,156,0,1
58,51,45,137,179,224,137,206,676,157,1,1
58,51,45,137,179,224,137,206,676,157,0,1
58,51,45,137,179,224,137,206,676,157,0,1
161,37,120,66,187,217,146,109,705,156,1,1
161,37,120,66,187,217,146,109,705,156,0,1
161,37,120,66,187,217,146,109,705,156,0,1
14,37,266,66,186,215,145,107,701,142,1,1
14,37,266,66,186,215,145,107,701,142,0,1
14,37,266,66,186,215,145,107,701,142,0,1
13,37,117,66,183,229,140,212,662,130,1,1
13,37,117,66,183,229,140,212,662,130,0,1
13,37,117,66,183,229,140,212,662,130,0,1
13,36,117,66,185,229,144,212,699,131,1,1
13,36,117,66,185,229,144,212,699,131,0,1
13,36,117,66,185,229,144,212,699,131,0,1
13,37,117,66,185,215,144,107,669,131,1,1
13,37,117,66,185,215,144,107,669,131,0,1
13,37,117,66,185,215,144,107,669,131,0,1
13,36,116,66,184,214,143,106,813,130,1,1
13,36,116,66,184,214,143,106,813,130,0,1
13,36,116,66,184,214,143,106,813,130,0,1
13,36,116,212,184,228,143,211,702,130,1,1
13,36,116,212,184,228,143,211,702,130,0,1
13,36,116,212,184,228,143,211,702,130,0,1
13,36,116,66,185,229,144,212,851,131,1,1
13,36,116,66,185,229,144,212,851,131,0,1
13,36,116,66,185,229,144,212,851,131,0,1
27,36,42,66,184,229,144,211,782,131,1,1
27,36,42,66,184,229,144,211,782,131,0,1
27,36,42,66,184,229,144,211,782,131,0,1
