F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2325,3735,1800,6678,9123,7344,3925,8191,19368,7353,1,1
2325,3735,1800,6678,9123,7344,3925,8191,19368,7353,0,1
2325,3735,1800,6678,9123,7344,3925,8191,19368,7353,0,1
1337,1799,5084,6574,6564,8264,4181,9214,31115,9601,1,1
1337,1799,5084,6574,6564,8264,4181,9214,31115,9601,0,1
1337,1799,5084,6574,6564,8264,4181,9214,31115,9601,0,1
4286,1844,4675,2744,4422,3330,2023,4015,22152,4167,1,1
4286,1844,4675,2744,4422,3330,2023,4015,22152,4167,0,1
4286,1844,4675,2744,4422,3330,2023,4015,22152,4167,0,1
1258,1751,615,1672,2116,2510,1370,1297,11196,3441,1,1
1258,1751,615,1672,2116,2510,1370,1297,11196,3441,0,1
1258,1751,615,1672,2116,2510,1370,1297,11196,3441,0,1
874,462,344,2713,1423,1849,2011,1092,6890,3082,1,1
874,462,344,2713,1423,1849,2011,1092,6890,3082,0,1
874,462,344,2713,1423,1849,2011,1092,6890,3082,0,1
830,497,460,2594,1687,2043,1064,1319,5874,3004,1,1
830,497,460,2594,1687,2043,1064,1319,5874,3004,0,1
830,497,460,2594,1687,2043,1064,1319,5874,3004,0,1
958,587,509,2996,3570,2468,1358,1425,5771,2998,1,1
958,587,509,2996,3570,2468,1358,1425,5771,2998,0,1
958,587,509,2996,3570,2468,1358,1425,5771,2998,0,1
1188,864,845,3879,2365,2472,1465,2986,8535,3641,1,1
1188,864,845,3879,2365,2472,1465,2986,8535,3641,0,1
1188,864,845,3879,2365,2472,1465,2986,8535,3641,0,1
2299,716,806,3133,2968,1973,1155,1315,8453,3318,1,1
2299,716,806,3133,2968,1973,1155,1315,8453,3318,0,1
2299,716,806,3133,2968,1973,1155,1315,8453,3318,0,1
349,1963,687,876,1631,1766,1033,1213,7419,3164,1,1
349,1963,687,876,1631,1766,1033,1213,7419,3164,0,1
349,1963,687,876,1631,1766,1033,1213,7419,3164,0,1
342,532,1523,821,3717,2861,1319,2997,8270,3837,1,1
342,532,1523,821,3717,2861,1319,2997,8270,3837,0,1
342,532,1523,821,3717,2861,1319,2997,8270,3837,0,1
342,532,1523,821,3717,2861,1319,2997,8270,3837,0,1
488,2341,2052,1111,2375,2414,2987,1588,10469,4005,1,1
488,2341,2052,1111,2375,2414,2987,1588,10469,4005,0,1
488,2341,2052,1111,2375,2414,2987,1588,10469,4005,0,1
1503,1286,884,2205,2600,2563,1402,3550,10339,4303,1,1
1503,1286,884,2205,2600,2563,1402,3550,10339,4303,0,1
1503,1286,884,2205,2600,2563,1402,3550,10339,4303,0,1
514,3097,969,2657,4736,4018,1512,4438,13485,5207,1,1
514,3097,969,2657,4736,4018,1512,4438,13485,5207,0,1
514,3097,969,2657,4736,4018,1512,4438,13485,5207,0,1
510,811,4227,1213,2866,5440,1360,2121,10495,4237,1,1
510,811,4227,1213,2866,5440,1360,2121,10495,4237,0,1
510,811,4227,1213,2866,5440,1360,2121,10495,4237,0,1
496,788,2388,1136,2615,3269,1271,3538,11041,4073,1,1
496,788,2388,1136,2615,3269,1271,3538,11041,4073,0,1
496,788,2388,1136,2615,3269,1271,3538,11041,4073,0,1
961,633,790,3153,2360,2348,1229,1525,9100,3981,1,1
961,633,790,3153,2360,2348,1229,1525,9100,3981,0,1
961,633,790,3153,2360,2348,1229,1525,9100,3981,0,1
2817,737,919,3406,2477,2494,1469,1565,10730,4171,1,1
2817,737,919,3406,2477,2494,1469,1565,10730,4171,0,1
2817,737,919,3406,2477,2494,1469,1565,10730,4171,0,1
1217,899,1117,3605,2662,2599,1719,3078,12710,4841,1,1
1217,899,1117,3605,2662,2599,1719,3078,12710,4841,0,1
1217,899,1117,3605,2662,2599,1719,3078,12710,4841,0,1
1225,927,1218,3588,2565,2480,1687,1595,13656,4887,1,1
1225,927,1218,3588,2565,2480,1687,1595,13656,4887,0,1
1225,927,1218,3588,2565,2480,1687,1595,13656,4887,0,1
1217,927,2253,3929,2746,2660,1786,3136,13482,5057,1,1
1217,927,2253,3929,2746,2660,1786,3136,13482,5057,0,1
1217,927,2253,3929,2746,2660,1786,3136,13482,5057,0,1
2891,1058,1465,3960,3183,3060,1971,1967,16128,6041,1,1
2891,1058,1465,3960,3183,3060,1971,1967,16128,6041,0,1
2891,1058,1465,3960,3183,3060,1971,1967,16128,6041,0,1
1833,1284,1893,4628,3458,3393,2049,2116,20459,6118,1,1
1833,1284,1893,4628,3458,3393,2049,2116,20459,6118,0,1
1833,1284,1893,4628,3458,3393,2049,2116,20459,6118,0,1
1856,1301,1873,4775,5095,3296,2029,2017,19965,5755,1,1
1856,1301,1873,4775,5095,3296,2029,2017,19965,5755,0,1
1856,1301,1873,4775,5095,3296,2029,2017,19965,5755,0,1
3365,1229,1664,4630,3223,3129,3636,1926,17913,5537,1,1
3365,1229,1664,4630,3223,3129,3636,1926,17913,5537,0,1
3365,1229,1664,4630,3223,3129,3636,1926,17913,5537,0,1
3244,1172,1548,4482,3186,3113,1973,1919,16781,5408,1,1
3244,1172,1548,4482,3186,3113,1973,1919,16781,5408,0,1
3244,1172,1548,4482,3186,3113,1973,1919,16781,5408,0,1
1621,1184,1548,4522,3232,3163,1983,1939,16947,5377,1,1
1621,1184,1548,4522,3232,3163,1983,1939,16947,5377,0,1
1621,1184,1548,4522,3232,3163,1983,1939,16947,5377,0,1
1698,1233,1641,4660,3422,3346,2045,2032,17860,5599,1,1
1698,1233,1641,4660,3422,3346,2045,2032,17860,5599,0,1
1698,1233,1641,4660,3422,3346,2045,2032,17860,5599,0,1
3711,1379,1918,5097,3728,3683,2178,2208,20205,5769,1,1
3711,1379,1918,5097,3728,3683,2178,2208,20205,5769,0,1
3711,1379,1918,5097,3728,3683,2178,2208,20205,5769,0,1
2181,3425,2130,5553,3928,3955,2429,2331,22586,8557,1,1
2181,3425,2130,5553,3928,3955,2429,2331,22586,8557,0,1
2181,3425,2130,5553,3928,3955,2429,2331,22586,8557,0,1
4186,1549,2188,5749,3883,3899,2427,2306,24223,6980,1,1
4186,1549,2188,5749,3883,3899,2427,2306,24223,6980,0,1
4186,1549,2188,5749,3883,3899,2427,2306,24223,6980,0,1
1750,1237,1723,4575,2845,2799,1765,1715,18607,4750,1,1
1750,1237,1723,4575,2845,2799,1765,1715,18607,4750,0,1
1750,1237,1723,4575,2845,2799,1765,1715,18607,4750,0,1
1358,935,2826,3945,3017,3145,1604,1960,13727,4464,1,1
1358,935,2826,3945,3017,3145,1604,1960,13727,4464,0,1
1358,935,2826,3945,3017,3145,1604,1960,13727,4464,0,1
689,2210,3070,1571,4357,4678,1865,6423,17248,5020,1,1
689,2210,3070,1571,4357,4678,1865,6423,17248,5020,0,1
689,2210,3070,1571,4357,4678,1865,6423,17248,5020,0,1
856,1253,1606,1868,7203,5380,2572,7662,21743,6414,1,1
856,1253,1606,1868,7203,5380,2572,7662,21743,6414,0,1
856,1253,1606,1868,7203,5380,2572,7662,21743,6414,0,1
1911,1467,1920,10553,5883,5343,2806,7447,18354,6346,1,1
1911,1467,1920,10553,5883,5343,2806,7447,18354,6346,0,1
1911,1467,1920,10553,5883,5343,2806,7447,18354,6346,0,1
977,1493,4145,2294,4515,5928,2508,6768,18310,5631,1,1
977,1493,4145,2294,4515,5928,2508,6768,18310,5631,0,1
977,1493,4145,2294,4515,5928,2508,6768,18310,5631,0,1
904,1401,3182,2154,5531,4811,2472,6514,17366,5970,1,1
904,1401,3182,2154,5531,4811,2472,6514,17366,5970,0,1
904,1401,3182,2154,5531,4811,2472,6514,17366,5970,0,1
977,1463,3920,2138,3937,3793,2239,2312,23922,6080,1,1
977,1463,3920,2138,3937,3793,2239,2312,23922,6080,0,1
977,1463,3920,2138,3937,3793,2239,2312,23922,6080,0,1
2142,3744,2133,5886,4405,4222,4762,2622,21633,6554,1,1
2142,3744,2133,5886,4405,4222,4762,2622,21633,6554,0,1
2142,3744,2133,5886,4405,4222,4762,2622,21633,6554,0,1
2397,1728,2454,6537,4697,4489,2665,2786,24731,7192,1,1
2397,1728,2454,6537,4697,4489,2665,2786,24731,7192,0,1
2397,1728,2454,6537,4697,4489,2665,2786,24731,7192,0,1
4664,1687,2463,6303,4026,4014,2395,2433,25675,6464,1,1
4664,1687,2463,6303,4026,4014,2395,2433,25675,6464,0,1
4664,1687,2463,6303,4026,4014,2395,2433,25675,6464,0,1
2029,1418,2013,5239,3678,3622,2285,2169,21547,5625,1,1
2029,1418,2013,5239,3678,3622,2285,2169,21547,5625,0,1
2029,1418,2013,5239,3678,3622,2285,2169,21547,5625,0,1
3888,1462,1972,5539,4075,5942,2545,2496,22006,6095,1,1
3888,1462,1972,5539,4075,5942,2545,2496,22006,6095,0,1
3888,1462,1972,5539,4075,5942,2545,2496,22006,6095,0,1
1951,3836,2094,5769,4679,4571,2889,3115,22823,6849,1,1
1951,3836,2094,5769,4679,4571,2889,3115,22823,6849,0,1
1951,3836,2094,5769,4679,4571,2889,3115,22823,6849,0,1
3749,4424,2324,2310,5925,5209,3173,6966,28336,8263,1,1
3749,4424,2324,2310,5925,5209,3173,6966,28336,8263,0,1
3749,4424,2324,2310,5925,5209,3173,6966,28336,8263,0,1
1385,1712,2568,2454,6337,5062,3019,6443,26719,7868,1,1
1385,1712,2568,2454,6337,5062,3019,6443,26719,7868,0,1
1385,1712,2568,2454,6337,5062,3019,6443,26719,7868,0,1
3582,2994,2725,2550,5079,5872,2916,5726,33535,7955,1,1
3582,2994,2725,2550,5079,5872,2916,5726,33535,7955,0,1
3582,2994,2725,2550,5079,5872,2916,5726,33535,7955,0,1
2505,1809,2628,6739,4501,4306,2734,4748,28782,7667,1,1
2505,1809,2628,6739,4501,4306,2734,4748,28782,7667,0,1
2505,1809,2628,6739,4501,4306,2734,4748,28782,7667,0,1
2161,1597,2288,5941,4182,4040,2606,2511,25593,9325,1,1
2161,1597,2288,5941,4182,4040,2606,2511,25593,9325,0,1
2161,1597,2288,5941,4182,4040,2606,2511,25593,9325,0,1
4034,1590,2270,5750,4431,6418,2700,2696,25471,7178,1,1
4034,1590,2270,5750,4431,6418,2700,2696,25471,7178,0,1
4034,1590,2270,5750,4431,6418,2700,2696,25471,7178,0,1
4649,1743,2544,6310,4604,4494,2815,2796,28211,7508,1,1
4649,1743,2544,6310,4604,4494,2815,2796,28211,7508,0,1
4649,1743,2544,6310,4604,4494,2815,2796,28211,7508,0,1
4869,1791,2621,6533,4934,7289,2970,2986,29088,8414,1,1
4869,1791,2621,6533,4934,7289,2970,2986,29088,8414,0,1
4869,1791,2621,6533,4934,7289,2970,2986,29088,8414,0,1
5016,1842,2690,6725,4576,6645,2806,2815,29504,7574,1,1
5016,1842,2690,6725,4576,6645,2806,2815,29504,7574,0,1
5016,1842,2690,6725,4576,6645,2806,2815,29504,7574,0,1
2160,1604,2316,5758,4538,4346,2818,2828,26662,9507,1,1
2160,1604,2316,5758,4538,4346,2818,2828,26662,9507,0,1
2160,1604,2316,5758,4538,4346,2818,2828,26662,9507,0,1
4426,1607,2328,5969,4768,4581,2908,3053,25969,7751,1,1
4426,1607,2328,5969,4768,4581,2908,3053,25969,7751,0,1
4426,1607,2328,5969,4768,4581,2908,3053,25969,7751,0,1
3140,3637,2614,4756,4910,4712,5371,2981,31285,8124,1,1
3140,3637,2614,4756,4910,4712,5371,2981,31285,8124,0,1
3140,3637,2614,4756,4910,4712,5371,2981,31285,8124,0,1
2644,1886,5199,6888,4775,6901,2924,2947,30609,8009,1,1
2644,1886,5199,6888,4775,6901,2924,2947,30609,8009,0,1
2644,1886,5199,6888,4775,6901,2924,2947,30609,8009,0,1
2301,3857,2462,6155,4383,6310,2856,2789,28586,7783,1,1
2301,3857,2462,6155,4383,6310,2856,2789,28586,7783,0,1
2301,3857,2462,6155,4383,6310,2856,2789,28586,7783,0,1
2322,1747,4738,6429,6887,4497,2962,2977,28773,7915,1,1
2322,1747,4738,6429,6887,4497,2962,2977,28773,7915,0,1
2322,1747,4738,6429,6887,4497,2962,2977,28773,7915,0,1
2255,1724,4858,6411,5902,6564,3051,5888,28021,10069,1,1
2255,1724,4858,6411,5902,6564,3051,5888,28021,10069,0,1
2255,1724,4858,6411,5902,6564,3051,5888,28021,10069,0,1
1854,2054,3063,4737,5712,6671,2878,6958,32508,9608,1,1
1854,2054,3063,4737,5712,6671,2878,6958,32508,9608,0,1
1854,2054,3063,4737,5712,6671,2878,6958,32508,9608,0,1
3120,2085,3280,7997,5717,6842,2851,7186,32355,9716,1,1
3120,2085,3280,7997,5717,6842,2851,7186,32355,9716,0,1
3120,2085,3280,7997,5717,6842,2851,7186,32355,9716,0,1
3118,2105,3274,5676,5719,5488,2973,3624,32514,9543,1,1
3118,2105,3274,5676,5719,5488,2973,3624,32514,9543,0,1
3118,2105,3274,5676,5719,5488,2973,3624,32514,9543,0,1
4305,1958,5422,2514,6039,4903,3127,6243,31261,11018,1,1
4305,1958,5422,2514,6039,4903,3127,6243,31261,11018,0,1
4305,1958,5422,2514,6039,4903,3127,6243,31261,11018,0,1
3996,3699,2671,4898,5096,4882,3182,3194,30657,9482,1,1
3996,3699,2671,4898,5096,4882,3182,3194,30657,9482,0,1
3996,3699,2671,4898,5096,4882,3182,3194,30657,9482,0,1
3262,5385,3478,8362,0,14128,0,7076,36367,40313,1,1
3262,5385,3478,8362,0,14128,0,7076,36367,40313,0,1
3262,5385,3478,8362,0,14128,0,7076,36367,40313,0,1
5687,2026,3038,7517,6401,5048,3238,6414,33848,9700,1,1
5687,2026,3038,7517,6401,5048,3238,6414,33848,9700,0,1
5687,2026,3038,7517,6401,5048,3238,6414,33848,9700,0,1
1526,1887,5247,2494,5320,5124,3130,5255,32083,9432,1,1
1526,1887,5247,2494,5320,5124,3130,5255,32083,9432,0,1
1526,1887,5247,2494,5320,5124,3130,5255,32083,9432,0,1
3157,2187,6699,2555,5903,5976,2670,4070,34726,9104,1,1
3157,2187,6699,2555,5903,5976,2670,4070,34726,9104,0,1
3157,2187,6699,2555,5903,5976,2670,4070,34726,9104,0,1
5320,1935,6806,2227,5647,5877,2656,3987,35794,8919,1,1
5320,1935,6806,2227,5647,5877,2656,3987,35794,8919,0,1
5320,1935,6806,2227,5647,5877,2656,3987,35794,8919,0,1
6532,1925,3088,7855,5841,6015,2600,4124,30214,8771,1,1
6532,1925,3088,7855,5841,6015,2600,4124,30214,8771,0,1
6532,1925,3088,7855,5841,6015,2600,4124,30214,8771,0,1
3157,2134,3420,8323,6155,9944,2723,7685,33115,9239,1,1
3157,2134,3420,8323,6155,9944,2723,7685,33115,9239,0,1
3157,2134,3420,8323,6155,9944,2723,7685,33115,9239,0,1
1973,4323,3260,5669,8554,5527,2759,3738,32986,8908,1,1
1973,4323,3260,5669,8554,5527,2759,3738,32986,8908,0,1
1973,4323,3260,5669,8554,5527,2759,3738,32986,8908,0,1
1894,4086,3060,2405,5495,5652,2870,3765,31578,9567,1,1
1894,4086,3060,2405,5495,5652,2870,3765,31578,9567,0,1
1894,4086,3060,2405,5495,5652,2870,3765,31578,9567,0,1
13156,13369,22018,29781,60000,60000,12892,60000,48635,60000,1,1
13156,13369,22018,29781,60000,60000,12892,60000,48635,60000,0,1
13156,13369,22018,29781,60000,60000,12892,60000,48635,60000,0,1
27982,58790,48506,60000,60000,60000,45507,60000,60000,60000,1,1
27982,58790,48506,60000,60000,60000,45507,60000,60000,60000,0,1
27982,58790,48506,60000,60000,60000,45507,60000,60000,60000,0,1
28203,60000,49816,60000,60000,60000,5678,60000,60000,60000,1,1
28203,60000,49816,60000,60000,60000,5678,60000,60000,60000,0,1
28203,60000,49816,60000,60000,60000,5678,60000,60000,60000,0,1
