F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
589,2380,640,1672,1770,2109,1407,2944,12445,7285,1,1
589,2380,640,1672,1770,2109,1407,2944,12445,7285,0,1
589,2380,640,1672,1770,2109,1407,2944,12445,7285,0,1
348,351,1283,690,1372,1849,1139,2231,11905,6453,1,1
348,351,1283,690,1372,1849,1139,2231,11905,6453,0,1
348,351,1283,690,1372,1849,1139,2231,11905,6453,0,1
258,267,903,499,1060,1413,829,1615,8904,5420,1,1
258,267,903,499,1060,1413,829,1615,8904,5420,0,1
258,267,903,499,1060,1413,829,1615,8904,5420,0,1
247,252,852,451,1063,1440,822,1617,8554,5432,1,1
247,252,852,451,1063,1440,822,1617,8554,5432,0,1
247,252,852,451,1063,1440,822,1617,8554,5432,0,1
863,248,868,432,1000,1416,702,1465,8082,5322,1,1
863,248,868,432,1000,1416,702,1465,8082,5322,0,1
863,248,868,432,1000,1416,702,1465,8082,5322,0,1
274,842,361,407,1657,1248,648,764,7436,5452,1,1
274,842,361,407,1657,1248,648,764,7436,5452,0,1
274,842,361,407,1657,1248,648,764,7436,5452,0,1
548,999,446,1412,1137,1408,727,896,8251,5707,1,1
548,999,446,1412,1137,1408,727,896,8251,5707,0,1
548,999,446,1412,1137,1408,727,896,8251,5707,0,1
1439,291,507,1545,2161,1528,856,1033,8994,5835,1,1
1439,291,507,1545,2161,1528,856,1033,8994,5835,0,1
1439,291,507,1545,2161,1528,856,1033,8994,5835,0,1
1436,287,480,1567,1331,1559,942,1113,9427,5974,1,1
1436,287,480,1567,1331,1559,942,1113,9427,5974,0,1
1436,287,480,1567,1331,1559,942,1113,9427,5974,0,1
476,298,472,1566,1430,1873,1066,2279,9481,6295,1,1
476,298,472,1566,1430,1873,1066,2279,9481,6295,0,1
476,298,472,1566,1430,1873,1066,2279,9481,6295,0,1
1339,1061,514,595,1579,2937,1158,1338,10161,6618,1,1
1339,1061,514,595,1579,2937,1158,1338,10161,6618,0,1
1339,1061,514,595,1579,2937,1158,1338,10161,6618,0,1
1339,1061,514,595,1579,2937,1158,1338,10161,6618,0,1
348,361,2491,650,1728,2038,1439,1488,11423,7956,1,1
348,361,2491,650,1728,2038,1439,1488,11423,7956,0,1
348,361,2491,650,1728,2038,1439,1488,11423,7956,0,1
602,434,2470,886,3156,2341,1627,1727,11830,6634,1,1
602,434,2470,886,3156,2341,1627,1727,11830,6634,0,1
602,434,2470,886,3156,2341,1627,1727,11830,6634,0,1
1911,481,696,2385,2177,2565,1694,1948,12333,6974,1,1
1911,481,696,2385,2177,2565,1694,1948,12333,6974,0,1
1911,481,696,2385,2177,2565,1694,1948,12333,6974,0,1
653,501,699,2516,2176,2593,1672,1936,12013,6328,1,1
653,501,699,2516,2176,2593,1672,1936,12013,6328,0,1
653,501,699,2516,2176,2593,1672,1936,12013,6328,0,1
2057,487,690,2495,2593,2870,1771,2020,12071,8376,1,1
2057,487,690,2495,2593,2870,1771,2020,12071,8376,0,1
2057,487,690,2495,2593,2870,1771,2020,12071,8376,0,1
1887,3296,2283,4810,4808,7201,2872,3056,26552,9186,1,1
1887,3296,2283,4810,4808,7201,2872,3056,26552,9186,0,1
1887,3296,2283,4810,4808,7201,2872,3056,26552,9186,0,1
2707,1851,5809,6983,7779,7084,5986,4629,36122,20252,1,1
2707,1851,5809,6983,7779,7084,5986,4629,36122,20252,0,1
2707,1851,5809,6983,7779,7084,5986,4629,36122,20252,0,1
2875,7207,9269,4849,10099,10803,8859,11028,60000,26515,1,1
2875,7207,9269,4849,10099,10803,8859,11028,60000,26515,0,1
2875,7207,9269,4849,10099,10803,8859,11028,60000,26515,0,1
2725,3348,8888,5452,14217,10972,10812,11438,60000,34283,1,1
2725,3348,8888,5452,14217,10972,10812,11438,60000,34283,0,1
2725,3348,8888,5452,14217,10972,10812,11438,60000,34283,0,1
6846,3643,9734,5704,13277,9721,9114,11532,60000,48268,1,1
6846,3643,9734,5704,13277,9721,9114,11532,60000,48268,0,1
6846,3643,9734,5704,13277,9721,9114,11532,60000,48268,0,1
8035,4064,11246,5997,23886,11364,49323,13648,60000,60000,1,1
8035,4064,11246,5997,23886,11364,49323,13648,60000,60000,0,1
8035,4064,11246,5997,23886,11364,49323,13648,60000,60000,0,1
3642,6622,13090,44729,60000,20107,60000,15681,60000,60000,1,1
3642,6622,13090,44729,60000,20107,60000,15681,60000,60000,0,1
3642,6622,13090,44729,60000,20107,60000,15681,60000,60000,0,1
3734,29992,37425,58772,24646,13662,35520,7203,60000,52894,1,1
3734,29992,37425,58772,24646,13662,35520,7203,60000,52894,0,1
3734,29992,37425,58772,24646,13662,35520,7203,60000,52894,0,1
3321,4282,11124,11270,35815,23149,45642,18536,60000,57953,1,1
3321,4282,11124,11270,35815,23149,45642,18536,60000,57953,0,1
3321,4282,11124,11270,35815,23149,45642,18536,60000,57953,0,1
21093,59833,50705,60000,60000,60000,60000,60000,60000,60000,1,1
21093,59833,50705,60000,60000,60000,60000,60000,60000,60000,0,1
21093,59833,50705,60000,60000,60000,60000,60000,60000,60000,0,1
28112,60000,57195,60000,60000,60000,60000,60000,60000,60000,1,1
28112,60000,57195,60000,60000,60000,60000,60000,60000,60000,0,1
28112,60000,57195,60000,60000,60000,60000,60000,60000,60000,0,1
27867,38384,60000,60000,60000,60000,60000,60000,60000,60000,1,1
27867,38384,60000,60000,60000,60000,60000,60000,60000,60000,0,1
27867,38384,60000,60000,60000,60000,60000,60000,60000,60000,0,1
26751,37527,60000,60000,60000,60000,60000,60000,60000,60000,1,1
26751,37527,60000,60000,60000,60000,60000,60000,60000,60000,0,1
26751,37527,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28585,39289,60000,60000,60000,60000,60000,60000,60000,60000,1,1
28585,39289,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28585,39289,60000,60000,60000,60000,60000,60000,60000,60000,0,1
26341,37741,60000,60000,60000,60000,60000,60000,60000,60000,1,1
26341,37741,60000,60000,60000,60000,60000,60000,60000,60000,0,1
26341,37741,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28014,39820,60000,60000,60000,60000,60000,60000,60000,60000,1,1
28014,39820,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28014,39820,60000,60000,60000,60000,60000,60000,60000,60000,0,1
29239,37925,60000,60000,60000,60000,60000,60000,60000,60000,1,1
29239,37925,60000,60000,60000,60000,60000,60000,60000,60000,0,1
29239,37925,60000,60000,60000,60000,60000,60000,60000,60000,0,1
29162,60000,60000,60000,60000,60000,60000,60000,60000,60000,1,1
29162,60000,60000,60000,60000,60000,60000,60000,60000,60000,0,1
29162,60000,60000,60000,60000,60000,60000,60000,60000,60000,0,1
29558,38722,60000,60000,60000,60000,60000,60000,60000,60000,1,1
29558,38722,60000,60000,60000,60000,60000,60000,60000,60000,0,1
29558,38722,60000,60000,60000,60000,60000,60000,60000,60000,0,1
29389,38284,60000,60000,60000,60000,60000,60000,60000,60000,1,1
29389,38284,60000,60000,60000,60000,60000,60000,60000,60000,0,1
29389,38284,60000,60000,60000,60000,60000,60000,60000,60000,0,1
29353,60000,57906,60000,60000,60000,60000,60000,60000,60000,1,1
29353,60000,57906,60000,60000,60000,60000,60000,60000,60000,0,1
29353,60000,57906,60000,60000,60000,60000,60000,60000,60000,0,1
31593,41382,60000,60000,60000,60000,60000,60000,60000,60000,1,1
31593,41382,60000,60000,60000,60000,60000,60000,60000,60000,0,1
31593,41382,60000,60000,60000,60000,60000,60000,60000,60000,0,1
31892,41585,60000,60000,60000,60000,60000,60000,60000,60000,1,1
31892,41585,60000,60000,60000,60000,60000,60000,60000,60000,0,1
31892,41585,60000,60000,60000,60000,60000,60000,60000,60000,0,1
32054,45334,60000,60000,60000,60000,60000,60000,60000,60000,1,1
32054,45334,60000,60000,60000,60000,60000,60000,60000,60000,0,1
32054,45334,60000,60000,60000,60000,60000,60000,60000,60000,0,1
27546,41799,60000,60000,60000,60000,60000,60000,60000,60000,1,1
27546,41799,60000,60000,60000,60000,60000,60000,60000,60000,0,1
27546,41799,60000,60000,60000,60000,60000,60000,60000,60000,0,1
30178,44275,60000,60000,60000,60000,60000,60000,60000,60000,1,1
30178,44275,60000,60000,60000,60000,60000,60000,60000,60000,0,1
30178,44275,60000,60000,60000,60000,60000,60000,60000,60000,0,1
29062,60000,55282,60000,60000,60000,60000,60000,60000,60000,1,1
29062,60000,55282,60000,60000,60000,60000,60000,60000,60000,0,1
29062,60000,55282,60000,60000,60000,60000,60000,60000,60000,0,1
33119,60000,55127,60000,60000,60000,60000,60000,60000,60000,1,1
33119,60000,55127,60000,60000,60000,60000,60000,60000,60000,0,1
33119,60000,55127,60000,60000,60000,60000,60000,60000,60000,0,1
53922,42929,59136,60000,60000,60000,60000,60000,60000,60000,1,1
53922,42929,59136,60000,60000,60000,60000,60000,60000,60000,0,1
53922,42929,59136,60000,60000,60000,60000,60000,60000,60000,0,1
30611,44788,60000,60000,60000,60000,60000,60000,60000,60000,1,1
30611,44788,60000,60000,60000,60000,60000,60000,60000,60000,0,1
30611,44788,60000,60000,60000,60000,60000,60000,60000,60000,0,1
16225,36070,60000,60000,60000,60000,60000,60000,60000,60000,1,1
16225,36070,60000,60000,60000,60000,60000,60000,60000,60000,0,1
16225,36070,60000,60000,60000,60000,60000,60000,60000,60000,0,1
38102,32817,60000,60000,60000,60000,60000,60000,60000,60000,1,1
38102,32817,60000,60000,60000,60000,60000,60000,60000,60000,0,1
38102,32817,60000,60000,60000,60000,60000,60000,60000,60000,0,1
26807,31610,45140,60000,60000,60000,60000,58673,60000,60000,1,1
26807,31610,45140,60000,60000,60000,60000,58673,60000,60000,0,1
26807,31610,45140,60000,60000,60000,60000,58673,60000,60000,0,1
22711,30958,44989,60000,60000,60000,60000,60000,60000,60000,1,1
22711,30958,44989,60000,60000,60000,60000,60000,60000,60000,0,1
22711,30958,44989,60000,60000,60000,60000,60000,60000,60000,0,1
30075,36647,46707,60000,60000,60000,60000,60000,60000,60000,1,1
30075,36647,46707,60000,60000,60000,60000,60000,60000,60000,0,1
30075,36647,46707,60000,60000,60000,60000,60000,60000,60000,0,1
25410,31613,45377,60000,60000,60000,60000,44888,60000,60000,1,1
25410,31613,45377,60000,60000,60000,60000,44888,60000,60000,0,1
25410,31613,45377,60000,60000,60000,60000,44888,60000,60000,0,1
29459,31420,44995,60000,60000,60000,60000,60000,60000,60000,1,1
29459,31420,44995,60000,60000,60000,60000,60000,60000,60000,0,1
29459,31420,44995,60000,60000,60000,60000,60000,60000,60000,0,1
46872,33404,55698,60000,60000,60000,60000,60000,60000,60000,1,1
46872,33404,55698,60000,60000,60000,60000,60000,60000,60000,0,1
46872,33404,55698,60000,60000,60000,60000,60000,60000,60000,0,1
43444,33922,49355,60000,60000,60000,60000,60000,60000,60000,1,1
43444,33922,49355,60000,60000,60000,60000,60000,60000,60000,0,1
43444,33922,49355,60000,60000,60000,60000,60000,60000,60000,0,1
33092,32327,45162,60000,60000,60000,60000,60000,60000,60000,1,1
33092,32327,45162,60000,60000,60000,60000,60000,60000,60000,0,1
33092,32327,45162,60000,60000,60000,60000,60000,60000,60000,0,1
49898,34723,51812,60000,60000,60000,60000,60000,60000,60000,1,1
49898,34723,51812,60000,60000,60000,60000,60000,60000,60000,0,1
49898,34723,51812,60000,60000,60000,60000,60000,60000,60000,0,1
24623,60000,51115,60000,60000,60000,60000,60000,60000,60000,1,1
24623,60000,51115,60000,60000,60000,60000,60000,60000,60000,0,1
24623,60000,51115,60000,60000,60000,60000,60000,60000,60000,0,1
24663,34464,60000,60000,60000,60000,60000,60000,60000,60000,1,1
24663,34464,60000,60000,60000,60000,60000,60000,60000,60000,0,1
24663,34464,60000,60000,60000,60000,60000,60000,60000,60000,0,1
26323,59506,60000,60000,60000,60000,60000,60000,60000,60000,1,1
26323,59506,60000,60000,60000,60000,60000,60000,60000,60000,0,1
26323,59506,60000,60000,60000,60000,60000,60000,60000,60000,0,1
27118,38012,60000,60000,60000,60000,60000,60000,60000,60000,1,1
27118,38012,60000,60000,60000,60000,60000,60000,60000,60000,0,1
27118,38012,60000,60000,60000,60000,60000,60000,60000,60000,0,1
17346,35665,60000,60000,59778,55305,60000,24466,60000,60000,1,1
17346,35665,60000,60000,59778,55305,60000,24466,60000,60000,0,1
17346,35665,60000,60000,59778,55305,60000,24466,60000,60000,0,1
6440,5213,6439,23076,12987,14557,11770,13837,60000,32649,1,1
6440,5213,6439,23076,12987,14557,11770,13837,60000,32649,0,1
6440,5213,6439,23076,12987,14557,11770,13837,60000,32649,0,1
2974,12314,5649,6671,11437,13055,8519,12281,60000,26964,1,1
2974,12314,5649,6671,11437,13055,8519,12281,60000,26964,0,1
2974,12314,5649,6671,11437,13055,8519,12281,60000,26964,0,1
2949,8008,5376,5882,11021,10174,7901,6292,60000,27154,1,1
2949,8008,5376,5882,11021,10174,7901,6292,60000,27154,0,1
2949,8008,5376,5882,11021,10174,7901,6292,60000,27154,0,1
3062,3938,5635,6070,12433,13595,10409,12769,60000,43032,1,1
3062,3938,5635,6070,12433,13595,10409,12769,60000,43032,0,1
3062,3938,5635,6070,12433,13595,10409,12769,60000,43032,0,1
3379,4706,16375,7464,15405,11075,11503,13088,60000,42284,1,1
3379,4706,16375,7464,15405,11075,11503,13088,60000,42284,0,1
3379,4706,16375,7464,15405,11075,11503,13088,60000,42284,0,1
7450,7768,5776,6685,11805,10747,9600,6544,60000,27296,1,1
7450,7768,5776,6685,11805,10747,9600,6544,60000,27296,0,1
7450,7768,5776,6685,11805,10747,9600,6544,60000,27296,0,1
3361,5350,6684,14881,54936,19387,60000,17396,60000,60000,1,1
3361,5350,6684,14881,54936,19387,60000,17396,60000,60000,0,1
3361,5350,6684,14881,54936,19387,60000,17396,60000,60000,0,1
8241,30854,39079,60000,60000,60000,60000,50359,60000,60000,1,1
8241,30854,39079,60000,60000,60000,60000,50359,60000,60000,0,1
8241,30854,39079,60000,60000,60000,60000,50359,60000,60000,0,1
8247,29747,17024,60000,52878,18998,60000,8544,60000,60000,1,1
8247,29747,17024,60000,52878,18998,60000,8544,60000,60000,0,1
8247,29747,17024,60000,52878,18998,60000,8544,60000,60000,0,1
9183,11605,7744,58778,60000,26636,60000,13536,60000,60000,1,1
9183,11605,7744,58778,60000,26636,60000,13536,60000,60000,0,1
9183,11605,7744,58778,60000,26636,60000,13536,60000,60000,0,1
10595,36434,41023,60000,60000,60000,60000,55582,60000,60000,1,1
10595,36434,41023,60000,60000,60000,60000,55582,60000,60000,0,1
10595,36434,41023,60000,60000,60000,60000,55582,60000,60000,0,1
10187,30869,30883,60000,60000,60000,60000,13039,60000,60000,1,1
10187,30869,30883,60000,60000,60000,60000,13039,60000,60000,0,1
10187,30869,30883,60000,60000,60000,60000,13039,60000,60000,0,1
10416,28666,13046,60000,60000,60000,60000,15048,60000,60000,1,1
10416,28666,13046,60000,60000,60000,60000,15048,60000,60000,0,1
10416,28666,13046,60000,60000,60000,60000,15048,60000,60000,0,1
18374,31082,31927,60000,60000,60000,60000,60000,60000,60000,1,1
18374,31082,31927,60000,60000,60000,60000,60000,60000,60000,0,1
18374,31082,31927,60000,60000,60000,60000,60000,60000,60000,0,1
26466,31293,39358,60000,60000,60000,60000,18098,60000,60000,1,1
26466,31293,39358,60000,60000,60000,60000,18098,60000,60000,0,1
26466,31293,39358,60000,60000,60000,60000,18098,60000,60000,0,1
11894,30111,9485,60000,60000,60000,60000,8821,60000,60000,1,1
11894,30111,9485,60000,60000,60000,60000,8821,60000,60000,0,1
11894,30111,9485,60000,60000,60000,60000,8821,60000,60000,0,1
13184,26425,8493,60000,60000,60000,60000,34751,60000,60000,1,1
