F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
29,174,119,168,368,530,233,485,1155,81,1,1
29,174,119,168,368,530,233,485,1155,81,0,1
29,174,119,168,368,530,233,485,1155,81,0,1
32,42,79,243,342,813,92,188,920,85,1,1
32,42,79,243,342,813,92,188,920,85,0,1
32,42,79,243,342,813,92,188,920,85,0,1
30,28,75,179,613,364,59,276,875,83,1,1
30,28,75,179,613,364,59,276,875,83,0,1
30,28,75,179,613,364,59,276,875,83,0,1
28,23,403,22,147,257,58,138,880,23,1,1
28,23,403,22,147,257,58,138,880,23,0,1
28,23,403,22,147,257,58,138,880,23,0,1
28,14,55,543,158,317,45,151,696,402,1,1
28,14,55,543,158,317,45,151,696,402,0,1
28,14,55,543,158,317,45,151,696,402,0,1
234,18,32,14,48,176,35,134,611,50,1,1
234,18,32,14,48,176,35,134,611,50,0,1
234,18,32,14,48,176,35,134,611,50,0,1
20,21,28,11,102,248,283,138,594,56,1,1
20,21,28,11,102,248,283,138,594,56,0,1
20,21,28,11,102,248,283,138,594,56,0,1
17,15,36,66,46,95,34,26,514,18,1,1
17,15,36,66,46,95,34,26,514,18,0,1
17,15,36,66,46,95,34,26,514,18,0,1
17,15,36,66,46,95,34,26,514,18,0,1
26,126,14,52,62,96,47,63,352,14,1,1
26,126,14,52,62,96,47,63,352,14,0,1
26,126,14,52,62,96,47,63,352,14,0,1
298,67,77,50,452,1001,350,182,541,99,1,1
298,67,77,50,452,1001,350,182,541,99,0,1
298,67,77,50,452,1001,350,182,541,99,0,1
29,36,351,232,253,360,129,199,1001,354,1,1
29,36,351,232,253,360,129,199,1001,354,0,1
29,36,351,232,253,360,129,199,1001,354,0,1
76,42,66,554,419,613,255,306,1017,72,1,1
76,42,66,554,419,613,255,306,1017,72,0,1
76,42,66,554,419,613,255,306,1017,72,0,1
384,126,87,275,421,626,410,228,1511,386,1,1
384,126,87,275,421,626,410,228,1511,386,0,1
384,126,87,275,421,626,410,228,1511,386,0,1
73,46,345,120,312,480,544,187,1215,87,1,1
73,46,345,120,312,480,544,187,1215,87,0,1
73,46,345,120,312,480,544,187,1215,87,0,1
79,66,64,82,173,264,295,205,1181,104,1,1
79,66,64,82,173,264,295,205,1181,104,0,1
79,66,64,82,173,264,295,205,1181,104,0,1
15,24,51,33,161,220,266,176,983,111,1,1
15,24,51,33,161,220,266,176,983,111,0,1
15,24,51,33,161,220,266,176,983,111,0,1
85,42,65,77,146,167,232,133,1208,153,1,1
85,42,65,77,146,167,232,133,1208,153,0,1
85,42,65,77,146,167,232,133,1208,153,0,1
17,62,60,70,334,502,530,280,1099,83,1,1
17,62,60,70,334,502,530,280,1099,83,0,1
17,62,60,70,334,502,530,280,1099,83,0,1
18,46,113,114,392,859,317,202,1216,77,1,1
18,46,113,114,392,859,317,202,1216,77,0,1
18,46,113,114,392,859,317,202,1216,77,0,1
18,110,68,232,357,529,332,293,1198,81,1,1
18,110,68,232,357,529,332,293,1198,81,0,1
18,110,68,232,357,529,332,293,1198,81,0,1
16,102,64,114,340,512,331,187,1178,83,1,1
16,102,64,114,340,512,331,187,1178,83,0,1
16,102,64,114,340,512,331,187,1178,83,0,1
238,43,162,114,615,533,374,148,1228,106,1,1
238,43,162,114,615,533,374,148,1228,106,0,1
238,43,162,114,615,533,374,148,1228,106,0,1
35,309,64,117,372,544,331,148,1317,80,1,1
35,309,64,117,372,544,331,148,1317,80,0,1
35,309,64,117,372,544,331,148,1317,80,0,1
16,109,64,226,368,537,332,298,1152,82,1,1
16,109,64,226,368,537,332,298,1152,82,0,1
16,109,64,226,368,537,332,298,1152,82,0,1
284,105,65,223,364,813,309,146,1185,79,1,1
284,105,65,223,364,813,309,146,1185,79,0,1
284,105,65,223,364,813,309,146,1185,79,0,1
33,44,66,276,361,532,316,192,1199,80,1,1
33,44,66,276,361,532,316,192,1199,80,0,1
33,44,66,276,361,532,316,192,1199,80,0,1
337,61,66,111,363,527,306,193,1332,78,1,1
337,61,66,111,363,527,306,193,1332,78,0,1
337,61,66,111,363,527,306,193,1332,78,0,1
18,45,173,109,635,527,296,192,1228,75,1,1
18,45,173,109,635,527,296,192,1228,75,0,1
18,45,173,109,635,527,296,192,1228,75,0,1
33,320,65,106,318,457,230,127,1301,325,1,1
33,320,65,106,318,457,230,127,1301,325,0,1
33,320,65,106,318,457,230,127,1301,325,0,1
14,27,122,56,182,270,114,143,727,39,1,1
14,27,122,56,182,270,114,143,727,39,0,1
14,27,122,56,182,270,114,143,727,39,0,1
12,47,38,114,128,209,114,220,638,44,1,1
12,47,38,114,128,209,114,220,638,44,0,1
12,47,38,114,128,209,114,220,638,44,0,1
9,17,35,65,101,165,83,104,472,36,1,1
9,17,35,65,101,165,83,104,472,36,0,1
9,17,35,65,101,165,83,104,472,36,0,1
134,48,32,33,140,209,231,122,557,40,1,1
134,48,32,33,140,209,231,122,557,40,0,1
134,48,32,33,140,209,231,122,557,40,0,1
13,230,66,49,307,444,234,231,642,66,1,1
13,230,66,49,307,444,234,231,642,66,0,1
13,230,66,49,307,444,234,231,642,66,0,1
17,42,65,205,304,474,327,147,1414,85,1,1
17,42,65,205,304,474,327,147,1414,85,0,1
17,42,65,205,304,474,327,147,1414,85,0,1
16,215,64,105,305,477,328,146,1202,84,1,0
16,215,64,105,305,477,328,146,1202,84,0,0
16,215,64,105,305,477,328,146,1202,84,0,0
16,40,100,246,317,653,327,144,1171,82,1,1
16,40,100,246,317,653,327,144,1171,82,0,1
16,40,100,246,317,653,327,144,1171,82,0,1
65,54,206,106,405,458,324,142,1279,82,1,1
65,54,206,106,405,458,324,142,1279,82,0,1
65,54,206,106,405,458,324,142,1279,82,0,1
15,282,62,105,299,471,325,281,1144,81,1,1
15,282,62,105,299,471,325,281,1144,81,0,1
15,282,62,105,299,471,325,281,1144,81,0,1
15,88,62,105,297,468,325,280,1145,230,1,1
15,88,62,105,297,468,325,280,1145,230,0,1
15,88,62,105,297,468,325,280,1145,230,0,1
15,85,61,102,288,460,324,278,1120,81,1,1
15,85,61,102,288,460,324,278,1120,81,0,1
15,85,61,102,288,460,324,278,1120,81,0,1
15,84,95,102,290,461,323,408,1195,80,1,1
15,84,95,102,290,461,323,408,1195,80,0,1
15,84,95,102,290,461,323,408,1195,80,0,1
179,128,62,106,0,609,0,762,1120,406,1,1
179,128,62,106,0,609,0,762,1120,406,0,1
179,128,62,106,0,609,0,762,1120,406,0,1
156,38,97,105,285,459,325,280,1134,82,1,1
156,38,97,105,285,459,325,280,1134,82,0,1
156,38,97,105,285,459,325,280,1134,82,0,1
115,116,62,102,361,449,326,279,1149,83,1,1
115,116,62,102,361,449,326,279,1149,83,0,1
115,116,62,102,361,449,326,279,1149,83,0,1
15,79,93,99,267,444,330,281,1279,151,1,1
15,79,93,99,267,444,330,281,1279,151,0,1
15,79,93,99,267,444,330,281,1279,151,0,1
15,79,117,98,299,470,330,407,1149,85,1,1
15,79,117,98,299,470,330,407,1149,85,0,1
15,79,117,98,299,470,330,407,1149,85,0,1
153,88,65,104,257,460,329,189,1208,89,1,1
153,88,65,104,257,460,329,189,1208,89,0,1
153,88,65,104,257,460,329,189,1208,89,0,1
18,36,61,53,145,195,192,132,1096,108,1,1
18,36,61,53,145,195,192,132,1096,108,0,1
18,36,61,53,145,195,192,132,1096,108,0,1
20,37,55,26,161,241,191,229,1009,110,1,1
20,37,55,26,161,241,191,229,1009,110,0,1
20,37,55,26,161,241,191,229,1009,110,0,1
20,26,76,28,123,195,124,122,1046,105,1,1
20,26,76,28,123,195,124,122,1046,105,0,1
20,26,76,28,123,195,124,122,1046,105,0,1
20,23,56,20,195,338,294,322,1044,106,1,1
20,23,56,20,195,338,294,322,1044,106,0,1
20,23,56,20,195,338,294,322,1044,106,0,1
18,84,112,108,380,561,374,578,1430,91,1,1
18,84,112,108,380,561,374,578,1430,91,0,1
18,84,112,108,380,561,374,578,1430,91,0,1
17,419,68,127,373,558,356,410,1313,80,1,1
17,419,68,127,373,558,356,410,1313,80,0,1
17,419,68,127,373,558,356,410,1313,80,0,1
16,47,111,124,366,564,344,291,1516,76,1,1
16,47,111,124,366,564,344,291,1516,76,0,1
16,47,111,124,366,564,344,291,1516,76,0,1
16,293,167,122,342,541,355,294,1284,309,1,1
16,293,167,122,342,541,355,294,1284,309,0,1
16,293,167,122,342,541,355,294,1284,309,0,1
32,47,68,169,395,574,324,437,1720,71,1,1
32,47,68,169,395,574,324,437,1720,71,0,1
32,47,68,169,395,574,324,437,1720,71,0,1
17,402,65,232,372,546,321,293,1107,76,1,1
17,402,65,232,372,546,321,293,1107,76,0,1
17,402,65,232,372,546,321,293,1107,76,0,1
264,106,64,219,355,525,569,150,1170,83,1,1
264,106,64,219,355,525,569,150,1170,83,0,1
264,106,64,219,355,525,569,150,1170,83,0,1
34,44,66,216,365,536,324,150,1204,83,1,1
34,44,66,216,365,536,324,150,1204,83,0,1
34,44,66,216,365,536,324,150,1204,83,0,1
34,44,67,275,353,522,325,194,1217,89,1,1
34,44,67,275,353,522,325,194,1217,89,0,1
34,44,67,275,353,522,325,194,1217,89,0,1
31,39,66,237,226,422,299,178,1212,86,1,1
31,39,66,237,226,422,299,178,1212,86,0,1
31,39,66,237,226,422,299,178,1212,86,0,1
17,62,88,194,269,604,243,240,1104,74,1,1
17,62,88,194,269,604,243,240,1104,74,0,1
17,62,88,194,269,604,243,240,1104,74,0,1
220,87,65,98,322,498,323,288,1193,268,1,1
220,87,65,98,322,498,323,288,1193,268,0,1
220,87,65,98,322,498,323,288,1193,268,0,1
17,81,66,107,312,488,326,315,1268,85,1,1
17,81,66,107,312,488,326,315,1268,85,0,1
17,81,66,107,312,488,326,315,1268,85,0,1
17,92,103,105,320,495,505,288,1295,85,1,1
17,92,103,105,320,495,505,288,1295,85,0,1
17,92,103,105,320,495,505,288,1295,85,0,1
17,95,66,108,318,509,325,288,1211,86,1,1
17,95,66,108,318,509,325,288,1211,86,0,1
17,95,66,108,318,509,325,288,1211,86,0,1
31,39,66,192,300,481,325,286,1296,87,1,1
31,39,66,192,300,481,325,286,1296,87,0,1
31,39,66,192,300,481,325,286,1296,87,0,1
17,122,65,102,292,475,324,406,1201,87,1,1
17,122,65,102,292,475,324,406,1201,87,0,1
17,122,65,102,292,475,324,406,1201,87,0,1
17,85,65,101,276,462,329,285,1305,88,1,1
17,85,65,101,276,462,329,285,1305,88,0,1
17,85,65,101,276,462,329,285,1305,88,0,1
15,80,92,97,258,436,329,150,1257,92,1,1
15,80,92,97,258,436,329,150,1257,92,0,1
15,80,92,97,258,436,329,150,1257,92,0,1
15,108,160,181,332,504,332,474,1116,82,1,1
15,108,160,181,332,504,332,474,1116,82,0,1
15,108,160,181,332,504,332,474,1116,82,0,1
248,42,63,269,582,526,333,191,1143,85,1,1
248,42,63,269,582,526,333,191,1143,85,0,1
248,42,63,269,582,526,333,191,1143,85,0,1
86,40,274,104,255,395,302,303,1244,79,1,1
86,40,274,104,255,395,302,303,1244,79,0,1
86,40,274,104,255,395,302,303,1244,79,0,1
24,152,84,116,229,299,278,284,687,75,1,1
24,152,84,116,229,299,278,284,687,75,0,1
24,152,84,116,229,299,278,284,687,75,0,1
10,31,93,82,226,328,286,302,828,75,1,1
10,31,93,82,226,328,286,302,828,75,0,1
10,31,93,82,226,328,286,302,828,75,0,1
12,32,203,90,281,422,311,296,910,79,1,1
12,32,203,90,281,422,311,296,910,79,0,1
12,32,203,90,281,422,311,296,910,79,0,1
13,33,105,91,280,427,310,291,991,80,1,1
13,33,105,91,280,427,310,291,991,80,0,1
13,33,105,91,280,427,310,291,991,80,0,1
191,36,57,225,288,428,310,153,980,76,1,1
191,36,57,225,288,428,310,153,980,76,0,1
191,36,57,225,288,428,310,153,980,76,0,1
30,37,59,419,503,482,314,273,1039,84,1,1
30,37,59,419,503,482,314,273,1039,84,0,1
30,37,59,419,503,482,314,273,1039,84,0,1
30,38,62,237,302,480,326,287,1119,85,1,1
30,38,62,237,302,480,326,287,1119,85,0,1
30,38,62,237,302,480,326,287,1119,85,0,1
108,38,133,104,297,443,327,282,1161,154,1,1
108,38,133,104,297,443,327,282,1161,154,0,1
108,38,133,104,297,443,327,282,1161,154,0,1
108,38,133,104,297,443,327,282,1161,154,0,1
65,52,61,101,296,479,327,287,1302,86,1,1
65,52,61,101,296,479,327,287,1302,86,0,1
65,52,61,101,296,479,327,287,1302,86,0,1
16,37,98,102,296,483,329,292,1145,86,1,1
16,37,98,102,296,483,329,292,1145,86,0,1
16,37,98,102,296,483,329,292,1145,86,0,1
16,36,63,101,297,451,326,283,1150,87,1,1
16,36,63,101,297,451,326,283,1150,87,0,1
16,36,63,101,297,451,326,283,1150,87,0,1
15,83,63,99,263,432,381,274,1157,87,1,1
15,83,63,99,263,432,381,274,1157,87,0,1
15,83,63,99,263,432,381,274,1157,87,0,1
15,113,63,99,268,498,326,276,1161,88,1,1
15,113,63,99,268,498,326,276,1161,88,0,1
15,113,63,99,268,498,326,276,1161,88,0,1
15,114,63,99,271,440,324,276,1166,87,1,1
15,114,63,99,271,440,324,276,1166,87,0,1
15,114,63,99,271,440,324,276,1166,87,0,1
16,81,94,98,269,442,324,277,1240,88,1,1
16,81,94,98,269,442,324,277,1240,88,0,1
16,81,94,98,269,442,324,277,1240,88,0,1
16,114,64,98,268,443,323,344,1184,88,1,1
16,114,64,98,268,443,323,344,1184,88,0,1
16,114,64,98,268,443,323,344,1184,88,0,1
16,80,63,97,307,431,322,274,1177,89,1,1
16,80,63,97,307,431,322,274,1177,89,0,1
16,80,63,97,307,431,322,274,1177,89,0,1
16,79,93,96,252,429,321,273,1235,88,1,1
16,79,93,96,252,429,321,273,1235,88,0,1
16,79,93,96,252,429,321,273,1235,88,0,1
16,78,92,95,254,430,321,273,1227,88,1,1
16,78,92,95,254,430,321,273,1227,88,0,1
16,78,92,95,254,430,321,273,1227,88,0,1
16,79,63,96,237,422,319,272,1167,137,1,1
16,79,63,96,237,422,319,272,1167,137,0,1
16,79,63,96,237,422,319,272,1167,137,0,1
16,69,62,90,241,418,310,265,1153,88,1,1
16,69,62,90,241,418,310,265,1153,88,0,1
16,69,62,90,241,418,310,265,1153,88,0,1
16,107,61,91,255,418,364,260,1152,86,1,1
16,107,61,91,255,418,364,260,1152,86,0,1
16,107,61,91,255,418,364,260,1152,86,0,1
16,101,61,89,244,459,303,259,1136,88,1,1
16,101,61,89,244,459,303,259,1136,88,0,1
16,101,61,89,244,459,303,259,1136,88,0,1
16,103,61,89,236,406,300,310,1141,88,1,1
16,103,61,89,236,406,300,310,1141,88,0,1
16,103,61,89,236,406,300,310,1141,88,0,1
16,73,91,90,234,408,302,313,1214,88,1,1
16,73,91,90,234,408,302,313,1214,88,0,1
16,73,91,90,234,408,302,313,1214,88,0,1
16,72,62,90,236,406,302,316,1143,88,1,1
16,72,62,90,236,406,302,316,1143,88,0,1
16,72,62,90,236,406,302,316,1143,88,0,1
15,103,61,155,324,391,280,247,1119,83,1,1
15,103,61,155,324,391,280,247,1119,83,0,1
15,103,61,155,324,391,280,247,1119,83,0,1
14,224,54,82,404,388,257,229,1021,78,1,1
14,224,54,82,404,388,257,229,1021,78,0,1
14,224,54,82,404,388,257,229,1021,78,0,1
14,72,53,81,275,407,269,237,1036,82,1,1
14,72,53,81,275,407,269,237,1036,82,0,1
14,72,53,81,275,407,269,237,1036,82,0,1
182,66,56,88,257,422,281,248,1073,102,1,1
182,66,56,88,257,422,281,248,1073,102,0,1
182,66,56,88,257,422,281,248,1073,102,0,1
15,71,86,86,235,382,275,127,1147,83,1,1
15,71,86,86,235,382,275,127,1147,83,0,1
15,71,86,86,235,382,275,127,1147,83,0,1
