F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
9,21,29,34,99,114,50,123,333,77,1,1
9,21,29,34,99,114,50,123,333,77,0,1
9,21,29,34,99,114,50,123,333,77,0,1
9,20,74,34,98,113,50,121,330,77,1,1
9,20,74,34,98,113,50,121,330,77,0,1
9,20,74,34,98,113,50,121,330,77,0,1
9,20,74,34,98,113,50,121,384,77,1,1
9,20,74,34,98,113,50,121,384,77,0,1
9,20,74,34,98,113,50,121,384,77,0,1
9,20,152,34,97,112,50,121,329,77,1,1
9,20,152,34,97,112,50,121,329,77,0,1
9,20,152,34,97,112,50,121,329,77,0,1
9,99,73,35,98,113,50,121,305,77,1,1
9,99,73,35,98,113,50,121,305,77,0,1
9,99,73,35,98,113,50,121,305,77,0,1
9,20,73,35,98,112,50,121,406,77,1,1
9,20,73,35,98,112,50,121,406,77,0,1
9,20,73,35,98,112,50,121,406,77,0,1
9,20,151,35,98,112,50,121,305,77,1,1
9,20,151,35,98,112,50,121,305,77,0,1
9,20,151,35,98,112,50,121,305,77,0,1
9,20,151,35,98,112,50,121,305,77,0,1
9,81,28,35,98,113,50,121,305,77,1,1
9,81,28,35,98,113,50,121,305,77,0,1
9,81,28,35,98,113,50,121,305,77,0,1
87,20,73,34,98,112,50,121,305,77,1,1
87,20,73,34,98,112,50,121,305,77,0,1
87,20,73,34,98,112,50,121,305,77,0,1
9,20,73,35,98,113,50,121,329,77,1,1
9,20,73,35,98,113,50,121,329,77,0,1
9,20,73,35,98,113,50,121,329,77,0,1
9,20,73,113,98,113,50,121,330,77,1,1
9,20,73,113,98,113,50,121,330,77,0,1
9,20,73,113,98,113,50,121,330,77,0,1
87,20,73,35,98,113,50,121,330,77,1,1
87,20,73,35,98,113,50,121,330,77,0,1
87,20,73,35,98,113,50,121,330,77,0,1
9,20,73,35,98,113,50,121,307,77,1,1
9,20,73,35,98,113,50,121,307,77,0,1
9,20,73,35,98,113,50,121,307,77,0,1
9,20,73,35,98,113,50,121,308,77,1,1
9,20,73,35,98,113,50,121,308,77,0,1
9,20,73,35,98,113,50,121,308,77,0,1
9,20,73,35,98,113,50,121,308,77,1,1
9,20,73,35,98,113,50,121,308,77,0,1
9,20,73,35,98,113,50,121,308,77,0,1
9,20,73,35,98,113,50,121,308,77,1,1
9,20,73,35,98,113,50,121,308,77,0,1
9,20,73,35,98,113,50,121,308,77,0,1
85,20,73,35,98,113,50,121,308,76,1,1
85,20,73,35,98,113,50,121,308,76,0,1
85,20,73,35,98,113,50,121,308,76,0,1
9,20,73,35,174,113,50,121,307,76,1,1
9,20,73,35,174,113,50,121,307,76,0,1
9,20,73,35,174,113,50,121,307,76,0,1
9,97,73,35,98,113,50,121,330,76,1,1
9,97,73,35,98,113,50,121,330,76,0,1
9,97,73,35,98,113,50,121,330,76,0,1
9,20,74,35,99,114,50,123,329,77,1,1
9,20,74,35,99,114,50,123,329,77,0,1
9,20,74,35,99,114,50,123,329,77,0,1
9,20,76,35,100,115,50,123,305,77,1,1
9,20,76,35,100,115,50,123,305,77,0,1
9,20,76,35,100,115,50,123,305,77,0,1
9,21,76,35,99,115,50,123,304,77,1,1
9,21,76,35,99,115,50,123,304,77,0,1
9,21,76,35,99,115,50,123,304,77,0,1
9,20,76,35,99,115,50,123,304,77,1,1
9,20,76,35,99,115,50,123,304,77,0,1
9,20,76,35,99,115,50,123,304,77,0,1
9,20,76,35,99,115,50,123,304,77,1,1
9,20,76,35,99,115,50,123,304,77,0,1
9,20,76,35,99,115,50,123,304,77,0,1
9,20,76,116,99,115,50,123,327,77,1,1
9,20,76,116,99,115,50,123,327,77,0,1
9,20,76,116,99,115,50,123,327,77,0,1
9,20,157,35,181,115,50,123,327,77,1,1
9,20,157,35,181,115,50,123,327,77,0,1
9,20,157,35,181,115,50,123,327,77,0,1
91,21,76,35,100,115,51,124,330,78,1,1
91,21,76,35,100,115,51,124,330,78,0,1
91,21,76,35,100,115,51,124,330,78,0,1
9,21,76,35,100,116,51,124,308,78,1,1
9,21,76,35,100,116,51,124,308,78,0,1
9,21,76,35,100,116,51,124,308,78,0,1
9,21,159,35,101,116,51,125,310,79,1,1
9,21,159,35,101,116,51,125,310,79,0,1
9,21,159,35,101,116,51,125,310,79,0,1
9,21,77,35,101,116,51,125,311,79,1,1
9,21,77,35,101,116,51,125,311,79,0,1
9,21,77,35,101,116,51,125,311,79,0,1
92,21,77,35,101,117,51,125,335,78,1,1
92,21,77,35,101,117,51,125,335,78,0,1
92,21,77,35,101,117,51,125,335,78,0,1
9,21,77,35,101,116,51,125,332,78,1,1
9,21,77,35,101,116,51,125,332,78,0,1
9,21,77,35,101,116,51,125,332,78,0,1
9,21,160,35,101,116,51,125,331,78,1,1
9,21,160,35,101,116,51,125,331,78,0,1
9,21,160,35,101,116,51,125,331,78,0,1
9,21,160,35,100,116,51,124,306,78,1,1
9,21,160,35,100,116,51,124,306,78,0,1
9,21,160,35,100,116,51,124,306,78,0,1
9,21,159,35,100,116,51,125,330,78,1,1
9,21,159,35,100,116,51,125,330,78,0,1
9,21,159,35,100,116,51,125,330,78,0,1
9,21,77,35,100,116,51,124,333,77,1,1
9,21,77,35,100,116,51,124,333,77,0,1
9,21,77,35,100,116,51,124,333,77,0,1
9,20,155,35,98,112,50,122,300,76,1,1
9,20,155,35,98,112,50,122,300,76,0,1
9,20,155,35,98,112,50,122,300,76,0,1
9,98,73,35,98,112,50,122,300,76,1,1
9,98,73,35,98,112,50,122,300,76,0,1
9,98,73,35,98,112,50,122,300,76,0,1
9,20,73,35,97,112,50,122,323,76,1,1
9,20,73,35,97,112,50,122,323,76,0,1
9,20,73,35,97,112,50,122,323,76,0,1
9,98,73,34,97,112,50,122,298,75,1,1
9,98,73,34,97,112,50,122,298,75,0,1
9,98,73,34,97,112,50,122,298,75,0,1
9,20,73,34,97,112,50,121,321,75,1,1
9,20,73,34,97,112,50,121,321,75,0,1
9,20,73,34,97,112,50,121,321,75,0,1
86,20,72,34,97,112,50,122,297,75,1,1
86,20,72,34,97,112,50,122,297,75,0,1
86,20,72,34,97,112,50,122,297,75,0,1
9,20,150,34,97,112,50,121,297,75,1,1
9,20,150,34,97,112,50,121,297,75,0,1
9,20,150,34,97,112,50,121,297,75,0,1
9,20,150,34,97,101,50,199,321,75,1,1
9,20,150,34,97,101,50,199,321,75,0,1
9,20,150,34,97,101,50,199,321,75,0,1
9,20,73,112,97,112,50,121,321,75,1,1
9,20,73,112,97,112,50,121,321,75,0,1
9,20,73,112,97,112,50,121,321,75,0,1
9,20,150,34,96,111,50,121,297,75,1,1
9,20,150,34,96,111,50,121,297,75,0,1
9,20,150,34,96,111,50,121,297,75,0,1
87,20,73,34,98,113,50,122,320,76,1,1
87,20,73,34,98,113,50,122,320,76,0,1
87,20,73,34,98,113,50,122,320,76,0,1
90,20,75,34,97,112,50,122,297,75,1,1
90,20,75,34,97,112,50,122,297,75,0,1
90,20,75,34,97,112,50,122,297,75,0,1
9,19,70,33,92,106,49,116,386,74,1,1
9,19,70,33,92,106,49,116,386,74,0,1
9,19,70,33,92,106,49,116,386,74,0,1
9,97,72,34,98,112,50,121,295,76,1,1
9,97,72,34,98,112,50,121,295,76,0,1
9,97,72,34,98,112,50,121,295,76,0,1
87,20,73,34,98,112,50,122,298,76,1,1
87,20,73,34,98,112,50,122,298,76,0,1
87,20,73,34,98,112,50,122,298,76,0,1
87,20,73,34,98,112,50,122,323,76,1,1
87,20,73,34,98,112,50,122,323,76,0,1
87,20,73,34,98,112,50,122,323,76,0,1
9,20,73,113,98,112,50,122,299,76,1,1
9,20,73,113,98,112,50,122,299,76,0,1
9,20,73,113,98,112,50,122,299,76,0,1
9,20,73,34,98,112,50,122,299,76,1,1
9,20,73,34,98,112,50,122,299,76,0,1
9,20,73,34,98,112,50,122,299,76,0,1
9,20,73,34,98,112,50,122,299,76,1,1
9,20,73,34,98,112,50,122,299,76,0,1
9,20,73,34,98,112,50,122,299,76,0,1
9,20,73,34,98,112,50,122,298,76,1,1
9,20,73,34,98,112,50,122,298,76,0,1
9,20,73,34,98,112,50,122,298,76,0,1
9,20,73,113,98,112,50,122,321,76,1,1
9,20,73,113,98,112,50,122,321,76,0,1
9,20,73,113,98,112,50,122,321,76,0,1
9,20,151,34,97,111,50,121,321,76,1,1
9,20,151,34,97,111,50,121,321,76,0,1
9,20,151,34,97,111,50,121,321,76,0,1
9,20,73,34,97,112,50,121,296,76,1,1
9,20,73,34,97,112,50,121,296,76,0,1
9,20,73,34,97,112,50,121,296,76,0,1
9,20,73,34,97,112,50,121,320,76,1,1
9,20,73,34,97,112,50,121,320,76,0,1
9,20,73,34,97,112,50,121,320,76,0,1
9,20,73,34,97,112,50,121,320,75,1,1
9,20,73,34,97,112,50,121,320,75,0,1
9,20,73,34,97,112,50,121,320,75,0,1
9,20,150,34,97,111,50,120,320,76,1,1
9,20,150,34,97,111,50,120,320,76,0,1
9,20,150,34,97,111,50,120,320,76,0,1
9,20,72,112,97,111,50,121,320,75,1,1
9,20,72,112,97,111,50,121,320,75,0,1
9,20,72,112,97,111,50,121,320,75,0,1
9,20,72,34,97,112,50,121,320,76,1,1
9,20,72,34,97,112,50,121,320,76,0,1
9,20,72,34,97,112,50,121,320,76,0,1
86,20,72,34,97,111,50,121,297,76,1,1
86,20,72,34,97,111,50,121,297,76,0,1
86,20,72,34,97,111,50,121,297,76,0,1
9,20,72,34,97,112,50,121,320,76,1,1
9,20,72,34,97,112,50,121,320,76,0,1
9,20,72,34,97,112,50,121,320,76,0,1
9,20,72,34,97,111,50,121,298,76,1,1
9,20,72,34,97,111,50,121,298,76,0,1
9,20,72,34,97,111,50,121,298,76,0,1
9,20,72,34,97,111,50,121,375,76,1,1
9,20,72,34,97,111,50,121,375,76,0,1
9,20,72,34,97,111,50,121,375,76,0,1
9,20,72,34,97,111,50,121,297,76,1,1
9,20,72,34,97,111,50,121,297,76,0,1
9,20,72,34,97,111,50,121,297,76,0,1
86,20,72,34,97,112,50,121,298,76,1,1
86,20,72,34,97,112,50,121,298,76,0,1
86,20,72,34,97,112,50,121,298,76,0,1
87,20,73,34,97,112,50,121,298,76,1,1
87,20,73,34,97,112,50,121,298,76,0,1
87,20,73,34,97,112,50,121,298,76,0,1
86,20,73,35,97,112,50,121,298,76,1,1
86,20,73,35,97,112,50,121,298,76,0,1
86,20,73,35,97,112,50,121,298,76,0,1
9,20,72,35,97,111,50,121,399,76,1,1
9,20,72,35,97,111,50,121,399,76,0,1
9,20,72,35,97,111,50,121,399,76,0,1
9,20,72,35,97,112,50,121,321,76,1,1
9,20,72,35,97,112,50,121,321,76,0,1
9,20,72,35,97,112,50,121,321,76,0,1
9,20,73,35,97,112,50,121,298,76,1,1
9,20,73,35,97,112,50,121,298,76,0,1
9,20,73,35,97,112,50,121,298,76,0,1
9,20,73,35,97,112,50,121,399,79,1,1
9,20,73,35,97,112,50,121,399,79,0,1
9,20,73,35,97,112,50,121,399,79,0,1
9,20,73,34,97,112,50,121,322,77,1,1
9,20,73,34,97,112,50,121,322,77,0,1
9,20,73,34,97,112,50,121,322,77,0,1
9,20,73,34,97,112,50,122,322,79,1,1
9,20,73,34,97,112,50,122,322,79,0,1
9,20,73,34,97,112,50,122,322,79,0,1
87,20,73,34,97,112,50,121,298,76,1,1
87,20,73,34,97,112,50,121,298,76,0,1
87,20,73,34,97,112,50,121,298,76,0,1
87,20,73,34,97,112,50,121,298,76,0,1
87,81,28,34,97,112,50,121,298,76,1,1
87,81,28,34,97,112,50,121,298,76,0,1
87,81,28,34,97,112,50,121,298,76,0,1
9,20,73,35,97,112,50,121,321,77,1,1
9,20,73,35,97,112,50,121,321,77,0,1
9,20,73,35,97,112,50,121,321,77,0,1
9,20,151,35,97,112,50,121,298,77,1,1
9,20,151,35,97,112,50,121,298,77,0,1
9,20,151,35,97,112,50,121,298,77,0,1
9,20,73,35,98,112,50,122,322,76,1,1
9,20,73,35,98,112,50,122,322,76,0,1
9,20,73,35,98,112,50,122,322,76,0,1
9,20,73,35,98,112,50,122,299,76,1,1
9,20,73,35,98,112,50,122,299,76,0,1
9,20,73,35,98,112,50,122,299,76,0,1
9,99,73,35,97,112,50,121,322,76,1,1
9,99,73,35,97,112,50,121,322,76,0,1
9,99,73,35,97,112,50,121,322,76,0,1
9,20,72,35,97,112,50,121,321,76,1,1
9,20,72,35,97,112,50,121,321,76,0,1
9,20,72,35,97,112,50,121,321,76,0,1
9,20,73,35,98,112,50,122,400,76,1,1
9,20,73,35,98,112,50,122,400,76,0,1
9,20,73,35,98,112,50,122,400,76,0,1
9,20,72,34,97,111,50,121,296,75,1,1
9,20,72,34,97,111,50,121,296,75,0,1
9,20,72,34,97,111,50,121,296,75,0,1
9,20,71,35,97,111,50,121,318,75,1,1
9,20,71,35,97,111,50,121,318,75,0,1
9,20,71,35,97,111,50,121,318,75,0,1
86,20,71,35,97,111,50,121,294,75,1,1
86,20,71,35,97,111,50,121,294,75,0,1
86,20,71,35,97,111,50,121,294,75,0,1
9,20,72,35,97,111,50,121,295,75,1,1
9,20,72,35,97,111,50,121,295,75,0,1
9,20,72,35,97,111,50,121,295,75,0,1
9,98,72,35,97,111,50,121,318,74,1,1
9,98,72,35,97,111,50,121,318,74,0,1
9,98,72,35,97,111,50,121,318,74,0,1
9,20,71,34,97,111,50,121,293,74,1,1
9,20,71,34,97,111,50,121,293,74,0,1
9,20,71,34,97,111,50,121,293,74,0,1
9,98,71,34,97,111,50,121,294,75,1,1
9,98,71,34,97,111,50,121,294,75,0,1
9,98,71,34,97,111,50,121,294,75,0,1
9,20,71,34,97,111,50,121,314,75,1,1
9,20,71,34,97,111,50,121,314,75,0,1
9,20,71,34,97,111,50,121,314,75,0,1
9,20,71,34,97,111,50,121,394,75,1,1
9,20,71,34,97,111,50,121,394,75,0,1
9,20,71,34,97,111,50,121,394,75,0,1
9,20,71,113,95,108,46,119,291,74,1,1
9,20,71,113,95,108,46,119,291,74,0,1
9,20,71,113,95,108,46,119,291,74,0,1
8,20,70,113,95,109,46,119,270,74,1,1
8,20,70,113,95,109,46,119,270,74,0,1
8,20,70,113,95,109,46,119,270,74,0,1
8,20,70,34,95,109,46,119,293,73,1,1
8,20,70,34,95,109,46,119,293,73,0,1
8,20,70,34,95,109,46,119,293,73,0,1
8,20,70,34,95,109,47,119,372,73,1,1
8,20,70,34,95,109,47,119,372,73,0,1
8,20,70,34,95,109,47,119,372,73,0,1
9,20,71,34,97,111,49,121,281,74,1,1
9,20,71,34,97,111,49,121,281,74,0,1
9,20,71,34,97,111,49,121,281,74,0,1
9,20,71,34,96,110,49,121,308,73,1,1
9,20,71,34,96,110,49,121,308,73,0,1
9,20,71,34,96,110,49,121,308,73,0,1
9,20,70,34,174,110,49,120,307,73,1,1
9,20,70,34,174,110,49,120,307,73,0,1
9,20,70,34,174,110,49,120,307,73,0,1
9,20,71,34,96,110,49,120,283,73,1,1
9,20,71,34,96,110,49,120,283,73,0,1
9,20,71,34,96,110,49,120,283,73,0,1
86,20,71,34,96,110,49,120,285,74,1,1
86,20,71,34,96,110,49,120,285,74,0,1
86,20,71,34,96,110,49,120,285,74,0,1
86,20,71,34,174,110,49,120,287,74,1,1
86,20,71,34,174,110,49,120,287,74,0,1
86,20,71,34,174,110,49,120,287,74,0,1
9,20,71,34,96,110,49,120,386,74,1,1
9,20,71,34,96,110,49,120,386,74,0,1
9,20,71,34,96,110,49,120,386,74,0,1
9,20,71,34,96,110,49,120,310,74,1,1
9,20,71,34,96,110,49,120,310,74,0,1
9,20,71,34,96,110,49,120,310,74,0,1
9,20,71,112,96,110,49,120,287,74,1,1
9,20,71,112,96,110,49,120,287,74,0,1
