F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
2394,3792,4379,6133,25981,50909,9059,42129,50613,27646,1,1
2394,3792,4379,6133,25981,50909,9059,42129,50613,27646,0,1
2394,3792,4379,6133,25981,50909,9059,42129,50613,27646,0,1
4166,22344,18357,58049,60000,60000,60000,60000,59994,40608,1,1
4166,22344,18357,58049,60000,60000,60000,60000,59994,40608,0,1
4166,22344,18357,58049,60000,60000,60000,60000,59994,40608,0,1
5006,32988,32786,60000,60000,60000,60000,60000,60000,60000,1,1
5006,32988,32786,60000,60000,60000,60000,60000,60000,60000,0,1
5006,32988,32786,60000,60000,60000,60000,60000,60000,60000,0,1
4266,40409,15126,60000,60000,60000,60000,39706,60000,60000,1,1
4266,40409,15126,60000,60000,60000,60000,39706,60000,60000,0,1
4266,40409,15126,60000,60000,60000,60000,39706,60000,60000,0,1
8156,7170,12984,54586,16264,15991,60000,16930,60000,60000,1,1
8156,7170,12984,54586,16264,15991,60000,16930,60000,60000,0,1
8156,7170,12984,54586,16264,15991,60000,16930,60000,60000,0,1
13856,5450,6903,36215,24617,15100,60000,8973,60000,60000,1,1
13856,5450,6903,36215,24617,15100,60000,8973,60000,60000,0,1
13856,5450,6903,36215,24617,15100,60000,8973,60000,60000,0,1
5810,10444,6006,16599,11066,11414,7433,8126,60000,26526,1,1
5810,10444,6006,16599,11066,11414,7433,8126,60000,26526,0,1
5810,10444,6006,16599,11066,11414,7433,8126,60000,26526,0,1
6605,5324,4981,9971,12166,12796,7058,9166,60000,25224,1,1
6605,5324,4981,9971,12166,12796,7058,9166,60000,25224,0,1
6605,5324,4981,9971,12166,12796,7058,9166,60000,25224,0,1
5554,12021,5683,15936,12228,12751,7727,16776,60000,27146,1,1
5554,12021,5683,15936,12228,12751,7727,16776,60000,27146,0,1
5554,12021,5683,15936,12228,12751,7727,16776,60000,27146,0,1
5006,3254,4993,13808,10104,10246,6864,9657,60000,24606,1,1
5006,3254,4993,13808,10104,10246,6864,9657,60000,24606,0,1
5006,3254,4993,13808,10104,10246,6864,9657,60000,24606,0,1
2949,13431,5078,10488,11154,11540,8354,10725,60000,26142,1,1
2949,13431,5078,10488,11154,11540,8354,10725,60000,26142,0,1
2949,13431,5078,10488,11154,11540,8354,10725,60000,26142,0,1
2949,13431,5078,10488,11154,11540,8354,10725,60000,26142,0,1
2907,7314,8067,5655,10210,10896,6780,10360,60000,22122,1,1
2907,7314,8067,5655,10210,10896,6780,10360,60000,22122,0,1
2907,7314,8067,5655,10210,10896,6780,10360,60000,22122,0,1
2481,8869,8477,3732,7820,8515,4291,7985,47416,14030,1,1
2481,8869,8477,3732,7820,8515,4291,7985,47416,14030,0,1
2481,8869,8477,3732,7820,8515,4291,7985,47416,14030,0,1
2213,2379,5929,3417,8514,11149,4283,11554,39216,13118,1,1
2213,2379,5929,3417,8514,11149,4283,11554,39216,13118,0,1
2213,2379,5929,3417,8514,11149,4283,11554,39216,13118,0,1
10787,2669,3927,12088,8851,10145,4366,6709,40282,13041,1,1
10787,2669,3927,12088,8851,10145,4366,6709,40282,13041,0,1
10787,2669,3927,12088,8851,10145,4366,6709,40282,13041,0,1
11756,2897,4142,13409,10473,11542,13299,7530,41764,15905,1,1
11756,2897,4142,13409,10473,11542,13299,7530,41764,15905,0,1
11756,2897,4142,13409,10473,11542,13299,7530,41764,15905,0,1
13061,3238,4646,14835,10731,11848,5446,7868,45685,15380,1,1
13061,3238,4646,14835,10731,11848,5446,7868,45685,15380,0,1
13061,3238,4646,14835,10731,11848,5446,7868,45685,15380,0,1
12746,3049,4327,13957,9617,11380,4703,7735,42902,13554,1,1
12746,3049,4327,13957,9617,11380,4703,7735,42902,13554,0,1
12746,3049,4327,13957,9617,11380,4703,7735,42902,13554,0,1
4140,2665,3895,11912,8299,8366,5646,7805,41411,17208,1,1
4140,2665,3895,11912,8299,8366,5646,7805,41411,17208,0,1
4140,2665,3895,11912,8299,8366,5646,7805,41411,17208,0,1
2331,2713,7829,4264,10314,8441,6233,10141,55454,18938,1,1
2331,2713,7829,4264,10314,8441,6233,10141,55454,18938,0,1
2331,2713,7829,4264,10314,8441,6233,10141,55454,18938,0,1
6594,2701,7726,4272,9784,8262,5506,9922,51782,15793,1,1
6594,2701,7726,4272,9784,8262,5506,9922,51782,15793,0,1
6594,2701,7726,4272,9784,8262,5506,9922,51782,15793,0,1
6653,2593,7551,4003,8268,10149,5545,10068,44593,16434,1,1
6653,2593,7551,4003,8268,10149,5545,10068,44593,16434,0,1
6653,2593,7551,4003,8268,10149,5545,10068,44593,16434,0,1
6587,7872,4060,4053,10528,8794,5344,10389,54403,16161,1,1
6587,7872,4060,4053,10528,8794,5344,10389,54403,16161,0,1
6587,7872,4060,4053,10528,8794,5344,10389,54403,16161,0,1
6973,2471,3614,8077,8027,9233,4050,6171,38460,12002,1,1
6973,2471,3614,8077,8027,9233,4050,6171,38460,12002,0,1
6973,2471,3614,8077,8027,9233,4050,6171,38460,12002,0,1
10684,2491,3625,11512,8476,9903,4229,6612,37622,12318,1,1
10684,2491,3625,11512,8476,9903,4229,6612,37622,12318,0,1
10684,2491,3625,11512,8476,9903,4229,6612,37622,12318,0,1
4167,9831,3749,12326,8742,17327,4295,6571,38248,12228,1,1
4167,9831,3749,12326,8742,17327,4295,6571,38248,12228,0,1
4167,9831,3749,12326,8742,17327,4295,6571,38248,12228,0,1
4198,2622,3808,12319,8783,10640,4252,7298,38753,13202,1,1
4198,2622,3808,12319,8783,10640,4252,7298,38753,13202,0,1
4198,2622,3808,12319,8783,10640,4252,7298,38753,13202,0,1
11754,2718,3934,12580,9160,10937,4335,7423,39918,13083,1,1
11754,2718,3934,12580,9160,10937,4335,7423,39918,13083,0,1
11754,2718,3934,12580,9160,10937,4335,7423,39918,13083,0,1
12171,2829,3995,13003,9798,10766,12329,7129,38905,12675,1,1
12171,2829,3995,13003,9798,10766,12329,7129,38905,12675,0,1
12171,2829,3995,13003,9798,10766,12329,7129,38905,12675,0,1
12349,2941,4115,13345,9190,10281,4395,7006,40608,21302,1,1
12349,2941,4115,13345,9190,10281,4395,7006,40608,21302,0,1
12349,2941,4115,13345,9190,10281,4395,7006,40608,21302,0,1
4180,2581,3791,12077,8930,9350,5516,5932,40765,16388,1,1
4180,2581,3791,12077,8930,9350,5516,5932,40765,16388,0,1
4180,2581,3791,12077,8930,9350,5516,5932,40765,16388,0,1
5833,5118,4295,4740,9072,9130,6993,11004,59637,18915,1,1
5833,5118,4295,4740,9072,9130,6993,11004,59637,18915,0,1
5833,5118,4295,4740,9072,9130,6993,11004,59637,18915,0,1
2388,3208,4265,13299,11632,9633,7773,11335,51691,20152,1,1
2388,3208,4265,13299,11632,9633,7773,11335,51691,20152,0,1
2388,3208,4265,13299,11632,9633,7773,11335,51691,20152,0,1
6715,3253,8217,5655,11958,9780,8053,11234,50297,21226,1,1
6715,3253,8217,5655,11958,9780,8053,11234,50297,21226,0,1
6715,3253,8217,5655,11958,9780,8053,11234,50297,21226,0,1
6667,3525,8532,6235,13197,10230,10423,11763,57333,25575,1,1
6667,3525,8532,6235,13197,10230,10423,11763,57333,25575,0,1
6667,3525,8532,6235,13197,10230,10423,11763,57333,25575,0,1
2429,3891,8811,7245,12982,10487,9603,11823,60000,22830,1,1
2429,3891,8811,7245,12982,10487,9603,11823,60000,22830,0,1
2429,3891,8811,7245,12982,10487,9603,11823,60000,22830,0,1
2716,3549,9154,6099,10562,11229,8007,6521,56372,22652,1,1
2716,3549,9154,6099,10562,11229,8007,6521,56372,22652,0,1
2716,3549,9154,6099,10562,11229,8007,6521,56372,22652,0,1
5786,9203,4835,16749,11229,16809,9258,12991,55593,22359,1,1
5786,9203,4835,16749,11229,16809,9258,12991,55593,22359,0,1
5786,9203,4835,16749,11229,16809,9258,12991,55593,22359,0,1
10880,4050,4684,7601,10622,17109,8168,13086,59741,18949,1,1
10880,4050,4684,7601,10622,17109,8168,13086,59741,18949,0,1
10880,4050,4684,7601,10622,17109,8168,13086,59741,18949,0,1
7528,8114,4502,12197,10571,13248,8221,9654,48649,18425,1,1
7528,8114,4502,12197,10571,13248,8221,9654,48649,18425,0,1
7528,8114,4502,12197,10571,13248,8221,9654,48649,18425,0,1
7406,8077,4592,12702,15400,13588,8917,9508,50462,18386,1,1
7406,8077,4592,12702,15400,13588,8917,9508,50462,18386,0,1
7406,8077,4592,12702,15400,13588,8917,9508,50462,18386,0,1
19864,11991,5217,41877,60000,60000,60000,60000,56065,60000,1,1
19864,11991,5217,41877,60000,60000,60000,60000,56065,60000,0,1
19864,11991,5217,41877,60000,60000,60000,60000,56065,60000,0,1
3350,31097,14289,60000,60000,60000,60000,60000,60000,60000,1,1
3350,31097,14289,60000,60000,60000,60000,60000,60000,60000,0,1
3350,31097,14289,60000,60000,60000,60000,60000,60000,60000,0,1
28108,36218,10599,60000,60000,60000,60000,12006,60000,60000,1,1
28108,36218,10599,60000,60000,60000,60000,12006,60000,60000,0,1
28108,36218,10599,60000,60000,60000,60000,12006,60000,60000,0,1
8784,30475,6214,59184,15114,16226,28554,13813,60000,21495,1,1
8784,30475,6214,59184,15114,16226,28554,13813,60000,21495,0,1
8784,30475,6214,59184,15114,16226,28554,13813,60000,21495,0,1
6971,4953,8611,29474,53240,60000,60000,22017,60000,60000,1,1
6971,4953,8611,29474,53240,60000,60000,22017,60000,60000,0,1
6971,4953,8611,29474,53240,60000,60000,22017,60000,60000,0,1
3082,24744,6229,55133,59910,60000,60000,32871,60000,60000,1,1
3082,24744,6229,55133,59910,60000,60000,32871,60000,60000,0,1
3082,24744,6229,55133,59910,60000,60000,32871,60000,60000,0,1
32737,30792,6717,60000,38925,60000,60000,13585,60000,59346,1,1
32737,30792,6717,60000,38925,60000,60000,13585,60000,59346,0,1
32737,30792,6717,60000,38925,60000,60000,13585,60000,59346,0,1
28260,27845,6231,60000,28763,59988,60000,8130,60000,52011,1,1
28260,27845,6231,60000,28763,59988,60000,8130,60000,52011,0,1
28260,27845,6231,60000,28763,59988,60000,8130,60000,52011,0,1
6989,4507,9056,20323,9650,11112,5547,9724,51972,18501,1,1
6989,4507,9056,20323,9650,11112,5547,9724,51972,18501,0,1
6989,4507,9056,20323,9650,11112,5547,9724,51972,18501,0,1
7042,6150,4257,9743,9515,11084,5404,9264,44444,17944,1,1
7042,6150,4257,9743,9515,11084,5404,9264,44444,17944,0,1
7042,6150,4257,9743,9515,11084,5404,9264,44444,17944,0,1
15921,3484,3973,5869,9563,11171,5828,5493,49359,19449,1,1
15921,3484,3973,5869,9563,11171,5828,5493,49359,19449,0,1
15921,3484,3973,5869,9563,11171,5828,5493,49359,19449,0,1
5897,3632,4090,15531,9961,10864,7821,8916,44327,26093,1,1
5897,3632,4090,15531,9961,10864,7821,8916,44327,26093,0,1
5897,3632,4090,15531,9961,10864,7821,8916,44327,26093,0,1
5518,7036,4773,7398,20281,18358,44638,14762,59928,44158,1,1
5518,7036,4773,7398,20281,18358,44638,14762,59928,44158,0,1
5518,7036,4773,7398,20281,18358,44638,14762,59928,44158,0,1
9406,29033,25355,57962,60000,60000,60000,60000,60000,60000,1,1
9406,29033,25355,57962,60000,60000,60000,60000,60000,60000,0,1
9406,29033,25355,57962,60000,60000,60000,60000,60000,60000,0,1
41769,28288,49193,56320,16880,9387,7248,10887,60000,44342,1,1
41769,28288,49193,56320,16880,9387,7248,10887,60000,44342,0,1
41769,28288,49193,56320,16880,9387,7248,10887,60000,44342,0,1
5397,6222,5562,12504,44037,21657,40166,23960,60000,60000,1,1
5397,6222,5562,12504,44037,21657,40166,23960,60000,60000,0,1
5397,6222,5562,12504,44037,21657,40166,23960,60000,60000,0,1
26982,52071,60000,60000,60000,60000,60000,60000,60000,60000,1,1
26982,52071,60000,60000,60000,60000,60000,60000,60000,60000,0,1
26982,52071,60000,60000,60000,60000,60000,60000,60000,60000,0,1
31868,44581,60000,60000,60000,60000,60000,60000,60000,60000,1,1
31868,44581,60000,60000,60000,60000,60000,60000,60000,60000,0,1
31868,44581,60000,60000,60000,60000,60000,60000,60000,60000,0,1
30438,40567,60000,60000,60000,60000,60000,60000,60000,60000,1,1
30438,40567,60000,60000,60000,60000,60000,60000,60000,60000,0,1
30438,40567,60000,60000,60000,60000,60000,60000,60000,60000,0,1
49422,35956,60000,60000,60000,60000,60000,60000,60000,60000,1,1
49422,35956,60000,60000,60000,60000,60000,60000,60000,60000,0,1
49422,35956,60000,60000,60000,60000,60000,60000,60000,60000,0,1
54372,38277,57539,60000,60000,60000,60000,60000,60000,60000,1,1
54372,38277,57539,60000,60000,60000,60000,60000,60000,60000,0,1
54372,38277,57539,60000,60000,60000,60000,60000,60000,60000,0,1
32673,43285,60000,60000,60000,60000,60000,60000,60000,60000,1,1
32673,43285,60000,60000,60000,60000,60000,60000,60000,60000,0,1
32673,43285,60000,60000,60000,60000,60000,60000,60000,60000,0,1
32070,43298,60000,60000,60000,60000,60000,60000,60000,60000,1,1
32070,43298,60000,60000,60000,60000,60000,60000,60000,60000,0,1
32070,43298,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28910,38920,60000,60000,60000,60000,60000,60000,60000,60000,1,1
28910,38920,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28910,38920,60000,60000,60000,60000,60000,60000,60000,60000,0,1
52139,36600,60000,60000,60000,60000,60000,60000,60000,60000,1,1
52139,36600,60000,60000,60000,60000,60000,60000,60000,60000,0,1
52139,36600,60000,60000,60000,60000,60000,60000,60000,60000,0,1
53211,37220,60000,60000,60000,60000,60000,60000,60000,60000,1,1
53211,37220,60000,60000,60000,60000,60000,60000,60000,60000,0,1
53211,37220,60000,60000,60000,60000,60000,60000,60000,60000,0,1
52447,36799,55696,60000,60000,60000,60000,60000,60000,60000,1,1
52447,36799,55696,60000,60000,60000,60000,60000,60000,60000,0,1
52447,36799,55696,60000,60000,60000,60000,60000,60000,60000,0,1
50885,36195,54889,60000,60000,60000,60000,60000,60000,60000,1,1
50885,36195,54889,60000,60000,60000,60000,60000,60000,60000,0,1
50885,36195,54889,60000,60000,60000,60000,60000,60000,60000,0,1
27552,60000,55849,60000,60000,60000,60000,60000,60000,60000,1,1
27552,60000,55849,60000,60000,60000,60000,60000,60000,60000,0,1
27552,60000,55849,60000,60000,60000,60000,60000,60000,60000,0,1
27792,37882,60000,60000,60000,60000,60000,60000,60000,60000,1,1
27792,37882,60000,60000,60000,60000,60000,60000,60000,60000,0,1
27792,37882,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28126,38409,60000,60000,60000,60000,60000,60000,60000,60000,1,1
28126,38409,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28126,38409,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28123,38864,60000,60000,60000,60000,60000,60000,60000,60000,1,1
28123,38864,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28123,38864,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28118,38813,60000,60000,60000,60000,60000,60000,60000,60000,1,1
28118,38813,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28118,38813,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28003,38808,60000,60000,60000,60000,60000,60000,60000,60000,1,1
28003,38808,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28003,38808,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28032,38932,60000,60000,60000,60000,60000,60000,60000,60000,1,1
28032,38932,60000,60000,60000,60000,60000,60000,60000,60000,0,1
28032,38932,60000,60000,60000,60000,60000,60000,60000,60000,0,1
27916,38811,60000,60000,60000,60000,60000,60000,60000,60000,1,1
27916,38811,60000,60000,60000,60000,60000,60000,60000,60000,0,1
