F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
63,198,50,74,279,438,144,93,780,67,1,2
63,198,50,74,279,438,144,93,780,67,0,2
63,198,50,74,279,438,144,93,780,67,0,2
57,29,91,43,263,265,148,265,1015,64,1,2
57,29,91,43,263,265,148,265,1015,64,0,2
57,29,91,43,263,265,148,265,1015,64,0,2
26,30,86,43,282,452,149,90,786,64,1,2
26,30,86,43,282,452,149,90,786,64,0,2
26,30,86,43,282,452,149,90,786,64,0,2
26,77,91,227,550,274,152,102,785,71,1,2
26,77,91,227,550,274,152,102,785,71,0,2
26,77,91,227,550,274,152,102,785,71,0,2
25,47,59,39,392,276,350,105,763,74,1,2
25,47,59,39,392,276,350,105,763,74,0,2
25,47,59,39,392,276,350,105,763,74,0,2
25,100,255,40,405,283,157,107,742,76,1,2
25,100,255,40,405,283,157,107,742,76,0,2
25,100,255,40,405,283,157,107,742,76,0,2
25,51,109,42,400,310,172,304,739,78,1,2
25,51,109,42,400,310,172,304,739,78,0,2
25,51,109,42,400,310,172,304,739,78,0,2
24,52,109,42,398,303,164,109,739,77,1,2
24,52,109,42,398,303,164,109,739,77,0,2
24,52,109,42,398,303,164,109,739,77,0,2
24,52,109,42,398,303,164,109,739,77,0,2
25,96,60,300,409,327,188,111,729,79,1,2
25,96,60,300,409,327,188,111,729,79,0,2
25,96,60,300,409,327,188,111,729,79,0,2
40,54,61,117,414,338,231,312,677,78,1,2
40,54,61,117,414,338,231,312,677,78,0,2
40,54,61,117,414,338,231,312,677,78,0,2
22,55,121,62,665,339,242,114,728,78,1,2
22,55,121,62,665,339,242,114,728,78,0,2
22,55,121,62,665,339,242,114,728,78,0,2
22,256,122,61,543,354,247,112,730,72,1,2
22,256,122,61,543,354,247,112,730,72,0,2
22,256,122,61,543,354,247,112,730,72,0,2
22,196,109,74,342,371,392,106,879,65,1,2
22,196,109,74,342,371,392,106,879,65,0,2
22,196,109,74,342,371,392,106,879,65,0,2
22,49,110,74,348,373,245,107,879,217,1,2
22,49,110,74,348,373,245,107,879,217,0,2
22,49,110,74,348,373,245,107,879,217,0,2
21,50,110,74,338,541,245,107,836,66,1,2
21,50,110,74,338,541,245,107,836,66,0,2
21,50,110,74,338,541,245,107,836,66,0,2
21,94,295,80,613,371,262,107,863,71,1,2
21,94,295,80,613,371,262,107,863,71,0,2
21,94,295,80,613,371,262,107,863,71,0,2
73,63,51,153,395,350,245,56,815,64,1,2
73,63,51,153,395,350,245,56,815,64,0,2
73,63,51,153,395,350,245,56,815,64,0,2
43,46,101,154,394,358,248,56,1046,308,1,2
43,46,101,154,394,358,248,56,1046,308,0,2
43,46,101,154,394,358,248,56,1046,308,0,2
43,49,52,446,375,371,249,291,790,61,1,2
43,49,52,446,375,371,249,291,790,61,0,2
43,49,52,446,375,371,249,291,790,61,0,2
48,53,53,419,448,345,427,60,705,53,1,2
48,53,53,419,448,345,427,60,705,53,0,2
48,53,53,419,448,345,427,60,705,53,0,2
47,56,114,141,372,317,391,50,915,47,1,2
47,56,114,141,372,317,391,50,915,47,0,2
47,56,114,141,372,317,391,50,915,47,0,2
40,45,46,128,373,334,197,53,620,47,1,2
40,45,46,128,373,334,197,53,620,47,0,2
40,45,46,128,373,334,197,53,620,47,0,2
42,45,49,443,623,355,214,55,684,53,1,2
42,45,49,443,623,355,214,55,684,53,0,2
42,45,49,443,623,355,214,55,684,53,0,2
42,43,51,455,637,354,215,56,720,55,1,2
42,43,51,455,637,354,215,56,720,55,0,2
42,43,51,455,637,354,215,56,720,55,0,2
41,43,99,147,369,348,210,305,971,52,1,2
41,43,99,147,369,348,210,305,971,52,0,2
41,43,99,147,369,348,210,305,971,52,0,2
290,45,49,194,360,346,200,54,688,297,1,2
290,45,49,194,360,346,200,54,688,297,0,2
290,45,49,194,360,346,200,54,688,297,0,2
41,42,45,188,334,326,407,103,628,44,1,2
41,42,45,188,334,326,407,103,628,44,0,2
41,42,45,188,334,326,407,103,628,44,0,2
40,266,40,177,298,289,143,44,519,37,1,2
40,266,40,177,298,289,143,44,519,37,0,2
40,266,40,177,298,289,143,44,519,37,0,2
39,37,86,123,312,308,156,46,484,41,1,2
39,37,86,123,312,308,156,46,484,41,0,2
39,37,86,123,312,308,156,46,484,41,0,2
39,39,42,180,349,574,184,53,571,44,1,2
39,39,42,180,349,574,184,53,571,44,0,2
39,39,42,180,349,574,184,53,571,44,0,2
20,94,47,60,326,300,166,90,770,45,1,2
20,94,47,60,326,300,166,90,770,45,0,2
20,94,47,60,326,300,166,90,770,45,0,2
19,31,44,159,183,205,113,63,631,32,1,1
19,31,44,159,183,205,113,63,631,32,0,1
19,31,44,159,183,205,113,63,631,32,0,1
15,37,18,27,45,83,36,15,239,12,1,1
15,37,18,27,45,83,36,15,239,12,0,1
15,37,18,27,45,83,36,15,239,12,0,1
9,5,2,6,34,28,61,15,48,12,1,1
9,5,2,6,34,28,61,15,48,12,0,1
9,5,2,6,34,28,61,15,48,12,0,1
4,96,12,17,189,191,107,65,239,29,1,1
4,96,12,17,189,191,107,65,239,29,0,1
4,96,12,17,189,191,107,65,239,29,0,1
22,41,133,237,313,353,186,292,786,66,1,1
22,41,133,237,313,353,186,292,786,66,0,1
22,41,133,237,313,353,186,292,786,66,0,1
74,35,49,60,327,350,180,94,940,276,1,1
74,35,49,60,327,350,180,94,940,276,0,1
74,35,49,60,327,350,180,94,940,276,0,1
25,36,116,271,324,559,179,96,854,57,1,2
25,36,116,271,324,559,179,96,854,57,0,2
25,36,116,271,324,559,179,96,854,57,0,2
24,34,118,57,302,338,191,94,875,64,1,2
24,34,118,57,302,338,191,94,875,64,0,2
24,34,118,57,302,338,191,94,875,64,0,2
38,43,53,69,316,343,197,97,832,61,1,2
38,43,53,69,316,343,197,97,832,61,0,2
38,43,53,69,316,343,197,97,832,61,0,2
222,42,92,69,309,319,185,258,755,60,1,1
222,42,92,69,309,319,185,258,755,60,0,1
222,42,92,69,309,319,185,258,755,60,0,1
23,36,116,284,347,337,181,105,873,103,1,1
23,36,116,284,347,337,181,105,873,103,0,1
23,36,116,284,347,337,181,105,873,103,0,1
23,79,93,280,341,333,173,101,875,57,1,1
23,79,93,280,341,333,173,101,875,57,0,1
23,79,93,280,341,333,173,101,875,57,0,1
261,37,97,56,371,335,177,104,798,57,1,1
261,37,97,56,371,335,177,104,798,57,0,1
261,37,97,56,371,335,177,104,798,57,0,1
23,36,361,57,348,331,176,52,789,62,1,2
23,36,361,57,348,331,176,52,789,62,0,2
23,36,361,57,348,331,176,52,789,62,0,2
21,35,119,58,363,327,181,96,1027,64,1,2
21,35,119,58,363,327,181,96,1027,64,0,2
21,35,119,58,363,327,181,96,1027,64,0,2
250,79,48,58,340,316,184,47,789,280,1,2
250,79,48,58,340,316,184,47,789,280,0,2
250,79,48,58,340,316,184,47,789,280,0,2
21,35,119,59,536,305,183,49,1002,60,1,2
21,35,119,59,536,305,183,49,1002,60,0,2
21,35,119,59,536,305,183,49,1002,60,0,2
67,53,52,265,342,521,183,49,860,62,1,2
67,53,52,265,342,521,183,49,860,62,0,2
67,53,52,265,342,521,183,49,860,62,0,2
68,53,52,128,341,314,220,49,969,62,1,2
68,53,52,128,341,314,220,49,969,62,0,2
68,53,52,128,341,314,220,49,969,62,0,2
39,36,52,58,341,312,182,49,867,62,1,2
39,36,52,58,341,312,182,49,867,62,0,2
39,36,52,58,341,312,182,49,867,62,0,2
68,53,52,128,333,514,179,94,759,60,1,2
68,53,52,128,333,514,179,94,759,60,0,2
68,53,52,128,333,514,179,94,759,60,0,2
81,37,52,59,531,331,180,95,821,59,1,2
81,37,52,59,531,331,180,95,821,59,0,2
81,37,52,59,531,331,180,95,821,59,0,2
221,38,119,60,333,316,181,87,702,59,1,2
221,38,119,60,333,316,181,87,702,59,0,2
221,38,119,60,333,316,181,87,702,59,0,2
65,54,52,327,331,316,179,88,710,59,1,2
65,54,52,327,331,316,179,88,710,59,0,2
65,54,52,327,331,316,179,88,710,59,0,2
80,39,51,57,328,511,177,51,1016,60,1,2
80,39,51,57,328,511,177,51,1016,60,0,2
80,39,51,57,328,511,177,51,1016,60,0,2
38,38,116,56,326,510,177,51,718,60,1,2
38,38,116,56,326,510,177,51,718,60,0,2
38,38,116,56,326,510,177,51,718,60,0,2
22,39,116,57,329,310,180,88,713,60,1,2
22,39,116,57,329,310,180,88,713,60,0,2
22,39,116,57,329,310,180,88,713,60,0,2
232,39,52,56,328,310,180,51,831,60,1,2
232,39,52,56,328,310,180,51,831,60,0,2
232,39,52,56,328,310,180,51,831,60,0,2
64,250,52,120,516,309,181,52,721,59,1,2
64,250,52,120,516,309,181,52,721,59,0,2
64,250,52,120,516,309,181,52,721,59,0,2
22,40,112,58,487,296,177,51,920,57,1,2
22,40,112,58,487,296,177,51,920,57,0,2
22,40,112,58,487,296,177,51,920,57,0,2
22,80,52,112,300,289,170,94,605,46,1,2
22,80,52,112,300,289,170,94,605,46,0,2
22,80,52,112,300,289,170,94,605,46,0,2
20,41,105,226,391,301,169,97,508,42,1,2
20,41,105,226,391,301,169,97,508,42,0,2
20,41,105,226,391,301,169,97,508,42,0,2
16,42,102,46,304,270,129,87,456,44,1,2
16,42,102,46,304,270,129,87,456,44,0,2
16,42,102,46,304,270,129,87,456,44,0,2
13,36,74,39,506,241,116,84,473,45,1,2
13,36,74,39,506,241,116,84,473,45,0,2
13,36,74,39,506,241,116,84,473,45,0,2
13,35,72,242,316,254,130,86,476,44,1,2
13,35,72,242,316,254,130,86,476,44,0,2
13,35,72,242,316,254,130,86,476,44,0,2
13,79,36,41,335,257,146,89,676,42,1,2
13,79,36,41,335,257,146,89,676,42,0,2
13,79,36,41,335,257,146,89,676,42,0,2
13,38,91,42,520,266,149,88,456,43,1,2
13,38,91,42,520,266,149,88,456,43,0,2
13,38,91,42,520,266,149,88,456,43,0,2
14,39,94,43,325,480,150,91,456,42,1,2
14,39,94,43,325,480,150,91,456,42,0,2
14,39,94,43,325,480,150,91,456,42,0,2
13,38,89,41,297,254,134,283,710,43,1,2
13,38,89,41,297,254,134,283,710,43,0,2
13,38,89,41,297,254,134,283,710,43,0,2
13,31,78,36,268,211,121,76,693,43,1,2
13,31,78,36,268,211,121,76,693,43,0,2
13,31,78,36,268,211,121,76,693,43,0,2
187,29,64,35,487,209,118,76,465,43,1,2
187,29,64,35,487,209,118,76,465,43,0,2
187,29,64,35,487,209,118,76,465,43,0,2
13,30,30,210,270,204,118,74,465,40,1,2
13,30,30,210,270,204,118,74,465,40,0,2
13,30,30,210,270,204,118,74,465,40,0,2
46,66,30,33,270,205,117,253,637,41,1,2
46,66,30,33,270,205,117,253,637,41,0,2
46,66,30,33,270,205,117,253,637,41,0,2
13,212,31,33,270,220,125,76,457,224,1,2
13,212,31,33,270,220,125,76,457,224,0,2
13,212,31,33,270,220,125,76,457,224,0,2
13,31,68,34,279,394,125,76,639,40,1,2
13,31,68,34,279,394,125,76,639,40,0,2
13,31,68,34,279,394,125,76,639,40,0,2
13,31,216,34,279,210,124,76,460,40,1,2
13,31,216,34,279,210,124,76,460,40,0,2
13,31,216,34,279,210,124,76,460,40,0,2
13,67,33,34,286,212,128,261,455,41,1,2
13,67,33,34,286,212,128,261,455,41,0,2
13,67,33,34,286,212,128,261,455,41,0,2
13,34,72,220,336,399,128,79,459,40,1,2
13,34,72,220,336,399,128,79,459,40,0,2
13,34,72,220,336,399,128,79,459,40,0,2
13,34,71,36,284,396,126,78,456,41,1,2
13,34,71,36,284,396,126,78,456,41,0,2
13,34,71,36,284,396,126,78,456,41,0,2
13,33,254,35,274,223,126,78,456,223,1,2
13,33,254,35,274,223,126,78,456,223,0,2
13,33,254,35,274,223,126,78,456,223,0,2
13,69,33,35,282,212,309,78,458,41,1,2
13,69,33,35,282,212,309,78,458,41,0,2
13,69,33,35,282,212,309,78,458,41,0,2
13,32,70,35,282,213,125,78,457,41,1,2
13,32,70,35,282,213,125,78,457,41,0,2
13,32,70,35,282,213,125,78,457,41,0,2
13,70,217,35,314,212,125,260,456,41,1,2
13,70,217,35,314,212,125,260,456,41,0,2
13,70,217,35,314,212,125,260,456,41,0,2
13,33,71,35,280,211,125,77,456,41,1,2
13,33,71,35,280,211,125,77,456,41,0,2
13,33,71,35,280,211,125,77,456,41,0,2
13,32,252,34,279,211,124,259,502,41,1,2
13,32,252,34,279,211,124,259,502,41,0,2
13,32,252,34,279,211,124,259,502,41,0,2
13,31,252,34,269,221,123,76,503,41,1,2
13,31,252,34,269,221,123,76,503,41,0,2
13,31,252,34,269,221,123,76,503,41,0,2
13,67,215,34,276,395,122,76,459,41,1,2
13,67,215,34,276,395,122,76,459,41,0,2
13,67,215,34,276,395,122,76,459,41,0,2
13,99,214,33,276,211,122,76,459,41,1,2
13,99,214,33,276,211,122,76,459,41,0,2
13,99,214,33,276,211,122,76,459,41,0,2
13,99,214,33,276,211,122,76,459,41,0,2
21,30,32,261,274,210,121,75,459,41,1,2
21,30,32,261,274,210,121,75,459,41,0,2
21,30,32,261,274,210,121,75,459,41,0,2
13,66,32,33,265,219,121,75,458,223,1,2
13,66,32,33,265,219,121,75,458,223,0,2
13,66,32,33,265,219,121,75,458,223,0,2
13,98,214,33,275,395,121,75,458,41,1,2
13,98,214,33,275,395,121,75,458,41,0,2
13,98,214,33,275,395,121,75,458,41,0,2
13,98,32,34,277,214,122,76,638,41,1,2
13,98,32,34,277,214,122,76,638,41,0,2
13,98,32,34,277,214,122,76,638,41,0,2
44,31,33,218,281,215,123,263,456,41,1,2
44,31,33,218,281,215,123,263,456,41,0,2
44,31,33,218,281,215,123,263,456,41,0,2
13,31,218,34,274,225,124,78,455,41,1,2
13,31,218,34,274,225,124,78,455,41,0,2
13,31,218,34,274,225,124,78,455,41,0,2
13,257,34,35,284,217,310,78,453,41,1,2
13,257,34,35,284,217,310,78,453,41,0,2
13,257,34,35,284,217,310,78,453,41,0,2
13,70,219,34,295,223,127,81,453,40,1,2
13,70,219,34,295,223,127,81,453,40,0,2
13,70,219,34,295,223,127,81,453,40,0,2
15,76,39,38,307,246,142,86,447,242,1,2
15,76,39,38,307,246,142,86,447,242,0,2
15,76,39,38,307,246,142,86,447,242,0,2
18,40,100,44,293,286,160,92,482,215,1,2
18,40,100,44,293,286,160,92,482,215,0,2
18,40,100,44,293,286,160,92,482,215,0,2
20,39,105,49,275,302,329,89,688,50,1,2
20,39,105,49,275,302,329,89,688,50,0,2
20,39,105,49,275,302,329,89,688,50,0,2
20,36,102,56,270,294,166,86,560,52,1,2
20,36,102,56,270,294,166,86,560,52,0,2
20,36,102,56,270,294,166,86,560,52,0,2
188,35,103,55,266,282,325,81,637,50,1,2
188,35,103,55,266,282,325,81,637,50,0,2
188,35,103,55,266,282,325,81,637,50,0,2
192,34,101,55,329,275,329,77,638,50,1,2
192,34,101,55,329,275,329,77,638,50,0,2
192,34,101,55,329,275,329,77,638,50,0,2
18,31,99,231,277,255,147,76,666,48,1,2
18,31,99,231,277,255,147,76,666,48,0,2
18,31,99,231,277,255,147,76,666,48,0,2
18,31,99,53,273,276,332,78,667,48,1,2
18,31,99,53,273,276,332,78,667,48,0,2
18,31,99,53,273,276,332,78,667,48,0,2
19,29,103,50,318,321,158,93,692,60,1,2
19,29,103,50,318,321,158,93,692,60,0,2
19,29,103,50,318,321,158,93,692,60,0,2
20,33,111,278,314,319,163,306,754,62,1,2
20,33,111,278,314,319,163,306,754,62,0,2
20,33,111,278,314,319,163,306,754,62,0,2
19,32,323,55,322,513,168,45,753,62,1,2
19,32,323,55,322,513,168,45,753,62,0,2
19,32,323,55,322,513,168,45,753,62,0,2
245,33,48,124,312,294,166,85,757,61,1,2
