F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
40,131,82,251,284,524,423,363,1640,211,1,1
40,131,82,251,284,524,423,363,1640,211,0,1
40,131,82,251,284,524,423,363,1640,211,0,1
12,68,120,56,5,16,20,21,773,25,1,1
12,68,120,56,5,16,20,21,773,25,0,1
12,68,120,56,5,16,20,21,773,25,0,1
5,51,10,3,5,15,25,22,173,23,1,1
5,51,10,3,5,15,25,22,173,23,0,1
5,51,10,3,5,15,25,22,173,23,0,1
65,12,7,8,46,63,36,35,125,63,1,1
65,12,7,8,46,63,36,35,125,63,0,1
65,12,7,8,46,63,36,35,125,63,0,1
4,8,39,14,72,53,34,62,147,60,1,1
4,8,39,14,72,53,34,62,147,60,0,1
4,8,39,14,72,53,34,62,147,60,0,1
4,23,20,14,96,59,32,43,161,55,1,1
4,23,20,14,96,59,32,43,161,55,0,1
4,23,20,14,96,59,32,43,161,55,0,1
24,16,68,16,46,62,87,58,193,51,1,1
24,16,68,16,46,62,87,58,193,51,0,1
24,16,68,16,46,62,87,58,193,51,0,1
24,16,68,16,46,62,87,58,193,51,0,1
6,21,11,16,37,54,28,23,156,40,1,1
6,21,11,16,37,54,28,23,156,40,0,1
6,21,11,16,37,54,28,23,156,40,0,1
9,42,8,39,33,48,60,47,115,40,1,1
9,42,8,39,33,48,60,47,115,40,0,1
9,42,8,39,33,48,60,47,115,40,0,1
3,17,15,12,30,44,24,42,126,65,1,1
3,17,15,12,30,44,24,42,126,65,0,1
3,17,15,12,30,44,24,42,126,65,0,1
33,18,15,12,63,82,51,152,136,97,1,1
33,18,15,12,63,82,51,152,136,97,0,1
33,18,15,12,63,82,51,152,136,97,0,1
26,86,261,295,1238,1804,1092,496,774,352,1,1
26,86,261,295,1238,1804,1092,496,774,352,0,1
26,86,261,295,1238,1804,1092,496,774,352,0,1
61,262,233,874,1569,1557,1120,521,4292,492,1,1
61,262,233,874,1569,1557,1120,521,4292,492,0,1
61,262,233,874,1569,1557,1120,521,4292,492,0,1
70,242,242,594,674,1063,1009,1116,4936,943,1,1
70,242,242,594,674,1063,1009,1116,4936,943,0,1
70,242,242,594,674,1063,1009,1116,4936,943,0,1
78,486,250,527,689,1049,1011,546,4795,944,1,1
78,486,250,527,689,1049,1011,546,4795,944,0,1
78,486,250,527,689,1049,1011,546,4795,944,0,1
107,42,89,74,187,204,128,302,2261,678,1,1
107,42,89,74,187,204,128,302,2261,678,0,1
107,42,89,74,187,204,128,302,2261,678,0,1
112,35,245,59,175,185,298,275,1161,545,1,1
112,35,245,59,175,185,298,275,1161,545,0,1
112,35,245,59,175,185,298,275,1161,545,0,1
26,78,51,54,380,456,550,349,1230,762,1,1
26,78,51,54,380,456,550,349,1230,762,0,1
26,78,51,54,380,456,550,349,1230,762,0,1
72,243,716,610,1140,2039,1182,579,4670,856,1,1
72,243,716,610,1140,2039,1182,579,4670,856,0,1
72,243,716,610,1140,2039,1182,579,4670,856,0,1
70,585,244,415,2031,1717,926,1013,4303,1070,1,1
70,585,244,415,2031,1717,926,1013,4303,1070,0,1
70,585,244,415,2031,1717,926,1013,4303,1070,0,1
792,343,195,608,810,1084,608,832,3427,2347,1,1
792,343,195,608,810,1084,608,832,3427,2347,0,1
792,343,195,608,810,1084,608,832,3427,2347,0,1
303,292,441,534,766,1174,483,599,6957,3777,1,1
303,292,441,534,766,1174,483,599,6957,3777,0,1
303,292,441,534,766,1174,483,599,6957,3777,0,1
779,133,320,646,750,1027,565,405,6082,2877,1,1
779,133,320,646,750,1027,565,405,6082,2877,0,1
779,133,320,646,750,1027,565,405,6082,2877,0,1
126,789,189,753,1129,1610,1013,514,3537,947,1,1
126,789,189,753,1129,1610,1013,514,3537,947,0,1
126,789,189,753,1129,1610,1013,514,3537,947,0,1
77,376,268,1258,1017,1617,1201,1740,4948,939,1,1
77,376,268,1258,1017,1617,1201,1740,4948,939,0,1
77,376,268,1258,1017,1617,1201,1740,4948,939,0,1
793,276,272,696,1102,1645,1203,1288,5137,1191,1,1
793,276,272,696,1102,1645,1203,1288,5137,1191,0,1
793,276,272,696,1102,1645,1203,1288,5137,1191,0,1
767,479,270,394,1148,1809,1962,1164,5062,924,1,1
767,479,270,394,1148,1809,1962,1164,5062,924,0,1
767,479,270,394,1148,1809,1962,1164,5062,924,0,1
80,339,278,414,1102,1764,1240,1183,5202,994,1,1
80,339,278,414,1102,1764,1240,1183,5202,994,0,1
80,339,278,414,1102,1764,1240,1183,5202,994,0,1
83,162,435,395,1166,1789,1257,1967,5362,1008,1,1
83,162,435,395,1166,1789,1257,1967,5362,1008,0,1
83,162,435,395,1166,1789,1257,1967,5362,1008,0,1
82,174,284,418,1130,1804,1248,1198,5313,1005,1,1
82,174,284,418,1130,1804,1248,1198,5313,1005,0,1
82,174,284,418,1130,1804,1248,1198,5313,1005,0,1
82,319,282,397,1077,1731,1230,1174,5325,996,1,1
82,319,282,397,1077,1731,1230,1174,5325,996,0,1
82,319,282,397,1077,1731,1230,1174,5325,996,0,1
122,152,277,799,1042,1123,1061,582,5270,986,1,1
122,152,277,799,1042,1123,1061,582,5270,986,0,1
122,152,277,799,1042,1123,1061,582,5270,986,0,1
79,155,236,394,649,946,964,831,4564,976,1,1
79,155,236,394,649,946,964,831,4564,976,0,1
79,155,236,394,649,946,964,831,4564,976,0,1
431,206,261,556,841,1314,1549,1030,5036,980,1,1
431,206,261,556,841,1314,1549,1030,5036,980,0,1
431,206,261,556,841,1314,1549,1030,5036,980,0,1
84,789,279,680,1061,1649,1240,649,5305,992,1,1
84,789,279,680,1061,1649,1240,649,5305,992,0,1
84,789,279,680,1061,1649,1240,649,5305,992,0,1
884,173,682,419,1293,1991,1294,1239,5447,977,1,1
884,173,682,419,1293,1991,1294,1239,5447,977,0,1
884,173,682,419,1293,1991,1294,1239,5447,977,0,1
83,1051,688,421,1175,1825,1226,1186,5364,956,1,1
83,1051,688,421,1175,1825,1226,1186,5364,956,0,1
83,1051,688,421,1175,1825,1226,1186,5364,956,0,1
80,325,278,400,1175,1723,1230,1161,6005,888,1,1
80,325,278,400,1175,1723,1230,1161,6005,888,0,1
80,325,278,400,1175,1723,1230,1161,6005,888,0,1
776,157,279,865,1188,1555,1335,1131,5279,930,1,1
776,157,279,865,1188,1555,1335,1131,5279,930,0,1
776,157,279,865,1188,1555,1335,1131,5279,930,0,1
118,144,283,660,937,1494,1164,1162,5375,929,1,1
118,144,283,660,937,1494,1164,1162,5375,929,0,1
118,144,283,660,937,1494,1164,1162,5375,929,0,1
87,763,286,656,914,1401,1183,1084,5442,1441,1,1
87,763,286,656,914,1401,1183,1084,5442,1441,0,1
87,763,286,656,914,1401,1183,1084,5442,1441,0,1
86,818,285,687,1074,1682,1248,1176,5415,968,1,1
86,818,285,687,1074,1682,1248,1176,5415,968,0,1
86,818,285,687,1074,1682,1248,1176,5415,968,0,1
86,166,446,402,1208,1764,1275,1222,5468,989,1,1
86,166,446,402,1208,1764,1275,1222,5468,989,0,1
86,166,446,402,1208,1764,1275,1222,5468,989,0,1
86,170,453,410,1138,1779,1269,1216,5493,989,1,1
86,170,453,410,1138,1779,1269,1216,5493,989,0,1
86,170,453,410,1138,1779,1269,1216,5493,989,0,1
87,164,291,397,1048,1653,1241,1825,5488,986,1,1
87,164,291,397,1048,1653,1241,1825,5488,986,0,1
87,164,291,397,1048,1653,1241,1825,5488,986,0,1
127,159,288,866,1071,1649,1251,662,5448,973,1,1
127,159,288,866,1071,1649,1251,662,5448,973,0,1
127,159,288,866,1071,1649,1251,662,5448,973,0,1
86,311,291,401,1147,1804,1275,1209,5494,961,1,1
86,311,291,401,1147,1804,1275,1209,5494,961,0,1
86,311,291,401,1147,1804,1275,1209,5494,961,0,1
85,489,291,410,1137,1739,1269,660,5477,937,1,1
85,489,291,410,1137,1739,1269,660,5477,937,0,1
85,489,291,410,1137,1739,1269,660,5477,937,0,1
86,320,293,407,1287,1992,2184,1266,5507,973,1,1
86,320,293,407,1287,1992,2184,1266,5507,973,0,1
86,320,293,407,1287,1992,2184,1266,5507,973,0,1
927,176,699,415,1168,1691,1221,1213,5657,989,1,1
927,176,699,415,1168,1691,1221,1213,5657,989,0,1
927,176,699,415,1168,1691,1221,1213,5657,989,0,1
89,198,724,461,1436,2091,1302,872,5626,1031,1,1
89,198,724,461,1436,2091,1302,872,5626,1031,0,1
89,198,724,461,1436,2091,1302,872,5626,1031,0,1
87,427,298,457,1455,2105,2371,658,5439,1060,1,1
87,427,298,457,1455,2105,2371,658,5439,1060,0,1
87,427,298,457,1455,2105,2371,658,5439,1060,0,1
154,198,296,1159,1367,2002,1275,653,5401,1079,1,1
154,198,296,1159,1367,2002,1275,653,5401,1079,0,1
154,198,296,1159,1367,2002,1275,653,5401,1079,0,1
84,403,284,441,1148,1663,1195,1972,6136,1077,1,1
84,403,284,441,1148,1663,1195,1972,6136,1077,0,1
84,403,284,441,1148,1663,1195,1972,6136,1077,0,1
87,178,688,411,1114,1762,1255,1197,5758,1717,1,1
87,178,688,411,1114,1762,1255,1197,5758,1717,0,1
87,178,688,411,1114,1762,1255,1197,5758,1717,0,1
84,1181,285,435,1372,3027,1258,1240,5281,1071,1,1
84,1181,285,435,1372,3027,1258,1240,5281,1071,0,1
84,1181,285,435,1372,3027,1258,1240,5281,1071,0,1
83,198,281,457,1407,3029,1239,625,5075,1092,1,1
83,198,281,457,1407,3029,1239,625,5075,1092,0,1
83,198,281,457,1407,3029,1239,625,5075,1092,0,1
1084,445,283,896,1412,2030,1254,2246,5112,1057,1,1
1084,445,283,896,1412,2030,1254,2246,5112,1057,0,1
1084,445,283,896,1412,2030,1254,2246,5112,1057,0,1
82,457,1329,917,1464,3189,1251,1226,5095,958,1,1
82,457,1329,917,1464,3189,1251,1226,5095,958,0,1
82,457,1329,917,1464,3189,1251,1226,5095,958,0,1
81,483,285,2064,1502,3294,1236,1257,4872,1073,1,1
81,483,285,2064,1502,3294,1236,1257,4872,1073,0,1
81,483,285,2064,1502,3294,1236,1257,4872,1073,0,1
83,492,286,954,1504,2159,1242,2398,4842,1080,1,1
83,492,286,954,1504,2159,1242,2398,4842,1080,0,1
83,492,286,954,1504,2159,1242,2398,4842,1080,0,1
84,491,288,957,1511,2168,1244,1274,4932,2229,1,1
84,491,288,957,1511,2168,1244,1274,4932,2229,0,1
84,491,288,957,1511,2168,1244,1274,4932,2229,0,1
85,1645,297,971,1530,3344,1391,1336,5094,1049,1,1
85,1645,297,971,1530,3344,1391,1336,5094,1049,0,1
85,1645,297,971,1530,3344,1391,1336,5094,1049,0,1
84,502,298,983,1534,2208,1290,1271,6199,1011,1,1
84,502,298,983,1534,2208,1290,1271,6199,1011,0,1
84,502,298,983,1534,2208,1290,1271,6199,1011,0,1
1214,489,289,964,1509,2171,1263,1241,4909,2103,1,1
1214,489,289,964,1509,2171,1263,1241,4909,2103,0,1
1214,489,289,964,1509,2171,1263,1241,4909,2103,0,1
1200,483,283,947,1473,2116,1218,1219,4769,972,1,1
1200,483,283,947,1473,2116,1218,1219,4769,972,0,1
1200,483,283,947,1473,2116,1218,1219,4769,972,0,1
1151,466,261,889,1361,1967,1073,1148,4159,1043,1,1
1151,466,261,889,1361,1967,1073,1148,4159,1043,0,1
1151,466,261,889,1361,1967,1073,1148,4159,1043,0,1
1148,463,257,879,1426,2053,1144,2276,3960,976,1,1
1148,463,257,879,1426,2053,1144,2276,3960,976,0,1
1148,463,257,879,1426,2053,1144,2276,3960,976,0,1
76,474,267,910,1432,2061,1136,1183,4250,959,1,1
76,474,267,910,1432,2061,1136,1183,4250,959,0,1
76,474,267,910,1432,2061,1136,1183,4250,959,0,1
1177,467,256,889,2489,2015,1100,1126,3806,698,1,1
1177,467,256,889,2489,2015,1100,1126,3806,698,0,1
1177,467,256,889,2489,2015,1100,1126,3806,698,0,1
73,1585,255,884,1392,2096,1092,1175,3685,995,1,1
73,1585,255,884,1392,2096,1092,1175,3685,995,0,1
73,1585,255,884,1392,2096,1092,1175,3685,995,0,1
343,274,250,867,1362,1980,1065,1165,3416,999,1,1
343,274,250,867,1362,1980,1065,1165,3416,999,0,1
343,274,250,867,1362,1980,1065,1165,3416,999,0,1
73,661,249,436,1465,2020,1086,1169,3388,990,1,1
73,661,249,436,1465,2020,1086,1169,3388,990,0,1
73,661,249,436,1465,2020,1086,1169,3388,990,0,1
74,668,254,446,1424,2157,1123,1183,3542,964,1,1
74,668,254,446,1424,2157,1123,1183,3542,964,0,1
74,668,254,446,1424,2157,1123,1183,3542,964,0,1
156,203,269,1191,1455,2086,1166,2314,4252,944,1,1
156,203,269,1191,1455,2086,1166,2314,4252,944,0,1
156,203,269,1191,1455,2086,1166,2314,4252,944,0,1
1189,477,271,914,1427,2060,1135,1187,4276,970,1,1
1189,477,271,914,1427,2060,1135,1187,4276,970,0,1
1189,477,271,914,1427,2060,1135,1187,4276,970,0,1
156,199,260,1175,1400,2042,1103,585,3779,974,1,1
156,199,260,1175,1400,2042,1103,585,3779,974,0,1
156,199,260,1175,1400,2042,1103,585,3779,974,0,1
75,197,454,447,1406,2042,1106,1183,3573,977,1,1
75,197,454,447,1406,2042,1106,1183,3573,977,0,1
75,197,454,447,1406,2042,1106,1183,3573,977,0,1
76,198,457,445,2542,2049,1116,1185,3699,972,1,1
76,198,457,445,2542,2049,1116,1185,3699,972,0,1
76,198,457,445,2542,2049,1116,1185,3699,972,0,1
76,200,714,1590,2629,2063,1128,1178,4010,944,1,1
76,200,714,1590,2629,2063,1128,1178,4010,944,0,1
76,200,714,1590,2629,2063,1128,1178,4010,944,0,1
74,196,702,446,1468,2027,1295,1140,3871,839,1,1
74,196,702,446,1468,2027,1295,1140,3871,839,0,1
74,196,702,446,1468,2027,1295,1140,3871,839,0,1
66,188,675,433,1365,1996,1079,732,3501,630,1,1
66,188,675,433,1365,1996,1079,732,3501,630,0,1
66,188,675,433,1365,1996,1079,732,3501,630,0,1
1259,191,246,1137,1387,2023,1098,568,3316,913,1,1
1259,191,246,1137,1387,2023,1098,568,3316,913,0,1
1259,191,246,1137,1387,2023,1098,568,3316,913,0,1
72,195,698,446,1389,2028,1098,1147,3813,1994,1,1
72,195,698,446,1389,2028,1098,1147,3813,1994,0,1
72,195,698,446,1389,2028,1098,1147,3813,1994,0,1
149,1515,248,437,1358,1991,1056,1154,3760,913,1,1
149,1515,248,437,1358,1991,1056,1154,3760,913,0,1
149,1515,248,437,1358,1991,1056,1154,3760,913,0,1
1269,185,236,1116,1398,1946,1013,1146,2788,918,1,1
1269,185,236,1116,1398,1946,1013,1146,2788,918,0,1
1269,185,236,1116,1398,1946,1013,1146,2788,918,0,1
1269,185,236,1116,1398,1946,1013,1146,2788,918,0,1
336,268,241,862,1385,2026,1080,1158,4180,901,1,1
336,268,241,862,1385,2026,1080,1158,4180,901,0,1
336,268,241,862,1385,2026,1080,1158,4180,901,0,1
71,192,442,440,1381,2024,1079,1154,3370,885,1,1
71,192,442,440,1381,2024,1079,1154,3370,885,0,1
71,192,442,440,1381,2024,1079,1154,3370,885,0,1
337,270,247,882,1397,2124,1099,1160,3358,894,1,1
337,270,247,882,1397,2124,1099,1160,3358,894,0,1
337,270,247,882,1397,2124,1099,1160,3358,894,0,1
71,465,252,446,1401,2050,1102,770,3554,882,1,1
71,465,252,446,1401,2050,1102,770,3554,882,0,1
71,465,252,446,1401,2050,1102,770,3554,882,0,1
420,196,253,450,1421,2081,1124,581,4237,874,1,1
420,196,253,450,1421,2081,1124,581,4237,874,0,1
420,196,253,450,1421,2081,1124,581,4237,874,0,1
70,466,253,451,1431,2077,1135,768,3594,837,1,1
70,466,253,451,1431,2077,1135,768,3594,837,0,1
70,466,253,451,1431,2077,1135,768,3594,837,0,1
