F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR,SPECTRAL_FLAG,FLICKERING_TYPE
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
26,94,315,191,671,710,796,419,1084,420,1,1
26,94,315,191,671,710,796,419,1084,420,0,1
26,94,315,191,671,710,796,419,1084,420,0,1
148,159,186,850,507,535,221,1043,1187,225,1,1
148,159,186,850,507,535,221,1043,1187,225,0,1
148,159,186,850,507,535,221,1043,1187,225,0,1
329,348,125,410,200,232,135,287,1041,159,1,1
329,348,125,410,200,232,135,287,1041,159,0,1
329,348,125,410,200,232,135,287,1041,159,0,1
40,43,86,281,179,206,123,374,629,176,1,1
40,43,86,281,179,206,123,374,629,176,0,1
40,43,86,281,179,206,123,374,629,176,0,1
143,120,53,176,200,229,145,264,658,202,1,1
143,120,53,176,200,229,145,264,658,202,0,1
143,120,53,176,200,229,145,264,658,202,0,1
15,111,54,168,184,208,127,119,686,192,1,1
15,111,54,168,184,208,127,119,686,192,0,1
15,111,54,168,184,208,127,119,686,192,0,1
163,44,54,228,189,214,126,249,629,196,1,1
163,44,54,228,189,214,126,249,629,196,0,1
163,44,54,228,189,214,126,249,629,196,0,1
144,46,57,235,204,230,145,271,685,238,1,1
144,46,57,235,204,230,145,271,685,238,0,1
144,46,57,235,204,230,145,271,685,238,0,1
144,46,57,235,204,230,145,271,685,238,0,1
45,56,150,121,233,261,177,293,909,239,1,1
45,56,150,121,233,261,177,293,909,239,0,1
45,56,150,121,233,261,177,293,909,239,0,1
48,57,75,355,251,438,174,340,1106,251,1,1
48,57,75,355,251,438,174,340,1106,251,0,1
48,57,75,355,251,438,174,340,1106,251,0,1
21,145,76,213,404,277,171,335,951,244,1,1
21,145,76,213,404,277,171,335,951,244,0,1
21,145,76,213,404,277,171,335,951,244,0,1
23,145,80,220,241,274,316,330,961,236,1,1
23,145,80,220,241,274,316,330,961,236,0,1
23,145,80,220,241,274,316,330,961,236,0,1
22,281,78,211,238,267,170,334,925,242,1,1
22,281,78,211,238,267,170,334,925,242,0,1
22,281,78,211,238,267,170,334,925,242,0,1
23,289,82,218,246,272,173,338,974,254,1,1
23,289,82,218,246,272,173,338,974,254,0,1
23,289,82,218,246,272,173,338,974,254,0,1
191,149,85,227,279,282,199,359,1083,356,1,1
191,149,85,227,279,282,199,359,1083,356,0,1
191,149,85,227,279,282,199,359,1083,356,0,1
206,174,109,270,320,338,253,438,1418,464,1,1
206,174,109,270,320,338,253,438,1418,464,0,1
206,174,109,270,320,338,253,438,1418,464,0,1
209,197,119,299,487,317,239,403,1540,393,1,1
209,197,119,299,487,317,239,403,1540,393,0,1
209,197,119,299,487,317,239,403,1540,393,0,1
205,162,91,257,257,283,346,346,1247,267,1,1
205,162,91,257,257,283,346,346,1247,267,0,1
205,162,91,257,257,283,346,346,1247,267,0,1
23,140,81,215,249,267,177,343,970,247,1,1
23,140,81,215,249,267,177,343,970,247,0,1
23,140,81,215,249,267,177,343,970,247,0,1
27,318,89,225,258,325,172,359,1031,281,1,1
27,318,89,225,258,325,172,359,1031,281,0,1
27,318,89,225,258,325,172,359,1031,281,0,1
66,237,89,343,256,467,163,366,1046,294,1,1
66,237,89,343,256,467,163,366,1046,294,0,1
66,237,89,343,256,467,163,366,1046,294,0,1
223,60,87,318,235,253,147,324,1015,430,1,1
223,60,87,318,235,253,147,324,1015,430,0,1
223,60,87,318,235,253,147,324,1015,430,0,1
24,134,78,197,221,239,140,306,920,260,1,1
24,134,78,197,221,239,140,306,920,260,0,1
24,134,78,197,221,239,140,306,920,260,0,1
164,131,76,196,211,230,134,293,890,235,1,1
164,131,76,196,211,230,134,293,890,235,0,1
164,131,76,196,211,230,134,293,890,235,0,1
150,120,66,177,184,200,120,255,787,190,1,1
150,120,66,177,184,200,120,255,787,190,0,1
150,120,66,177,184,200,120,255,787,190,0,1
16,96,53,141,145,161,101,92,625,135,1,1
16,96,53,141,145,161,101,92,625,135,0,1
16,96,53,141,145,161,101,92,625,135,0,1
25,30,41,160,140,177,100,167,562,118,1,1
25,30,41,160,140,177,100,167,562,118,0,1
25,30,41,160,140,177,100,167,562,118,0,1
11,30,71,144,157,170,104,170,569,122,1,1
11,30,71,144,157,170,104,170,569,122,0,1
11,30,71,144,157,170,104,170,569,122,0,1
107,111,47,65,164,157,94,196,611,185,1,1
107,111,47,65,164,157,94,196,611,185,0,1
107,111,47,65,164,157,94,196,611,185,0,1
15,89,84,64,261,172,97,145,649,162,1,1
15,89,84,64,261,172,97,145,649,162,0,1
15,89,84,64,261,172,97,145,649,162,0,1
77,60,161,76,152,168,97,105,763,164,1,1
77,60,161,76,152,168,97,105,763,164,0,1
77,60,161,76,152,168,97,105,763,164,0,1
15,33,207,63,139,154,89,129,566,148,1,1
15,33,207,63,139,154,89,129,566,148,0,1
15,33,207,63,139,154,89,129,566,148,0,1
30,32,93,93,136,168,89,189,598,150,1,1
30,32,93,93,136,168,89,189,598,150,0,1
30,32,93,93,136,168,89,189,598,150,0,1
29,30,44,160,123,150,82,169,533,145,1,1
29,30,44,160,123,150,82,169,533,145,0,1
29,30,44,160,123,150,82,169,533,145,0,1
13,28,93,133,132,132,79,164,529,139,1,1
13,28,93,133,132,132,79,164,529,139,0,1
13,28,93,133,132,132,79,164,529,139,0,1
12,28,92,133,119,155,78,167,476,126,1,1
12,28,92,133,119,155,78,167,476,126,0,1
12,28,92,133,119,155,78,167,476,126,0,1
12,27,89,56,113,148,73,158,486,118,1,1
12,27,89,56,113,148,73,158,486,118,0,1
12,27,89,56,113,148,73,158,486,118,0,1
85,25,83,49,122,199,71,149,419,111,1,1
85,25,83,49,122,199,71,149,419,111,0,1
85,25,83,49,122,199,71,149,419,111,0,1
11,25,81,52,187,133,70,97,428,111,1,1
11,25,81,52,187,133,70,97,428,111,0,1
11,25,81,52,187,133,70,97,428,111,0,1
10,56,99,44,108,111,78,125,414,92,1,1
10,56,99,44,108,111,78,125,414,92,0,1
10,56,99,44,108,111,78,125,414,92,0,1
13,40,34,43,91,160,70,128,463,84,1,1
13,40,34,43,91,160,70,128,463,84,0,1
13,40,34,43,91,160,70,128,463,84,0,1
13,51,38,39,107,110,64,119,440,90,1,1
13,51,38,39,107,110,64,119,440,90,0,1
13,51,38,39,107,110,64,119,440,90,0,1
79,38,24,35,107,113,58,105,461,99,1,1
79,38,24,35,107,113,58,105,461,99,0,1
79,38,24,35,107,113,58,105,461,99,0,1
17,44,54,33,181,232,137,170,709,104,1,1
17,44,54,33,181,232,137,170,709,104,0,1
17,44,54,33,181,232,137,170,709,104,0,1
19,118,143,36,206,267,208,139,1075,111,1,1
19,118,143,36,206,267,208,139,1075,111,0,1
19,118,143,36,206,267,208,139,1075,111,0,1
21,62,131,92,302,422,274,288,1276,109,1,1
21,62,131,92,302,422,274,288,1276,109,0,1
21,62,131,92,302,422,274,288,1276,109,0,1
23,144,82,154,477,602,279,129,1453,107,1,1
23,144,82,154,477,602,279,129,1453,107,0,1
23,144,82,154,477,602,279,129,1453,107,0,1
49,84,81,414,442,844,250,233,1431,99,1,1
49,84,81,414,442,844,250,233,1431,99,0,1
49,84,81,414,442,844,250,233,1431,99,0,1
23,77,226,148,651,502,226,212,1361,91,1,1
23,77,226,148,651,502,226,212,1361,91,0,1
23,77,226,148,651,502,226,212,1361,91,0,1
256,141,67,276,361,443,422,192,1146,85,1,1
256,141,67,276,361,443,422,192,1146,85,0,1
256,141,67,276,361,443,422,192,1146,85,0,1
19,128,60,245,326,400,182,180,1017,81,1,1
19,128,60,245,326,400,182,180,1017,81,0,1
19,128,60,245,326,400,182,180,1017,81,0,1
206,118,54,222,292,360,158,176,887,81,1,1
206,118,54,222,292,360,158,176,887,81,0,1
206,118,54,222,292,360,158,176,887,81,0,1
192,113,53,197,470,341,215,208,932,353,1,1
192,113,53,197,470,341,215,208,932,353,0,1
192,113,53,197,470,341,215,208,932,353,0,1
196,142,111,270,373,585,311,429,1911,685,1,1
196,142,111,270,373,585,311,429,1911,685,0,1
196,142,111,270,373,585,311,429,1911,685,0,1
66,212,178,211,491,557,392,420,2748,811,1,1
66,212,178,211,491,557,392,420,2748,811,0,1
66,212,178,211,491,557,392,420,2748,811,0,1
71,263,193,444,589,952,419,718,3158,846,1,1
71,263,193,444,589,952,419,718,3158,846,0,1
71,263,193,444,589,952,419,718,3158,846,0,1
411,136,348,270,692,846,476,849,3043,897,1,1
411,136,348,270,692,846,476,849,3043,897,0,1
411,136,348,270,692,846,476,849,3043,897,0,1
469,151,523,301,716,882,493,881,3195,913,1,1
469,151,523,301,716,882,493,881,3195,913,0,1
469,151,523,301,716,882,493,881,3195,913,0,1
89,155,531,313,730,834,502,612,3750,915,1,1
89,155,531,313,730,834,502,612,3750,915,0,1
89,155,531,313,730,834,502,612,3750,915,0,1
90,529,241,324,1191,884,548,481,3208,923,1,1
90,529,241,324,1191,884,548,481,3208,923,0,1
90,529,241,324,1191,884,548,481,3208,923,0,1
194,611,244,925,808,989,687,1019,3578,961,1,1
194,611,244,925,808,989,687,1019,3578,961,0,1
194,611,244,925,808,989,687,1019,3578,961,0,1
97,417,250,715,838,1521,653,1055,3662,1005,1,1
97,417,250,715,838,1521,653,1055,3662,1005,0,1
97,417,250,715,838,1521,653,1055,3662,1005,0,1
651,445,272,771,889,1546,713,1095,3810,1005,1,1
651,445,272,771,889,1546,713,1095,3810,1005,0,1
651,445,272,771,889,1546,713,1095,3810,1005,0,1
547,464,249,730,839,967,673,1436,3636,1039,1,1
547,464,249,730,839,967,673,1436,3636,1039,0,1
547,464,249,730,839,967,673,1436,3636,1039,0,1
556,175,236,883,739,890,620,473,3732,1111,1,1
556,175,236,883,739,890,620,473,3732,1111,0,1
556,175,236,883,739,890,620,473,3732,1111,0,1
323,159,253,566,771,929,632,666,4152,1185,1,1
323,159,253,566,771,929,632,666,4152,1185,0,1
323,159,253,566,771,929,632,666,4152,1185,0,1
103,399,274,379,867,996,751,553,4184,1214,1,1
103,399,274,379,867,996,751,553,4184,1214,0,1
103,399,274,379,867,996,751,553,4184,1214,0,1
201,190,284,981,881,1010,773,554,4432,1240,1,1
201,190,284,981,881,1010,773,554,4432,1240,0,1
201,190,284,981,881,1010,773,554,4432,1240,0,1
616,186,288,964,834,991,713,556,4357,1270,1,1
616,186,288,964,834,991,713,556,4357,1270,0,1
616,186,288,964,834,991,713,556,4357,1270,0,1
364,286,317,785,955,1178,1347,655,4658,1410,1,1
364,286,317,785,955,1178,1347,655,4658,1410,0,1
364,286,317,785,955,1178,1347,655,4658,1410,0,1
267,251,1050,1320,1307,1627,1044,839,5220,1545,1,1
267,251,1050,1320,1307,1627,1044,839,5220,1545,0,1
267,251,1050,1320,1307,1627,1044,839,5220,1545,0,1
1187,272,435,1623,1487,1832,858,1904,5844,1723,1,1
1187,272,435,1623,1487,1832,858,1904,5844,1723,0,1
1187,272,435,1623,1487,1832,858,1904,5844,1723,0,1
209,329,1311,603,1617,1955,885,2034,6656,1709,1,1
209,329,1311,603,1617,1955,885,2034,6656,1709,0,1
209,329,1311,603,1617,1955,885,2034,6656,1709,0,1
203,329,1307,599,1593,1973,891,1982,6027,1666,1,1
203,329,1307,599,1593,1973,891,1982,6027,1666,0,1
203,329,1307,599,1593,1973,891,1982,6027,1666,0,1
200,322,1272,620,1582,1978,1006,1976,6469,1649,1,1
200,322,1272,620,1582,1978,1006,1976,6469,1649,0,1
200,322,1272,620,1582,1978,1006,1976,6469,1649,0,1
204,339,1317,645,1687,2102,983,2087,6258,1692,1,1
204,339,1317,645,1687,2102,983,2087,6258,1692,0,1
204,339,1317,645,1687,2102,983,2087,6258,1692,0,1
215,357,1398,661,1722,2115,932,2098,6633,1708,1,1
215,357,1398,661,1722,2115,932,2098,6633,1708,0,1
215,357,1398,661,1722,2115,932,2098,6633,1708,0,1
204,338,1323,661,1537,2005,1053,1992,6525,1659,1,1
204,338,1323,661,1537,2005,1053,1992,6525,1659,0,1
204,338,1323,661,1537,2005,1053,1992,6525,1659,0,1
183,307,1151,688,1487,2044,1132,1937,6662,1606,1,1
183,307,1151,688,1487,2044,1132,1937,6662,1606,0,1
183,307,1151,688,1487,2044,1132,1937,6662,1606,0,1
189,309,1189,1660,1577,1924,888,2003,6251,1618,1,1
189,309,1189,1660,1577,1924,888,2003,6251,1618,0,1
189,309,1189,1660,1577,1924,888,2003,6251,1618,0,1
197,321,1258,610,1600,1953,892,2023,5964,1614,1,1
197,321,1258,610,1600,1953,892,2023,5964,1614,0,1
197,321,1258,610,1600,1953,892,2023,5964,1614,0,1
190,311,1199,671,1525,2098,1028,2064,7386,1592,1,1
190,311,1199,671,1525,2098,1028,2064,7386,1592,0,1
190,311,1199,671,1525,2098,1028,2064,7386,1592,0,1
193,333,1221,684,1674,2087,924,2073,6001,1599,1,1
193,333,1221,684,1674,2087,924,2073,6001,1599,0,1
193,333,1221,684,1674,2087,924,2073,6001,1599,0,1
200,345,1322,645,1693,2051,912,2069,5922,1566,1,1
200,345,1322,645,1693,2051,912,2069,5922,1566,0,1
200,345,1322,645,1693,2051,912,2069,5922,1566,0,1
196,1550,1309,643,1609,2042,970,2012,5847,1563,1,1
196,1550,1309,643,1609,2042,970,2012,5847,1563,0,1
196,1550,1309,643,1609,2042,970,2012,5847,1563,0,1
196,1550,1309,643,1609,2042,970,2012,5847,1563,0,1
185,855,478,681,1636,2091,1184,2014,6214,1579,1,1
185,855,478,681,1636,2091,1184,2014,6214,1579,0,1
185,855,478,681,1636,2091,1184,2014,6214,1579,0,1
372,317,476,1385,1534,1932,937,1912,6124,1504,1,1
372,317,476,1385,1534,1932,937,1912,6124,1504,0,1
372,317,476,1385,1534,1932,937,1912,6124,1504,0,1
151,293,1013,1540,1530,1966,1183,1891,5322,1491,1,1
151,293,1013,1540,1530,1966,1183,1891,5322,1491,0,1
151,293,1013,1540,1530,1966,1183,1891,5322,1491,0,1
176,428,1310,834,2234,3006,1325,2322,6412,1624,1,1
176,428,1310,834,2234,3006,1325,2322,6412,1624,0,1
176,428,1310,834,2234,3006,1325,2322,6412,1624,0,1
199,512,1429,1051,1769,2315,1235,1979,7343,1537,1,1
199,512,1429,1051,1769,2315,1235,1979,7343,1537,0,1
199,512,1429,1051,1769,2315,1235,1979,7343,1537,0,1
98,428,283,442,702,741,686,975,4476,1359,1,1
98,428,283,442,702,741,686,975,4476,1359,0,1
98,428,283,442,702,741,686,975,4476,1359,0,1
159,146,208,533,1326,1286,883,1322,3297,1174,1,1
159,146,208,533,1326,1286,883,1322,3297,1174,0,1
159,146,208,533,1326,1286,883,1322,3297,1174,0,1
163,1273,510,2070,4078,3029,1498,1993,5876,1557,1,1
163,1273,510,2070,4078,3029,1498,1993,5876,1557,0,1
163,1273,510,2070,4078,3029,1498,1993,5876,1557,0,1
796,2538,733,4064,2751,3039,1187,1333,6407,2697,1,1
796,2538,733,4064,2751,3039,1187,1333,6407,2697,0,1
796,2538,733,4064,2751,3039,1187,1333,6407,2697,0,1
616,552,413,3065,1850,2184,801,1957,3216,563,1,1
616,552,413,3065,1850,2184,801,1957,3216,563,0,1
616,552,413,3065,1850,2184,801,1957,3216,563,0,1
439,338,207,2099,372,290,415,164,1639,384,1,1
439,338,207,2099,372,290,415,164,1639,384,0,1
439,338,207,2099,372,290,415,164,1639,384,0,1
41,29,35,176,140,172,93,147,458,152,1,1
41,29,35,176,140,172,93,147,458,152,0,1
41,29,35,176,140,172,93,147,458,152,0,1
12,75,31,103,113,136,74,193,421,137,1,1
12,75,31,103,113,136,74,193,421,137,0,1
12,75,31,103,113,136,74,193,421,137,0,1
123,21,30,130,118,145,80,92,435,145,1,1
123,21,30,130,118,145,80,92,435,145,0,1
123,21,30,130,118,145,80,92,435,145,0,1
109,24,30,148,219,148,84,93,445,146,1,1
109,24,30,148,219,148,84,93,445,146,0,1
